date,result ranking,general classification,race name,distance,PCS point,UCI point,year
18.08 » 22.08,,,Tour of Borneo (2.2) ,,,,2013
,45,,General classification ,,,,2013
22.08,64,,Stage 5 - Kundasang › Kota Kinabalu ,98.1,,,2013
21.08,20,39,Stage 4 - Kota Kinabalu › Kundasang ,147.1,,,2013
20.08,19,82,Stage 3 - Penampang › Kota Kinabalu ,132.6,,,2013
19.08,34,87,Stage 2 - Tanjung Aru › Papar ,189.2,,,2013
18.08,93,93,Stage 1 - Kota Kinabalu › Tuaran ,108.7,,,2013
18.08 » 22.08,,,Tour of Borneo (2.2) ,,,,2013
,45,,General classification ,,,,2013
22.08,64,,Stage 5 - Kundasang › Kota Kinabalu ,98.1,,,2013
21.08,20,39,Stage 4 - Kota Kinabalu › Kundasang ,147.1,,,2013
20.08,19,82,Stage 3 - Penampang › Kota Kinabalu ,132.6,,,2013
19.08,34,87,Stage 2 - Tanjung Aru › Papar ,189.2,,,2013
18.08,93,93,Stage 1 - Kota Kinabalu › Tuaran ,108.7,,,2013
02.04 » 06.04,,,Tour of East Java (2.2) ,,,,2008
04.04,DNF,,Stage 3 - Batu › Batu ,126.0,,,2008
03.04,66,,Stage 2 - Blitar › Blitar ,138.0,,,2008
02.04,82,,Stage 1 - Jombang › Jombang ,108.0,,,2008
03.11 » 10.11,,,Tour of Hainan (2.1) ,,,,2007
08.11,DNS,,Stage 5 - Danzhou › Dongfang ,168.0,,,2007
07.11,83,,Stage 4 - Haikou › Danzhou ,188.0,,,2007
06.11,98,,Stage 3 - Wenchang › Haikou ,125.0,,,2007
05.11,17,,Stage 2 - Xinglong › Wenchang ,158.5,,,2007
04.11,60,,Stage 1 - Sanya › Xinglong ,169.1,,,2007
03.11,59,,Prologue - Sanya › Sanya ,3.0,,,2007
01.09 » 09.09,,,Tour of Korea (2.2) ,,,,2007
,14,,General classification ,,,,2007
09.09,12,,Stage 9 ,102.3,,,2007
08.09,28,16,Stage 8 - Ham Yang › Mirang ,175.1,,,2007
07.09,38,15,Stage 7 - Gang Jin › Ham Yang ,183.2,,,2007
06.09,38,14,Stage 6 ,162.8,,,2007
05.09,31,17,Stage 5 ,161.0,,,2007
04.09,55,20,Stage 4 ,155.8,,,2007
03.09,25,14,Stage 3 ,193.0,,,2007
02.09,24,14,Stage 2 - Chun Cheon › Yang Yang ,163.2,,,2007
01.09,24,24,Stage 1 - Seoul › Seoul ,21.0,,,2007
04.07 » 08.07,,,Tour of East Java (2.2) ,,,,2007
,16,,Points classification ,,,,2007
,37,,General classification ,,,,2007
08.07,17,,Stage 5 - Surabaya › Surabaya ,52.8,,,2007
07.07,53,,Stage 4 - Magetan › Gresik ,232.0,,,2007
06.07,45,,Stage 3 - Jombang › Sarangan ,132.0,,,2007
05.07,41,,Stage 2 - Jombang › Pacet ,130.8,,,2007
04.07,23,,Stage 1 - Mojokerto › Mojokerto ,64.0,,,2007
18.03 » 24.03,,,Tour de Taiwan (2.2) ,,,,2007
,2,,Points classification ,,,,2007
,3,,General classification ,,14,,2007
24.03,37,,Stage 7 - Taipei › Taipei ,42.0,,,2007
23.03,15,,Stage 6 - Taichung › Taipei ,188.0,,,2007
22.03,2,,Stage 5 - Taichung › Taichung ,99.0,2,,2007
