date,result ranking,general classification,race name,distance,PCS point,UCI point,year
17.04,DNF,,Paris-Roubaix (1.UWT),257.2,,,2022
21.03 » 27.03,,,Volta Ciclista a Catalunya (2.UWT),,,,2022
25.03,DNF,,Stage 5 - La Pobla de Segur › Vilanova i la Geltrú,206.3,,,2022
24.03,111,120,Stage 4 - La Seu d'Urgell › Boí Taüll,166.7,,,2022
23.03,136,128,Stage 3 - Perpignan › La Molina,161.1,,,2022
22.03,125,111,Stage 2 - L'Escala › Perpignan,202.4,,,2022
21.03,118,118,Stage 1 - Sant Feliu de Guíxols › Sant Feliu de Guíxols,171.2,,,2022
06.03 » 13.03,,,Paris - Nice (2.UWT),,,,2022
,52,,General classification,,5,5,2022
13.03,22,,Stage 8 - Nice › Nice,115.6,,,2022
12.03,68,79,Stage 7 - Nice › Col de Turini,155.2,,,2022
11.03,62,81,Stage 6 - Courthézon › Aubagne,213.6,,,2022
10.03,93,98,Stage 5 - Saint-Just-Saint-Rambert › Saint-Sauveur-de-Montagut,188.8,,,2022
09.03,67,101,Stage 4 (ITT) - Domérat › Montluçon,13.4,,,2022
08.03,108,106,Stage 3 - Vierzon › Dun-le-Palestel,190.8,,,2022
07.03,79,74,Stage 2 - Auffargis › Orléans,159.2,,,2022
06.03,116,116,Stage 1 - Mantes-la-Ville › Mantes-la-Ville,159.8,,,2022
20.02 » 26.02,,,UAE Tour (2.UWT),,,,2022
,44,,General classification,,5,5,2022
26.02,34,,Stage 7 - Al Ain › Jebel Hafeet,148,,,2022
25.02,88,59,Stage 6 - Expo 2020 Dubai › Expo 2020 Dubai ,180,,,2022
24.02,65,59,Stage 5 - Ras al Khaimah Corniche › Al Marjan Island ,182,,,2022
23.02,64,59,Stage 4 - Fujairah Fort › Jebel Jais,181,,,2022
22.02,46,37,Stage 3 (ITT) - Ajman › Ajman,9,,,2022
21.02,104,98,Stage 2 - Hudayriyat Island › Abu Dhabi Breakwater,176,,,2022
20.02,97,97,Stage 1 - Madinat Zayed › Madinat Zayed,184,,,2022
30.01,67,,Trofeo Playa de Palma - Palma (1.1),169.1,,,2022
28.01,90,,Trofeo Serra de Tramuntana (1.1),158.9,,,2022
27.01,15,,Trofeo Alcúdia - Port d'Alcúdia (1.1),173.2,6,5,2022
30.08 » 05.09,,,Benelux Tour (2.UWT),,,,2021
02.09,DNS,,Stage 4 - Aalter › Ardooie,166.1,,,2021
01.09,128,127,Stage 3 - Essen › Hoogerheide,168.3,,,2021
31.08,108,129,Stage 2 (ITT) - Lelystad › Lelystad,11.1,,,2021
30.08,143,143,Stage 1 - Surhuisterveen › Dokkum,169.6,,,2021
20.06,DNF,,National Championships Spain - Road Race (NC),183.4,,,2021
18.06,19,,National Championships Spain - ITT (NC),32.1,,,2021
08.05 » 30.05,,,Giro d'Italia (2.UWT),,,,2021
,69,,Mountains classification,,,,2021
,84,,Points classification,,,,2021
,138,,General classification,,20,,2021
