date,result ranking,general classification,race name,distance,PCS point,UCI point
01.07,DNF,,National Championships Guatemala - Road Race (NC),144,,
24.06,20,,National Championships Guatemala - ITT (NC),38.5,,
24.06,DNF,,National Championships Guatemala - Road Race (NC),,,
30.03 » 02.04,,,Joe Martin Stage Race (2.2),,,
,45,,General classification,,,
02.04,91,,Stage 4 - Fayetteville › Fayetteville,,,
01.04,89,76,Stage 3 - Fayetteville › Fayetteville,181.4,,
31.03,63,76,Stage 2 - Fayetteville › Fayetteville,176,,
30.03,105,105,Stage 1 (ITT) - Devil's Den State Park › Devil's Den State Park,4.83,,
13.12 » 25.12,,,Vuelta Popular a Costa Rica (2.2),,,
23.12,DNS,,Stage 10 - Ciudad Naily › Pérez Zeledón,154,,
22.12,48,45,Stage 9 - Dominical › Golfito,145,,
21.12,42,46,Stage 8 - San José › Pérez Zeledón,126.8,,
20.12,54,54,Stage 7 - Alajuela › Grecia,176.2,,
18.12,63,55,Stage 6 (ITT) - Paloma › Paraiso,19.64,,
17.12,76,54,Stage 5 - Guápiles › Tucurrique,131.2,,
16.12,55,52,Stage 4 - Cuidad Quesada › Guápiles,114.8,,
15.12,56,54,Stage 3 - Cañas › Cuidad Quesada,193,,
14.12,77,42,Stage 2 - Nicoya › Cañas,176,,
13.12,47,47,Stage 1 - Alajuela › Liberia,190,,
11.12,34,,Gran Premio de San José (1.2),94,,
24.10 » 01.11,,,Vuelta a Guatemala (2.2),,,
,17,,Points classification,,,
,17,,General classification,,,
01.11,28,,Stage 9 - Guatemala › Guatemala,105,,
31.10,30,17,Stage 8 - Chimaltenango › Tecpán,109.1,,
30.10,24,15,Stage 7 - San Cristóbal  › Sololá,96.7,,
29.10,37,15,Stage 6 - Totonicapán › Totonicapán,117,,
28.10,12,15,Stage 5 - San Pedro › San Marcos,125.5,,
27.10,22,18,Stage 4 (ITT) - Puerto Camperico › Retalhuleu,37.8,,
26.10,8,18,Stage 3 - Puerto San José › Mazatenango,174,,
25.10,19,20,Stage 2 - Jutiapa › Chiquimulilla,112.5,,
24.10,25,25,Stage 1 - Guatemala › Jutiapa,130,,
26.06,DNF,,National Championships Guatemala - Road Race (NC),135,,
04.05 » 08.05,,,Silver City's Tour of the Gila (2.2),,,
08.05,DNF,,Stage 5 - Silver City › Pinos Altos,161.9,,
07.05,87,137,Stage 4 - Silver City › Silver City,69.5,,
06.05,132,142,Stage 3 (ITT) - Tyrone › Tyrone,26,,
05.05,148,141,Stage 2 - Fort Bayard › Fort Bayard,122.6,,
04.05,147,147,Stage 1 - Silver City › Mogollon,148,,
21.04 » 24.04,,,Joe Martin Stage Race p/b Nature Valley (2.2),,,
,51,,General classification,,,
24.04,24,,Stage 4 - Fayetteville › Fayetteville,64,,
23.04,18,108,Stage 3 - Prairie Grove › Prairie Grove,176.1,,
22.04,116,120,Stage 2 - Fayetteville › Fayetteville,175.7,,
21.04,100,100,Stage 1 (ITT) - Devils Den State Park  › Devils Den State Park ,4.8,,
12.09,DNF,,The Reading 120 (1.2),190.4,,
21.06,DNF,,National Championships Guatemala - ITT (NC),38.5,,
10.05,DNF,,Panamerican Championships - Road Race (CC),167.4,,
13.08 » 17.08,,,"Vuelta al Sur de Bolivia (Sucre, Potosi) (2.2)",,,
14.08,33,26,Stage 2 - El Abra › Tarabuco,160,,
13.08,12,12,Stage 1 - Sucre › Sucre,120,,
30.04 » 04.05,,,Tour of the Gila (2.2),,,
30.04,DNF,,Stage 1 - Silvercity › Mongollon,148,,
17.12 » 29.12,,,Vuelta Kolbi a Costa Rica (2.2),,,
,61,,General classification,,,
29.12,61,,Stage 12 - Santa Teresa de Cajón › BCR Avenida Segunda,157.1,,
28.12,56,63,Stage 11 (ITT) - Fatima de San Pedro › Buenos Aires,39.4,,
27.12,66,61,Stage 10 - Parrita › Pérez Zeledón,135.8,,
26.12,63,59,Stage 9 - Orotina › Parrita,140.4,,
25.12,60,61,Stage 8 - La Aurora de Heredia › La Aurora de Heredia,118.4,,
23.12,59,59,Stage 7 (ITT) - Cachi › Paraíso,10.64,,
22.12,35,60,Stage 6 - Santa Cruz › San Ramón,174.2,,
21.12,71,65,Stage 5 - Liberia › Santa Cruz,148,,
20.12,55,53,Stage 4 - Fortuna de San Carlos › Liberia,156.9,,
19.12,56,53,Stage 3 - Guápiles › San Carlos,140.8,,
18.12,65,61,Stage 2 - Limón › Guápiles,174,,
17.12,17,20,Stage 1 - Límón › Limón,134.4,,
06.08 » 11.08,,,Ruta del Centro	 (2.2),,,
,38,,General classification,,,
11.08,41,,Stage 6 - Zacatecas › Zacatecas,84.5,,
10.08,2,11,Stage 5 - Aguascalientes › Zacatecas,,2,5
09.08,5,15,Stage 4 - Aguascalientes › Aguascalientes,104.4,,
08.08,5,20,Stage 3 - Luis Potosí › Aguascalientes,160,,
07.08,54,26,Stage 2 - Querétaro › San Luis Potosí,188,,
06.08,3,3,Stage 1 - Querétaro › Querétaro,96,1,2
05.05,DNF,,Pan American Games - Road Race (CC),174.2,,
21.04 » 28.04,,,Vuelta a Guatemala (2.2),,,
28.04,OTL,,Stage 8 - Retalhuheu › Quetzaltenando,98.5,,
27.04,67,60,"Stage 7 - Quetzaltenando › San Pedro, San Marco",134,,
26.04,33,58,Stage 6 - Huehuetenando › Quetzaltenando,93,,
25.04,69,58,Stage 5 - Solola › Huehuetenando,142,,
24.04,66,58,Stage 4 - Antiqua › Solola,126,,
23.04,28,42,Stage 3 (ITT) - Tecpán Guatemala › Tecpán Guatemala,36.5,,
22.04,53,50,Stage 2 - San Lucas › Tecpan,114,,
21.04,60,61,Stage 1 - Guatamala › Guatamala,122.5,,
18.11 » 25.11,,,Vuelta Mundo Maya (2.2),,,
24.11,DSQ,,Stage 7 - San Lucas Sacatepéquez  › Tecpán Guatemala,139,,
23.11,39,37,Stage 6 - Chiquimula › Guatemala City,162.5,,
22.11,33,33,Stage 5 - Teculután › Esquipulas,103.5,,
21.11,1,2,Stage 4 - Puerto Barrios › Teculután,177,5,8
20.11,10,16,Stage 3 - Zacapa › Puerto Barrios,173,,
19.11,12,14,Stage 2 - Guatamala City › Zacapa,143.5,,
18.11,15,15,Prologue - Villa Linda › Villa Linda,4,,
14.10 » 21.10,,,Tour do Brasil Volta Ciclística de São Paulo-Internacional (2.2),,,
,83,,General classification,,,
21.10,101,,Stage 8 - Jundiai › São Paulo,72,,
20.10,98,84,Stage 7 - Pindamonhagaba › Campos do Jordao,72.4,,
19.10,88,80,Stage 6 - Atibaia › Pindamonhagaba,174.3,,
18.10,120,84,Stage 5 - Sorocaba › Atibaia,150.2,,
17.10,45,54,Stage 4 - Rio Claro › Sorocaba,166.8,,
16.10,72,59,Stage 3 (ITT) - São  Carlo › São  Carlo,23,,
15.10,124,73,Stage 2 - Bauru › São Carlos,178.6,,
14.10,44,48,Stage 1 - Marilia › Bauru,108.3,,
13.05 » 20.05,,,Vuelta a Guatemala (2.2),,,
