date,result ranking,general classification,race name,distance,PCS point,UCI point,year
12.06 » 19.06,,,Tour de Suisse (2.UWT) ,,,,2022
,12,,Mountains classification ,,,,2022
,12,,Points classification ,,,,2022
,19,,General classification ,,24,30,2022
19.06,18,,Stage 8 (ITT) - Vaduz › Vaduz ,25.6,,,2022
18.06,3,19,Stage 7 - Ambri › Malbun  151k,194.6,18,10,2022
17.06,20,24,Stage 6 - Locarno › Moosalp ,177.5,,,2022
16.06,33,32,Stage 5 - Ambri › Novazzano ,190.1,,,2022
15.06,37,47,Stage 4 - Grenchen › Brunnen ,190.8,,,2022
14.06,121,52,Stage 3 - Aesch › Grenchen ,176.9,,,2022
13.06,18,6,Stage 2 - Küsnacht › Aesch ,198,,,2022
12.06,5,5,Stage 1 - Küsnacht › Küsnacht  ,177.6,10,,2022
11.05 » 15.05,,,Tour de Hongrie (2.1) ,,,,2022
,37,,General classification ,,,,2022
15.05,45,,Stage 5 - Miskolc › Gyöngyös-Kékestető ,184,,,2022
14.05,61,56,Stage 4 - Kazincbarcika › Kazincbarcika ,177,,,2022
13.05,64,60,Stage 3 - Sárospatak › Nyíregyháza ,154,,,2022
12.05,61,60,Stage 2 - Karcag › Hajdúszoboszló ,192,,,2022
11.05,63,64,Stage 1 - Csákvár › Székesfehérvár ,197.5,,,2022
26.02,DNF,,Omloop Het Nieuwsblad ME (1.UWT) ,204.2,,,2022
16.02 » 20.02,,,Vuelta a Andalucia Ruta Ciclista Del Sol (2.Pro) ,,,,2022
,3,,Mountains classification ,,,,2022
,9,,Points classification ,,,,2022
,9,,General classification ,,45,40,2022
20.02,21,,Stage 5 - Huesa › Chiclana de Segura ,146.4,,,2022
19.02,2,9,Stage 4 - Cúllar Vega › Baza  144k,167.4,18,10,2022
18.02,11,20,Stage 3 - Lucena › Otura ,153.2,,,2022
17.02,30,32,Stage 2 - Archidona › Alcalá la Real ,150.6,,,2022
16.02,24,24,Stage 1 - Ubrique › Iznájar ,200.7,,,2022
14.02,1,,Clásica Jaén Paraiso Interior (1.1) ,187.8,75,125,2022
26.02,DNF,,Omloop Het Nieuwsblad ME (1.UWT),204.2,,,2022
16.02 » 20.02,,,Vuelta a Andalucia Ruta Ciclista Del Sol (2.Pro),,,,2022
,3,,Mountains classification,,,,2022
,9,,Points classification,,,,2022
,9,,General classification,,45,40,2022
20.02,21,,Stage 5 - Huesa › Chiclana de Segura,146.4,,,2022
19.02,2,9,Stage 4 - Cúllar Vega › Baza,167.4,18,10,2022
18.02,11,20,Stage 3 - Lucena › Otura,153.2,,,2022
17.02,30,32,Stage 2 - Archidona › Alcalá la Real,150.6,,,2022
16.02,24,24,Stage 1 - Ubrique › Iznájar,200.7,,,2022
14.02,1,,Clásica Jaén Paraiso Interior (1.1),187.8,75,125,2022
17.10,4,,Veneto Classic (1.1),206.5,32,60,2021
13.10,17,,Giro del Veneto (1.1),168.8,4,3,2021
11.10,1,,Coppa Agostoni - Giro delle Brianze (1.1),180.0,75,125,2021
09.10,DNF,,Il Lombardia (1.UWT),239.0,,,2021
06.10,26,,Milano - Torino (1.Pro),190.0,,5,2021
05.10,14,,Tre Valli Varesine (1.Pro),196.7,14,15,2021
04.10,59,,Coppa Bernocchi - GP BPM (1.Pro),197.15,,,2021
15.09 » 19.09,,,Okolo Slovenska / Tour de Slovaquie (2.1),,,,2021
,18,,Mountains classification,,,,2021
,16,,Points classification,,,,2021
,8,,General classification,,18,30,2021
19.09,9,,Stage 4 - Trenčianske Teplice › Trnava,159.2,,,2021
18.09,30,13,Stage 3 - Dolný Kubín › Považská Bystrica,193.2,,,2021
17.09,8,12,Stage 2 - Spišské Podhradie › Dolný Kubín,179.7,1,,2021
16.09,44,15,Stage 1 - Košice › Košice,158.4,,,2021
15.09,16,16,Prologue - Košice › Košice,1.6,,,2021
28.07,32,,Olympic Games - ITT (Olympics),44.2,10,,2021
24.07,21,,Olympic Games Road Race (Olympics),234.0,28,30,2021
26.06 » 18.07,,,Tour de France (2.UWT),,,,2021
,37,,Mountains classification,,,,2021
,49,,Points classification,,,,2021
,7,,General classification,,240,325,2021
18.07,44,,Stage 21 - Chatou › Paris Champs-Élysées,108.4,,,2021
17.07,16,7,Stage 20 (ITT) - Libourne › Saint-Émilion,30.8,,,2021
16.07,45,7,Stage 19 - Mourenx › Libourne,207.0,,,2021
15.07,13,7,Stage 18 - Pau › Luz Ardiden,129.7,4,,2021
14.07,12,8,Stage 17 - Muret › Saint-Lary-Soulan (Col du Portet),178.4,6,,2021
13.07,15,7,Stage 16 - El Pas de la Casa  › Saint-Gaudens,169.0,1,,2021
11.07,27,7,Stage 15 - Céret › Andorra la Vella,191.3,,,2021
10.07,42,8,Stage 14 - Carcassonne › Quillan,183.7,,,2021
09.07,32,7,Stage 13 - Nîmes › Carcassonne,219.9,,,2021
08.07,26,7,Stage 12 - Saint-Paul-Trois-Châteaux › Nîmes,159.4,,,2021
07.07,8,7,Stage 11 - Sorgues › Malaucène,198.9,18,,2021
06.07,39,8,Stage 10 - Albertville › Valence,190.7,,,2021
04.07,15,8,Stage 9 - Cluses › Tignes,144.9,1,,2021
03.07,11,3,Stage 8 - Oyonnax › Le Grand-Bornand,150.8,8,,2021
02.07,24,8,Stage 7 - Vierzon › Le Creusot,249.1,,,2021
01.07,50,5,Stage 6 - Tours › Châteauroux,160.4,,,2021
30.06,10,5,Stage 5 (ITT) - Changé › Laval Espace Mayenne,27.2,10,,2021
29.06,14,11,Stage 4 - Redon › Fougères,150.4,2,,2021
28.06,43,13,Stage 3 - Lorient › Pontivy,182.9,,,2021
27.06,16,12,Stage 2 - Perros-Guirec › Mûr-de-Bretagne Guerlédan,183.5,,,2021
26.06,14,14,Stage 1 - Brest › Landerneau,197.8,2,,2021
30.05 » 06.06,,,Critérium du Dauphiné (2.UWT),,,,2021
,30,,Mountains classification,,,,2021
,13,,Points classification,,,,2021
,2,,General classification,,190,400,2021
