date,result ranking,general classification,race name,distance,PCS point,UCI point,year
17.04,DNF,,Tro-Bro Léon (1.1) ,192.2,,,2005
10.04,64,,Grand Prix de la Ville de Nogent-sur-Oise (1.2) ,165.6,,,2005
29.03,66,,Paris-Camembert (1.1) ,208,,,2005
21.03 » 28.03,,,Tour de Normandie (2.2) ,,,,2005
,29,,General classification ,,,,2005
28.03,48,,Stage 7 - Bagnoles de L'orne › Caen ,142,,,2005
27.03,65,,Stage 6 - Ducey › Bagnoles de L'orne ,173,,,2005
26.03,36,,Stage 5 - Domfront › Avranches ,80,,,2005
25.03,23,,Stage 4 - Flers › Domfront ,74,,,2005
24.03,20,,Stage 3 - Elbeuf › Flers ,201,,,2005
23.03,26,,Stage 2 - Forges-Les-eaux › Elbeuf ,147,,,2005
22.03,35,,Stage 1 - Mondeville › Forges-Les-eaux ,208,,,2005
21.03,66,,Prologue - Mondeville › Mondeville ,5.6,,,2005
20.03,DNF,,Cholet-Pays de Loire (1.1) ,202,,,2005
26.02,79,,Beverbeek Classic (1.2) ,169,,,2005
20.02,DNF,,Classic Haribo (1.1) ,203,,,2005
19.02,DNF,,Tour du Haut Var (1.1) ,181,,,2005
02.02 » 06.02,,,Etoile de Bessèges (2.1) ,,,,2005
,103,,General classification ,,,,2005
06.02,27,,Stage 5 - Gagnières › Bessèges ,148.5,,,2005
05.02,53,115,Stage 4 - Casino Les Fumades › Casino Les Fumades ,152.3,,,2005
04.02,126,119,Stage 3 - Branoux › La Grand'Combe ,143.3,,,2005
03.02,94,117,Stage 2 - Nîmes › Saint-Amour ,149.2,,,2005
02.02,125,125,Stage 1 - Marseille › Marseille Luminy ,126.2,,,2005
15.09 » 19.09,,,International Rheinland-Pfalz Rundfahrt (2.3) ,,,,2004
,50,,General classification ,,,,2004
19.09,38,,Stage 5 - Kaiserslautern  › Pirmasens ,159,,,2004
18.09,54,43,Stage 4 - Trier  › Saarburg ,142,,,2004
17.09,31,37,Stage 3 - Koblenz  › Bad Marienberg  ,204,,,2004
16.09,37,39,Stage 2 - Worms  › Mainz ,174,,,2004
15.09,39,39,Stage 1 - Pirmasens  › Worms  ,184,,,2004
14.08,38,,Memorial Henryka Lasaka (1.3) ,165,,,2004
29.07 » 08.08,,,Volta a Portugal (2.2) ,,,,2004
31.07,152,154,Stage 3 - Batalha › Viseu ,209,,,2004
30.07,151,154,Stage 2 - Castelo Branco › Cartaxo ,187.7,,,2004
29.07,146,146,Stage 1 - Termas de Monfortinho › Castelo Branco ,190.6,,,2004
08.06 » 13.06,,,Baltyk - Karkonosze Tour (2.5) ,,,,2004
11.06,5,,Stage 4 - Zary › Zgorzelec ,140.3,,,2004
29.05,41,,Ühispanga Tartu GP (1.3) ,188,,,2004
23.04 » 25.04,,,Szlakiem Grodów Piastowskich (2.5) ,,,,2004
,13,,Points classification ,,,,2004
,11,,General classification ,,,,2004
25.04,11,,Stage 4 - Jawor › Złotoryja ,216,,,2004
24.04,40,,Stage 3 - Lubin › Lubin ,83,,,2004
24.04,11,,Stage 2 - Rudna › Polkowice ,92.7,,,2004
23.04,22,,Stage 1 - Glogów › Glogów ,157.7,,,2004
18.04,17,,Tour de Vendée (1.3) ,193,4,,2004
22.03 » 29.03,,,Tour de Normandie (2.5) ,,,,2004
,38,,General classification ,,,,2004
07.03,10,,Grand Prix De La Ville De Lillers Souvenir Bruno Comini (1.5) ,175,,,2004
02.10,28,,Paris-Bourges (1.3) ,192,,,2003
26.09 » 28.09,,,Paris - Corrèze (2.3) ,,,,2003
,17,,General classification ,,4,,2003
