date,result ranking,general classification,race name,distance,PCS point,UCI point,year
23.06,4,,National Championships Kazakhstan - ITT (NC) ,,,,2010
26.06,6,,National Championships Kazakhstan - ITT (NC) ,42.5,,,2009
05.06 » 14.06,,,Tour De Korea (2.2) ,,,,2009
,24,,General classification ,,,,2009
14.06,16,,Stage 10 - Seoul › Seoul ,60,,,2009
13.06,29,,Stage 9 - Yangyang › Chuncheon ,197.2,,,2009
12.06,29,,Stage 8 - Danyang › Yangyang ,194.2,,,2009
11.06,15,,Stage 7 - Gumi › Tanyang ,174.9,,,2009
10.06,65,,Stage 6 - Seoul › Kumi ,141.8,,,2009
09.06,41,,Stage 5 - Yeosu › Seoul ,171.2,,,2009
08.06,14,,Stage 4 - Gangjin › Yeosu ,147.2,,,2009
07.06,79,,Stage 3 - Gangjin › Yeosu ,164.5,,,2009
06.06,50,,Stage 2 - Gongju › Jeongeup ,140,,,2009
05.06,22,,Stage 1 (ITT) - Seoul  › Seoul  ,21,,,2009
12.05,16,,Grand Prix of Moscow (1.2) ,149.6,,,2009
06.05 » 10.05,,,Five Rings of Moscow (2.2) ,,,,2009
,23,,General classification ,,,,2009
10.05,19,,Stage 6 - Moscow › Moscow ,153,,,2009
09.05,38,,Stage 5 - Moscow › Moscow ,129.6,,,2009
08.05,17,,Stage 4 - Moscow › Moscow ,149.6,,,2009
07.05,32,,Stage 3 - Moscow › Moscow ,123,,,2009
06.05,50,,Stage 2 - Moscow › Moscow ,108.6,,,2009
06.05,61,,Prologue - Moscow › Moscow ,8.2,,,2009
21.09,DNF,,GP Industria & Commercio di Prato (1.1) ,178.6,,,2008
01.08,DNF,,GP Industria & Artigianato - Carnaghese (1.1) ,196.8,,,2008
26.06,14,,National Championships Kazakhstan - ITT (NC) ,40,,,2008
11.06 » 14.06,,,Tour de Slovénie (2.1) ,,,,2008
14.06,DNF,,Stage 4 - Celje › Novo mesto ,157,,,2008
13.06,80,104,Stage 3 - Škofja Loka › Krvavec ,153,,,2008
12.06,65,105,Stage 2 - Piran › Koper ,179,,,2008
11.06,104,105,Stage 1 - Ljubljana › Postojna ,161,,,2008
19.05 » 25.05,,,Volta Ciclista a Catalunya (2.PT) ,,,,2008
21.05,31,,Stage 3 - Banyoles › La Seu d'Urgell ,191.9,,,2008
17.04,16,,Asian Cycling Championships - Road Race (CC) ,151.5,,,2008
23.09,DNF,,Grand Prix d'Isbergues - Pas de Calais (1.1) ,202.5,,,2007
22.09,40,,Tour de Rijke (1.1) ,198.2,,,2007
21.09,39,,Kampioenschap van Vlaanderen (1.1) ,180,,,2007
26.07 » 29.07,,,Brixia Tour (2.1) ,,,,2007
26.07,DNF,,Stage 1 - Brescia › Toscolano Maderno ,157.4,,,2007
30.06,4,,National Championships Kazakhstan - ITT (NC) ,25,,,2007
06.06 » 10.06,,,Skoda-Tour de Luxembourg (2.HC) ,,,,2007
10.06,DNF,,Stage 4 - Mersch › Luxembourg ,149.5,,,2007
09.06,83,100,Stage 3 - Wiltz › Diekirch ,173.8,, +100,2007
08.06,88,98,Stage 2 - Schifflange › Differdange ,193.1,,,2007
07.06,91,95,Stage 1 - Luxembourg › Mondorf ,166.8,,,2007
06.06,84,84,Prologue - Luxembourg › Luxembourg ,2.6,,,2007
30.05 » 03.06,,,Bayern Rundfahrt (2.HC) ,,,,2007
,4,,Youth classification ,,,,2007
,40,,General classification ,,,,2007
03.06,28,,Stage 5 - Rothenburg ob der Tauber › Fürth ,160.7,,,2007
02.06,31,40,Stage 4 (ITT) - Rothenburg ob der Tauber › Rothenburg ob der Tauber ,24,,,2007
01.06,19,58,Stage 3 - Eichstätt › Kitzingen ,181.1,,,2007
31.05,56,60,Stage 2 - Gundelfingen › Eichstätt ,187.8,,,2007
30.05,27,31,Stage 1 - Garmisch Partenkirchen › Gundelfingen ,211.1,,,2007
08.05 » 13.05,,,4 Jours de Dunkerque - Tour du Nord-Pas-de-Calais (2.HC) ,,,,2007
,40,,Youth classification ,,,,2007
,103,,General classification ,,,,2007
13.05,94,,Stage 6 - Steenvoorde › Dunkerque ,173,,,2007
12.05,125,42,Stage 5 - La Bassée › Cassel ,175.7,,,2007
11.05,53,96,Stage 4 - Arras › Arras ,199,,,2007
10.05,81,93,Stage 3 - Saint-Amand les Eaux › Caudry ,184.9,,,2007
09.05,46,109,Stage 2 - Dunkerque › Saint-Amand les Eaux ,190.8,,,2007
08.05,113,113,Stage 1 (ITT) - Dunkerque › Dunkerque ,9,,,2007
25.04 » 29.04,,,Niedersachsen-Rundfahrt (2.1) ,,,,2007
,51,,General classification ,,,,2007
29.04,45,,Stage 5 - Osterode am Harz › Göttingen ,181.8,,,2007
28.04,99,,Stage 4 - Rheda-Wiedenbrück › Duderstadt ,199.7,,,2007
27.04,86,,Stage 3 - Melle › Rheda-Wiedenbrück ,160.9,,,2007
26.04,103,,Stage 2 - Bremen › Melle ,186.9,,,2007
25.04,25,,Stage 1 - Wallenhorst › Bremen ,161.1,,,2007
15.04,DNF,,Paris - Roubaix (1.PT) ,259.5,,,2007
11.04,DNF,,Gent - Wevelgem (PT) ,207,,,2007
31.03 » 01.04,,,Critérium International (2.HC) ,,,,2007
01.04,DNF,,Stage 2 - Les Vieilles Forges (Les Mazures) › Month ,98,,,2007
31.03,118,,Stage 1 - Asfeld › Charleville-Mézières ,179,,,2007
07.03 » 11.03,,,Vuelta ciclista a la region de Murcia (2.1) ,,,,2007
,93,,General classification ,,,,2007
11.03,12,,Stage 5 ,151,,,2007
10.03,60,,Stage 4 (ITT) ,23,,,2007
09.03,14,,Stage 3 ,146,,,2007
07.03,96,,Stage 1 ,166,,,2007
13.02,125,,Trofeo Pollença (1.1) ,149.6,,,2007
11.02,47,,Trofeo Mallorca (1.1) ,100,,,2007
29.08 » 03.09,,,Giro della Valle d'Aosta (2.2) ,,,,2006
,56,,General classification ,,,,2006
03.09,44,,Stage 6 (ITT) - Landry › Vallandry ,10.1,,,2006
02.09,62,56,Stage 5 - Sallanches › Nancroix ,116.08,,,2006
01.09,76,60,Stage 4 - Monthey › Chatel ,104.37,,,2006
31.08,58,57,Stage 3 - Saxon › Saxon ,133.04,,,2006
