date,result ranking,general classification,race name,distance,PCS point,UCI point,year
18.05 » 25.05,,,FBD Milk Ras (2.5) ,,,,2003
,17,,General classification ,,,,2003
25.05,73,,Stage 8 - Dublin › Dublin ,40,,,2003
24.05,46,17,Stage 7 - Donegal › Oldcastle ,180,,,2003
23.05,23,19,Stage 6 - Buncrana › Oldcastle ,167,,,2003
22.05,47,22,Stage 5 - Letterkenny › Buncrana ,146,,,2003
21.05,79,22,Stage 4 - Ballina › Letterkenny ,173,,,2003
20.05,41,22,Stage 3 - Clifden › Ballina ,142,,,2003
19.05,29,29,Stage 2 - Roscrea › Clifden ,188,,,2003
18.05,93,93,Stage 1 - Dublin › Roscrea ,135,,,2003
27.04,7,,Shay Elliott Memorial (1.5) ,155,,,2003
28.06,3,,National Championships Ireland - ITT (NC) ,43,2,,2002
