date,result ranking,general classification,race name,distance,PCS point,UCI point,year
04.05 » 08.05,,,4 Jours de Dunkerque (2.HC) ,,,,2005
04.05,40,,Stage 1 - Dunkirk › Marcq-en-Baroeul ,153.7,,,2005
27.04 » 01.05,,,Circuit de Lorraine Professionnels (2.1) ,,,,2005
,1,,General classification ,,100,,2005
01.05,2,,Stage 5 - Thionville › Hayange ,158.5,12,,2005
30.04,45,,Stage 4 - Joeuf › St ,160.5,,,2005
29.04,23,,Stage 3 - Trieux › Rombas ,102,,,2005
28.04,33,,Stage 2 (ITT) - Briey › Briey ITT ,16,,,2005
27.04,1,,Stage 1 - Metz › Nancy ,157,20,,2005
20.04 » 24.04,,,Niedersachsen-Rundfahrt (2.1) ,,,,2005
23.04,56,,Stage 4 - Herzberg › Göttingen ,186,,,2005
22.04,77,,Stage 3 - Wolfsburg › Herzberg ,151,,,2005
21.04,4,,Stage 2 - Burgdorf › Wolfsburg ,207,5,,2005
20.04,7,,Stage 1 - Himmelpforten › Burgdorf ,180,2,,2005
05.04 » 08.04,,,Circuit de la Sarthe (2.1) ,,,,2005
07.04,2,,Stage 3 - Angers › Sablé-sur-Sarthe ,195.4,12,,2005
06.04,13,,Stage 2a - Varades › Angers ,92,,,2005
06.04,33,,Stage 2b (ITT) - Angers › Angers ITT ,8.8,,,2005
05.04,2,3,Stage 1 - Saint-Hilaire-de-Riez › Varades ,197.2,12,,2005
03.04,44,,GP de la Ville de Rennes (1.1) ,193.2,,,2005
29.03,56,,Paris-Camembert (1.1) ,208,,,2005
09.03 » 15.03,,,Tirreno-Adriatico (WT) ,,,,2005
14.03,DNS,,Stage 6 - Civitanova Marche › Civitanova Marche ,164,,,2005
13.03,171,,Stage 5 - Saltara › Saltara ,170.4,,,2005
12.03,133,,Stage 4 - Teramo › Servigliano ,160,,,2005
11.03,139,,Stage 3 - Tivoli › Torricella ,228,,,2005
10.03,117,,Stage 2 - Civitavecchia › Tivoli ,181,,,2005
09.03,11,,Stage 1 - Civitavecchia › Civitavecchia ,160,,,2005
07.03,52,,Giro della Provincia di Lucca (1.1) ,179,,,2005
05.03,104,,Milano-Torino (1.HC) ,199,,,2005
20.02,DNF,,Classic Haribo (1.1) ,203,,,2005
06.09 » 12.09,,,Tour de Pologne (2.2) ,,,,2004
10.09,89,69,Stage 5 - Olesnica › Szklarska Poreba ,229,,,2004
09.09,12,16,Stage 4 - Inowroclaw › Kalisz ,183,,,2004
08.09,4,22,Stage 3 - Ostróda › Bydgoszcz ,204,5,7,2004
07.09,7,64,Stage 2 - Tczew › Olsztyn ,227.5,2,4,2004
06.09,110,110,Stage 1 - Gdansk › Gdynia ,174.5,,,2004
24.08 » 28.08,,,Ronde van Nederland (2.1) ,,,,2004
27.08,9,52,Stage 5 - Düsseldorf › Sittard-Geleen ,221.9,,,2004
26.08,54,54,Stage 4 (ITT) - Goch › Goch ,22.2,,,2004
26.08,20,25,Stage 3 - Kleve › Goch ,86.2,,,2004
14.08,DNF,,Olympic Games Road Race (Olympics) ,224.4,,,2004
04.08 » 08.08,,,Rothaus Regio-Tour International (2.3) ,,,,2004
08.08,DNF,,Stage 5 - Herbolzheim › Vogtsburg ,177.1,,,2004
07.08,27,94,Stage 4 - Emmendingen › Lahr ,168.4,,,2004
06.08,91,95,Stage 3 - Neuenburg › Guebwiller ,178.9,,,2004
05.08,108,108,Stage 2 (ITT) - Müllheim › Müllheim ,19,,,2004
04.08,43,46,Stage 1 - Heitersheim › Wehr ,181.2,,,2004
01.08,DNF,,HEW Cyclassics (CDM) ,250.3,,,2004
23.07 » 25.07,,,Brixia Tour (2.3) ,,,,2004
25.07,DNF,,Stage 3 - Bettole di Buffalora › Manerbio ,192.5,,,2004
24.07,121,117,Stage 2b - Pisogne › Darfo Boario Terme ,82.7,,,2004
24.07,120,,Stage 2a - Darfo Boario Terme › Val Palot ,83.3,,,2004
23.07,103,103,Stage 1 - San Vigilio di Concesio › Toscolano Maderno ,159,,,2004
12.06 » 20.06,,,Tour de Suisse () ,,,,2004
15.06,DNF,,"Stage 4 - 
Vallée de Joux › Bätterkinden ",211.6,,,2004
14.06,124,107,"Stage 3 - 
Rheinfelden › Juraparc-Vallorbe ",185,,,2004
13.06,15,49,"Stage 2 - 
Dürrenroth › Rheinfelden ",169.9,,1,2004
12.06,87,86,Stage 1 - Sursee › Beromünster ,176,,,2004
08.05 » 30.05,,,Giro d'Italia (GT) ,,,,2004
,15,,Points classification ,,,,2004
,105,,General classification ,,20,,2004
30.05,38,,Stage 20 - Clusone › Milano ,149,,,2004
29.05,130,107,Stage 19 - Bormio › Presolana ,122,,,2004
28.05,90,105,Stage 18 - Cles Val di Non › Bormio 2000 ,118,,,2004
27.05,129,110,Stage 17 - Brunico › Fondo Sarnonico ,153,,,2004
25.05,115,106,Stage 16 - San Vendemiano › Falzes ,217,,,2004
24.05,4,105,Stage 15 - Poreč › San Vendemiano ,234,25,,2004
23.05,134,106,Stage 14 - Trieste › Pula ,175,,,2004
22.05,90,107,Stage 13 (ITT) - Trieste › Trieste ,52,,,2004
21.05,9,107,Stage 12 - Cesena › Treviso ,210,8,,2004
20.05,99,108,Stage 11 - Porto Sant'Elpidio › Cesena ,228,,,2004
18.05,3,107,Stage 10 - Porto Sant'Elpidio › Ascoli Piceno ,146,35,,2004
17.05,6,111,Stage 9 - Policoro › Carovigno ,142,15,,2004
16.05,26,115,Stage 8 - Giffoni Valle Piana › Policoro ,214,,,2004
15.05,118,119,Stage 7 - Frosinone › Montevergine di Mercogliano ,214,,,2004
14.05,5,118,Stage 6 - Spoleto › Valmontone ,164,18,,2004
13.05,7,119,Stage 5 - Civitella in Val di Chiana › Spoleto ,177,12,,2004
12.05,150,126,Stage 4 - Porretta Terme › Civitella in Val di Chiana ,184,,,2004
11.05,123,127,Stage 3 - Pontremoli › Corno alle Scale ,191,,,2004
10.05,119,119,Stage 2 - Novi Ligure › Pontremoli ,184,,,2004
09.05,16,17,Stage 1 - Genova › Alba ,143,,,2004
08.05,21,22,Prologue - Genova › Genova ,6.9,,,2004
11.04,DNF,,Paris - Roubaix (CDM) ,261,,,2004
08.04,DNF,,Gent - Wevelgem (1.HC) ,208,,,2004
04.04,107,,Ronde van Vlaanderen / Tour des Flandres ME (CDM) ,257,5,,2004
30.03 » 01.04,,,KBC Driedaagse van De Panne-Koksijde (2.2) ,,,,2004
,145,,General classification ,,,,2004
01.04,DNS,,Stage 4 (ITT) - De Panne › De Panne ,13.7,,,2004
01.04,7,,Stage 3 - De Panne › De Panne ,116,2,,2004
31.03,26,165,Stage 2 - Zottegem › Koksijde/Oostduinkerke ,237,,,2004
30.03,182,182,Stage 1 - Middelkerke › Zottegem ,196,,,2004
27.03,3,,E3 Prijs Vlaanderen (1.1) ,195,60,,2004
21.03,1,,Stausee Rundfahrt (1.3) ,188,75,,2004
06.03,1,,Giro della Provincia di reggio Calabria (1.3) ,194,75,,2004
22.02,24,,Classic Haribo (1.3) ,204,,,2004
26.08 » 29.08,,,Tour du Poitou Charentes et de la Vienne (2.3) ,,,,2003
,15,,General classification ,,6,,2003
29.08,48,,Stage 4b - Monts-sur-Guesnes  › Buxerolles ,106,,,2003
29.08,27,,Stage 4a (ITT) - Monts-sur-Guesnes › Monts-sur-Guesnes ,20,,,2003
28.08,14,,Stage 3 - Loudun › Loudun ,178,,,2003
27.08,89,,Stage 2 - Ruffec › Bressuire ,178,,,2003
26.08,3,,Stage 1 - Pons › La Couronne ,181.9,7,,2003
23.08,3,,Szlakiem walk majora Hubala (1.5) ,180,7,,2003
02.07 » 06.07,,,Course Cycliste de Solidarnosc et des Champions Olympiques (2.3) ,,,,2003
02.07,2,,Stage 1 - Rybnik › Rybnik ,78,12,,2003
29.06,1,,National Championships Latvia - Road Race (NC) ,,15,,2003
27.06,2,,National Championships Latvia - ITT (NC) ,30,7,,2003
03.06 » 09.06,,,Deutschland Tour (2.2) ,,,,2003
07.06,DNF,,Stage 5 - Ravensberg › Feldberg ,191,,,2003
06.06,36,92,Stage 4 - Ansbach › Bad Wurzach ,222,,,2003
05.06,113,99,Stage 3 - Coburg › Ansbach ,188,,,2003
04.06,77,56,Stage 2 - Altenburg › Kronach ,183,,,2003
03.06,16,17,Stage 1 - Dresden  › Altenburg ,184,,,2003
29.05 » 01.06,,,Tour de Luxembourg (2.2) ,,,,2003
31.05,DNF,,Stage 3 - Mersch › Echternach ,98,,,2003
30.05,13,74,Stage 2 - Wasserbillig › Leudelange ,204,,,2003
29.05,81,81,Stage 1 - Luxembourg › Luxembourg ,163,,,2003
10.05 » 01.06,,,Giro d'Italia () ,,,,2003
20.05,DNS,,Stage 10 - Montecatini › Faenza ,211,,,2003
19.05,107,131,Stage 9 - Arezzo › Montecatini Terme ,160,,,2003
18.05,6,135,Stage 8 - Rieti › Arezzo ,214,15,,2003
17.05,124,136,Stage 7 - Avezzano › Terminillo ,146,,,2003
15.05,53,133,Stage 6 - Maddaloni › Avezzano ,218,,,2003
14.05,145,136,Stage 5 - Messina › Catania ,176,,,2003
13.05,125,131,Stage 4 - Terme Luigiane › Vibo Valentia ,170,,,2003
12.05,102,130,Stage 3 - Policoro › Terme Liugiane ,145,,,2003
11.05,131,127,Stage 2 - Copertino › Matera ,177,,,2003
10.05,18,4,Stage 1 - Lecce › Lecce ,201,,,2003
23.04 » 27.04,,,Niedersachsen-Rundfahrt (2.3) ,,,,2003
,77,,General classification ,,,,2003
27.04,74,,Stage 5 - Bückeburg › Peine ,143.4,,,2003
26.04,4,62,Stage 4 - Göttingen › Bückeburg ,188.8,5,,2003
25.04,12,87,Stage 3 - Osterode › Göttingen ,176.1,,,2003
24.04,59,95,Stage 2 - Goslar › Osterode ,206.6,,,2003
23.04,16,98,Stage 1b - Wolfsburg › Goslar ,102.2,,,2003
23.04,98,98,Stage 1a (ITT) - Wolfsburg › Wolfsburg ,13.2,,,2003
20.04,14,,Tour de Vendée (1.3) ,201.4,7,,2003
17.04,31,,GP de Denain Porte du Hainaut (1.3) ,196,,,2003
13.04,11,,Ronde van Noord-Holland (1.3) ,199.6,12,,2003
08.04 » 11.04,,,Circuit de la Sarthe (2.3) ,,,,2003
,61,,General classification ,,,,2003
11.04,63,,Stage 4 - Angers › Le Mans ,191.3,,,2003
10.04,12,53,Stage 3a - Saint-Géréon › Angers ,93.3,,,2003
10.04,89,82,Stage 3b (ITT) - Angers › Angers ,8.8,,,2003
09.04,97,78,Stage 2 - Fontenay-le-Comte › Pontchâteau ,195.1,,,2003
08.04,55,,Stage 1 - Nantes › Fontenay-le-Comte ,188.4,,,2003
06.04,2,,GP de la Ville de Rennes (1.3) ,157.5,55,,2003
26.03 » 30.03,,,Settimana Ciclistica Internazionale Coppi-Bartali (2.3) ,,,,2002
28.03,7,,Stage 3 - Fucecchio › Fucecchio ,162,2,,2002
26.03,4,,Stage 1b - Rimini › Riccione ,108,5,,2002
24.03,DNF,,Stausee Rundfahrt (1.3) ,174,,,2002
09.03,57,,Trofeo Pantalica (1.3) ,197,,,2002
01.02 » 10.02,,,Le Tour de Langkawi (2.3) ,,,,2002
,107,,General classification ,,,,2002
10.02,17,,Stage 10 - Kuala Lumpur › Kuala Lumpur ,75.6,,,2002
09.02,114,,Stage 9 - Kuala Lumpur › Genting Highlands ,133.7,,,2002
08.02,2,,Stage 8 - Port Dickson › Petaling Jaya ,95.5,12,,2002
07.02,127,,Stage 7 - Kluang › Tampin ,197.6,,,2002
06.02,124,,Stage 6 - Muar › Johor Bahru ,170,,,2002
05.02,71,,Stage 5 - Bangi › Melaka ,127.7,,,2002
04.02,102,,Stage 4 - Tapah › Bentong ,176,,,2002
03.02,81,,Stage 3 - Lumut › Ipoh ,129.6,,,2002
02.02,29,,Stage 2 - Klang › Sitiawan ,183.5,,,2002
01.02,116,,Stage 1 (ITT) - Putrajaya › Putrajaya ,20.3,,,2002
30.04 » 03.05,,,Giro del Trentino () ,,,,2001
03.05,2,,Stage 4 - Malcesine › Arco ,165,12,,2001
25.03,1,,Stausee Rundfahrt (1.5) ,175,15,,2001
12.03,6,,Giro della Provincia di Siracusa (1.3) ,181,24,,2001
21.02 » 24.02,,,Giro Della Liguria () ,,,,2001
24.02,DNF,,Stage 4 - Savona  › Savona  ,159.5,,,2001
21.02,2,,Stage 1 - Alassio › Alassio ,155.6,12,,2001
20.02,DNF,,Trofeo Laigueglia (1.3) ,172.6,,,2001
06.02 » 18.02,,,Le Tour de Langkawi (2.3) ,,,,2001
,84,,General classification ,,,,2001
18.02,2,,Stage 12 - Kuala Lumpur › Kuala Lumpur ,75.2,12,,2001
17.02,2,,Stage 11 - Kuala Lumpur › Shah Alam ,162.9,12,,2001
13.02,5,,Stage 7 - Melaka › Klang ,172.1,4,,2001
11.02,6,,Stage 6 - Kluang › Melaka ,150.4,3,,2001
10.02,6,,Stage 5 - Pekan › Kota Tinggi ,241.1,3,,2001
09.02,3,,Stage 4 - Dungun › Kuantan ,135.5,7,,2001
12.01 » 24.01,,,Vuelta al Táchira () ,,,,2001
13.01,1,,Stage 2 - Ciudad Bolivia › Ciudad Bolivia ,120,5,,2001
27.09,DNF,,Olympic Games Road Race (Olympics) ,239.4,,,2000
24.07 » 06.08,,,Volta a Portugal (2.3) ,,,,2000
29.07,166,,Stage 6 - Matosinhos › Lordelo ,208,,,2000
28.07,9,,Stage 5 - Águeda › Matosinhos ,150.5,,,2000
27.07,16,,Stage 4 - Leiria › Águeda ,152.7,,,2000
26.07,9,,Stage 3 - Odivelas › Leiria ,194.5,,,2000
25.07,168,,Stage 2 - Palmela › Odivelas ,191,,,2000
24.07,178,,Stage 1 - Loulé › Loulé ,172.7,,,2000
25.06,3,,National Championships Latvia - Road Race (NC) ,226,7,,2000
11.06 » 26.06,,,Vuelta a Colombia (2.2) ,,,,2000
14.06,1,,Stage 4 - Sincelejo › Monteria ,122,5,,2000
13.06,1,,Stage 3 - Puerto Giraldo › Sincelejo ,174,5,,2000
12.06,1,,Stage 2 - Cartagena de Indias › Barranquilla ,141,5,,2000
11.06,1,,Stage 1 - Cartagena de Indias › Cartagena de Indias ,108,5,,2000
13.05 » 04.06,,,Giro d'Italia () ,,,,2000
21.05,DNF,,Stage 8 - Corinaldo › Prato ,255,,,2000
20.05,18,153,Stage 7 - Vasto › Teramo ,182,,,2000
19.05,87,165,Stage 6 - Peschici › Vasto ,170,,,2000
18.05,109,167,Stage 5 - Matera › Peschici ,232,,,2000
17.05,163,167,Stage 4 - Scalea › Matera ,233,,,2000
16.05,130,158,Stage 3 - Paestum › Scalea ,177,,,2000
15.05,161,154,Stage 2 - Terracina › Maddaloni ,225,,,2000
14.05,18,38,Stage 1 - Rome › Terracina ,125,,,2000
13.05,53,53,Prologue - Rome › Vatican ,4.6,,,2000
24.04 » 27.04,,,Giro del Trentino () ,,,,2000
24.04,2,,Stage 1a - Lienz › Sillian ,70,12,,2000
02.04,1,,Tour du lac Leman () ,200,15,,2000
22.03 » 26.03,,,Settimana Internazionale Coppi e Bartali () ,,,,2000
24.03,4,,Stage 3 - Montecattini › Ferrara ,180,5,,2000
05.03,22,,Giro della Provincia di Siracusa () ,185,,,2000
26.01 » 06.02,,,Le Tour de Langkawi (2.4) ,,,,2000
06.02,10,,Stage 12 - Kuala Lumpur › Kuala Lumpur ,75.6,,,2000
02.09 » 10.09,,,Tour de Pologne () ,,,,1995
04.09,1,,Stage 3 - Urzędów › Zamość ,134,5,,1995
