date,result ranking,general classification,race name,distance,PCS point,UCI point,year
26.06,65,,National Championships France - Road Race (NC) ,240,,,2022
23.06,9,,National Championships France - ITT (NC) ,44.3,,1,2022
14.06,47,,Mont Ventoux Dénivelé Challenge (1.1) ,154,,,2022
06.05 » 29.05,,,Giro d'Italia (2.UWT) ,,,,2022
,69,,Mountains classification ,,,,2022
,88,,General classification ,,20,,2022
29.05,41,,Stage 21 (ITT) - Verona › Verona ,17.4,,,2022
28.05,107,88,Stage 20 - Belluno › Marmolada (Passo Fedaia) ,168,,,2022
27.05,105,84,Stage 19 - Marano Lagunare › Santuario di Castelmonte ,178,,,2022
26.05,119,83,Stage 18 - Borgo Valsugana › Treviso ,156,,,2022
25.05,47,85,Stage 17 - Ponte di Legno › Lavarone ,168,,,2022
24.05,78,93,Stage 16 - Salò › Aprica ,202,,,2022
22.05,89,94,Stage 15 - Rivarolo Canavese › Cogne ,177,,,2022
21.05,113,95,Stage 14 - Santena › Torino ,147,,,2022
20.05,159,95,Stage 13 - Sanremo › Cuneo ,150,,,2022
19.05,109,91,Stage 12 - Parma › Genova ,204,,,2022
18.05,156,93,Stage 11 - Santarcangelo di Romagna › Reggio Emilia ,203,,,2022
17.05,84,91,Stage 10 - Pescara › Jesi ,196,,,2022
15.05,96,91,Stage 9 - Isernia › Blockhaus ,191,,,2022
14.05,112,92,Stage 8 - Napoli › Napoli ,153,,,2022
13.05,105,86,Stage 7 - Diamante › Potenza ,196,,,2022
12.05,119,81,Stage 6 - Palmi › Scalea ,192,,,2022
11.05,138,81,Stage 5 - Catania › Messina ,174,,,2022
10.05,80,82,Stage 4 - Avola › Etna ,172,,,2022
08.05,143,103,Stage 3 - Kaposvár › Balatonfüred ,201,,,2022
07.05,58,103,Stage 2 (ITT) - Budapest › Budapest ,9.2,,,2022
06.05,111,111,Stage 1 - Budapest › Visegrád ,195,,,2022
24.04,81,,Liège-Bastogne-Liège (1.UWT) ,257.2,5,,2022
20.04,93,,La Flèche Wallonne (1.UWT) ,202.1,5,,2022
05.04 » 08.04,,,Circuit Cycliste Sarthe - Pays de la Loire (2.1) ,,,,2022
,18,,Points classification ,,,,2022
,35,,General classification ,,,,2022
08.04,49,,Stage 4 - La Chapelle-Saint-Aubin › La Chapelle-Saint-Aubin ,136.4,,,2022
07.04,45,14,Stage 3 - Sablé-sur-Sarthe › Sablé-sur-Sarthe ,176.5,,,2022
06.04,28,12,Stage 2 - Le Lude › Le Lude ,174.7,,,2022
05.04,10,11,Stage 1 - Mamers › Mamers ,192.3,,,2022
01.04,5,,La Route Adélie de Vitré (1.1) ,176.7,28,50,2022
27.03,26,,La Roue Tourangelle Centre Val de Loire - Trophée Groupama Paris Val de Loire (1.1) ,202,,,2022
20.03,64,,Cholet - Pays de la Loire (1.1) ,202,,,2022
19.03,1,,Classic Loire Atlantique (1.1) ,182.8,75,125,2022
07.03 » 13.03,,,Tirreno-Adriatico (2.UWT) ,,,,2022
,47,,General classification ,,5,10,2022
13.03,51,,Stage 7 - San Benedetto del Tronto › San Benedetto del Tronto ,159,,,2022
12.03,39,51,Stage 6 - Apecchio › Carpegna ,215,,,2022
11.03,82,63,Stage 5 - Sefro › Fermo ,155,,,2022
10.03,70,66,Stage 4 - Cascata delle Marmore › Bellante ,202,,,2022
09.03,59,35,Stage 3 - Murlo › Terni ,170,,,2022
08.03,124,37,Stage 2 - Camaiore › Sovicille ,219,,,2022
07.03,39,39,Stage 1 (ITT) - Lido di Camaiore › Lido di Camaiore ,13.9,,,2022
27.02,51,,Drôme Classic (1.Pro) ,191.5,,,2022
26.02,69,,Faun-Ardèche Classic (1.Pro) ,168.5,,,2022
18.02 » 20.02,,,Tour des Alpes Maritimes et du Var (2.1) ,,,,2022
,38,,General classification ,,,,2022
