date,result ranking,general classification,race name,distance,PCS point,UCI point
21.03 » 27.03,,,Volta Ciclista a Catalunya (2.UWT),,,
,25,,General classification,,10,16
27.03,46,,Stage 7 - Barcelona › Barcelona,138.6,,
26.03,32,27,Stage 6 - Salou › Cambrils,168.6,,
25.03,68,40,Stage 5 - La Pobla de Segur › Vilanova i la Geltrú,206.3,,
24.03,42,42,Stage 4 - La Seu d'Urgell › Boí Taüll,166.7,,
23.03,77,58,Stage 3 - Perpignan › La Molina,161.1,,
22.03,87,70,Stage 2 - L'Escala › Perpignan,202.4,,
21.03,75,75,Stage 1 - Sant Feliu de Guíxols › Sant Feliu de Guíxols,171.2,,
27.02,DNS,,Drôme Classic (1.Pro),191.5,,
26.02,DNF,,Faun-Ardèche Classic (1.Pro),168.5,,
16.02 » 20.02,,,Volta ao Algarve em Bicicleta (2.Pro),,,
,24,,General classification,,2,5
20.02,29,,Stage 5 - Lagoa › Malhão (Loulé),173,,
19.02,55,28,Stage 4 (ITT) - Vila Real de Santo António › Tavira,32.2,,
18.02,50,29,Stage 3 - Almodôvar › Faro,211.4,,
17.02,35,30,Stage 2 - Albufeira › Fóia (Monchique),182.4,,
16.02,52,53,Stage 1 - Portimão  › Lagos,199.1,,
13.02,61,,Clasica de Almeria (1.Pro),188.2,,
12.02,63,,Vuelta Ciclista a la Region de Murcia Costa Calida (1.1),183.2,,
29.01,77,,Trofeo Pollença - Port d'Andratx (1.1),170.1,,
28.01,86,,Trofeo Serra de Tramuntana (1.1),158.9,,
27.01,56,,Trofeo Alcúdia - Port d'Alcúdia (1.1),173.2,,
21.09,DNF,,Grand Prix de Denain - Porte du Hainaut (1.Pro),200.3,,
19.09,104,,Gooikse Pijl (1.1),199,,
18.09,55,,Primus Classic (1.Pro),197.7,,
17.09,67,,Kampioenschap van Vlaanderen (1.1),195.3,,
14.08 » 05.09,,,La Vuelta ciclista a España (2.UWT),,,
,102,,General classification,,20,
05.09,84,,Stage 21 (ITT) - Padrón › Santiago de Compostela,33.8,,
04.09,82,102,Stage 20 - Sanxenxo › Mos. Castro de Herville,202.2,,
03.09,64,109,Stage 19 - Tapia › Monforte de Lemos,191.2,,
02.09,55,114,Stage 18 - Salas › Altu d'El Gamoniteiru,162.6,,
01.09,82,124,Stage 17 - Unquera › Lagos de Covadonga,185.8,,
31.08,113,131,Stage 16 - Laredo › Santa Cruz de Bezana,180,,
29.08,120,134,Stage 15 - Navalmoral de la Mata › El Barraco,197.5,,
28.08,97,131,Stage 14 - Don Benito › Pico Villuercas,165.7,,
27.08,69,131,Stage 13 - Belmez › Villanueva de la Serena,203.7,,
26.08,134,133,Stage 12 - Jaén › Córdoba,175,,
25.08,78,125,Stage 11 - Antequera › Valdepeñas de Jaén,133.6,,
24.08,81,134,Stage 10 - Roquetas de Mar › Rincón de la Victoria,189,,
22.08,167,137,Stage 9 - Puerto-Lumbreras › Alto de Velefique,188,,
21.08,110,119,Stage 8 - Santa Pola › La Manga del Mar Menor,173.7,,
20.08,83,124,Stage 7 - Gandía › Balcón de Alicante,152,,
19.08,146,113,Stage 6 - Requena › Alto de la Montaña de Cullera,158.3,,
18.08,94,75,Stage 5 - Tarancón › Albacete,184.4,,
17.08,96,89,Stage 4 - El Burgo de Osma › Molina de Aragón,163.9,,
16.08,84,90,Stage 3 - Santo Domingo de Silos › Picón Blanco,202.8,,
15.08,82,117,Stage 2 - Caleruega › Burgos,166.7,,
14.08,152,152,Stage 1 (ITT) - Burgos › Burgos,7.1,,
14.07 » 18.07,,,Settimana Ciclistica Italiana (2.1),,,
,35,,General classification,,,
18.07,42,,Stage 5 - Cagliari › Cagliari,170.2,,
17.07,36,36,Stage 4 - Cagliari › Cagliari,168,,
16.07,81,47,Stage 3 - Oristano › Cagliari,180.9,,
15.07,55,49,Stage 2 - Sassari › Oristano,185.5,,
14.07,54,55,Stage 1 - Alghero › Sassari,155.8,,
03.07 » 06.07,,,Sibiu Cycling Tour (2.1),,,
,25,,General classification,,,3
06.07,59,,Stage 3 - Sibiu › Sibiu,205.3,,
05.07,26,26,Stage 2 - Sibiu › Bâlea Lac,187.5,,
04.07,28,29,Stage 1 - Sibiu › Paltinis,177.9,,
03.07,145,145,Prologue - Sibiu › Sibiu,2.5,,
20.06,38,,National Championships Germany - Road Race (NC),177.5,,
06.06 » 13.06,,,Tour de Suisse (2.UWT),,,
,49,,General classification,,5,10
13.06,64,,Stage 8 - Andermatt › Andermatt,159.5,,
12.06,65,45,Stage 7 (ITT) - Disentis Sedrun › Andermatt,23.2,,
11.06,60,41,Stage 6 - Fiesch › Disentis Sedrun,130.1,,
10.06,32,39,Stage 5 - Gstaad › Leukerbad,175.2,,
09.06,57,64,Stage 4 - Sankt Urban › Gstaad,171,,
08.06,56,67,Stage 3 - Lachen › Pfaffnau,182.1,,
07.06,68,68,Stage 2 - Neuhausen am Rheinfall › Lachen,178,,
06.06,91,91,Stage 1 (ITT) - Frauenfeld › Frauenfeld,10.9,,
04.06,34,,Grosser Preis des Kantons Aargau (1.1),172,,
19.04 » 23.04,,,Tour of the Alps (2.Pro),,,
,47,,General classification,,,
23.04,60,,Stage 5 - Valle del Chiese/Idroland › Riva del Garda,120.9,,
22.04,57,49,Stage 4 - Naturns › Pieve di Bono,168.6,,
21.04,68,51,Stage 3 - Imst › Naturns,162,,
20.04,43,56,Stage 2 - Innsbruck › Feichten im Kaunertal,121.5,,
19.04,93,93,Stage 1 - Brixen › Innsbruck,140.6,,
