date,result ranking,general classification,race name,distance,PCS point,UCI point
09.06,DNF,,Ronde van Zeeland Seaports (1.1),201,,
26.05 » 28.05,,,Tour de Gironde (2.2),,,
,59,,General classification,,,
28.05,4,,Stage 3 - Saint-Pierre-d'Aurillac  › Villenave-d'Ornon,171.9,,
27.05,71,62,Stage 2 - Saint-Loubès › Braud-et-Saint-Louis,181.1,,
26.05,84,84,Stage 1 - Fargues-de-Langon  › Cenon,159.8,,
04.05 » 05.05,,,Ronde van Overijssel (2.2),,,
,83,,General classification,,,
05.05,104,,Stage 1 - Rijssen › Rijssen,202,,
04.05,6,6,Prologue - Holten › Holten,2.8,,
25.04 » 01.05,,,Le Tour de Bretagne Cycliste - Trophée des Granitiers (2.2),,,
25.04,DNF,,Stage 1 - Vannes › Vannes,167,,
22.04,DNF,,Ronde van Noord-Holland (1.2),204.9,,
21.04,24,,Arno Wallaard Memorial (1.2),200,,
09.04,86,,Rund um Köln (1.1),196.7,,
23.03 » 01.04,,,Tour du Maroc (2.2),,,
,2,,Points classification,,,
,34,,General classification,,,
01.04,1,,Stage 10 -  El Jadida  › Casablanca,120,5,8
31.03,1,34,Stage 9 - Marrakech  › El Jadida,179,5,8
30.03,88,48,Stage 8 - Ouarzazate  › Marrakech,190,,
29.03,71,43,Stage 7 - Tinghir  › Ouarzazate,170,,
28.03,86,41,Stage 6 - Er Rachidia  › Tinghir,137,,
27.03,2,4,Stage 5 - Midelt  › Er Rachidia,126,2,5
26.03,1,4,Stage 4 - Khenifra  › Midelt,144,5,8
25.03,1,4,Stage 3 - Fes  › Khenifra,152,5,8
23.03,6,6,Stage 1 - Tanger  › Tetouan,130,,
04.03,4,,National Championships South Africa - Road Race (NC),160,4,12
01.03,16,,National Championships South Africa - ITT (NC),,,
12.10 » 16.10,,,Jayco Herald Sun Tour (2.1),,,
,50,,General classification,,,
16.10,31,,Stage 5 - Melbourne › Melbourne,61.5,,
15.10,60,60,Stage 4 - Sorrento › Arthurs Seat,131.6,,
14.10,19,23,Stage 3 - Geelong › Drysdale,172.6,,
13.10,25,27,Stage 2 - Ballarat › Geelong,140.6,,
12.10,37,37,Stage 1 - Whittlesea › Ballarat,174.6,,
10.06 » 12.06,,,Delta Tour Zeeland (2.1),,,
12.06,DNF,,Stage 3 - Terneuzen › Terneuzen,195.8,,
11.06,74,,Stage 2 - Middelburg › Goes,193,,
10.06,77,,Prologue - Vlissingen › ,3.8,,
05.06,58,,Memorial Philippe Van Coningsloo (1.2),185.5,,
27.05 » 29.05,,,Tour De Gironde (2.2),,,
,41,,General classification,,,
29.05,5,,Stage 3 - Saint-Pierre d'Aurillac › Villenave d'Ornon,171.9,,
28.05,44,,Stage 2 - Loupiac › Cenon,177.6,,
27.05,59,,Stage 1 - Saint-Yzans-de-Médoc › Salles,171.3,,
13.05 » 18.05,,,International Azerbaïjan Tour (2.2),,,
,45,,General classification,,,
18.05,81,,Stage 6 - Orumiyeh › Tabriz,125,,
17.05,34,,Stage 5 - Shabestar › Urmia,185,,
16.05,54,,Stage 4 - Sarab › Tabriz,120,,
15.05,3,,Stage 3 - Ardabil › Nir,50,1,
14.05,42,,Stage 2 - Tabriz › MeshkinShahr,177,,
13.05,23,,Prologue - Tabriz › Tabriz,4,,
25.03 » 03.04,,,Tour du Maroc (2.2),,,
,11,,General classification,,,
03.04,3,,Stage 11 - Khouribga › Casablanca,120,1,
02.04,1,,Stage 10 - Meknes › Rabat,140,5,
01.04,9,,Stage 9 - Fes › Mesknes,120,,
31.03,4,,Stage 8 - Khenifra › Fes,120,,
30.03,3,,Stage 7 - El Kelaa des Sraghna › Beni Mellal,116,1,
30.03,7,,Stage 6 - Azilal › El Kelaa des Sraghna,110,,
29.03,15,,Stage 5 - Marrakech › Azilal,174,,
28.03,5,,Stage 4 - Ouled Berrehil › Marrakech,170,,
27.03,1,,Stage 3 - Essaouira › Agadir,170,5,
26.03,8,,Stage 2 - Safi › Essaouira,130,,
25.03,8,,Stage 1 - El Jadida › Safi,156,,
19.02 » 26.02,,,Tour Of South-Africa (2.2),,,
,80,,General classification,,,
26.02,5,,Stage 7 - Paarl › Paarl,100,,
25.02,60,,Stage 6 - Hermanus › Stellenbosch,140,,
24.02,6,,Stage 5 - Oudtshoorn › Swellendam,175,,
23.02,84,,Stage 4 - Bloukrans Bridge › George,153,,
22.02,77,,Stage 3 - Nelson Mandela Bay › Summer Strand,173,,
19.02,35,,Stage 1 - Menlyn Shopping Centre › Monte Casino,167,,
23.01 » 01.02,,,Tour de Langkawi (2.HC),,,
,101,,General classification,,,
01.02,56,,Stage 10 - Shah Alam › Kuala Lumpur,104.6,,
31.01,38,,Stage 9 - Melaka › Nilai,127,,
30.01,46,,Stage 8 - Kuala Pilah › Jasin,156.5,,
29.01,19,,Stage 7 - Banting - › Tampin,149.5,,
28.01,31,,Stage 6 - Rawang › Putrajaya,107,,
27.01,82,,Stage 5 - Tapah › Genting Highlands,124.3,,
26.01,110,,Stage 4 - Ayer Tawar › Cameron Highlands,137.6,,
25.01,121,,Stage 3 - Taiping › Sitiawan,144.9,,
24.01,11,,Stage 2 - Kangar › Butterworth,145,,
23.01,8,,Stage 1 - Dataran Helang › Pekan Kuah,94.6,1,2
