date,result ranking,general classification,race name,distance,PCS point,UCI point,year
20.08,34,,Châteauroux Classic de l'Indre Trophée Fenioux (1.1) ,200,,,2006
05.04 » 09.04,,,Settimana Ciclista Lombarda (2.2) ,,,,2006
07.04,DNF,,Stage 3 - Vertova › Vertova ,144,,,2006
06.04,118,103,Stage 2 - Brusaporto › Brusaporto ,161.4,,,2006
05.04,87,87,Stage 1 - Birgnano › Brignano ,156.4,,,2006
21.03 » 25.03,,,Settimana Internazionale Coppi e Bartali (2.1) ,,,,2006
25.03,DNF,,Stage 5 - Castellarono › Sassuolo ,163.6,,,2006
24.03,22,164,Stage 4 - Carpi › Finale Emilia ,184.4,,,2006
23.03,168,173,Stage 3 - Scandiano › Fiorano Modenese ,165.6,,,2006
22.03,157,181,Stage 2 - Cervia › Faenza ,199.3,,,2006
21.03,195,195,Stage 1a - Riccione  › Riccione ,95.2,,,2006
06.03,100,,Giro della Provincia di Lucca (1.1) ,194,,,2006
09.10 » 15.10,,,Herald Sun Tour (2.1) ,,,,2005
12.10,2,90,Stage 4 - Mitchelton Winery › Marysville ,172.6,12,11,2005
11.10,102,102,Stage 3 - Bendigo › Shepparton ,153,,,2005
10.10,101,86,Stage 2 - Bendigo › Bendigo ,150.9,,,2005
09.10,7,56,Stage 1 (TTT) - Williamstown › Williamstown ,9.6,,,2005
17.09,78,,GP Citta' di Misano-Adriatico (1.1) ,192.4,,,2005
04.09,63,,Giro di Romagna (1.1) ,191.2,,,2005
02.05 » 05.05,,,International UNIQA Classic (2.1) ,,,,2005
,77,,General classification ,,,,2005
05.05,41,,Stage 3 - Gresten › Linz ,157,,,2005
04.05,96,,Stage 2 - Traismauer › Gresten ,168,,,2005
03.05,4,,Stage 1 - Sankt Pölten › Traismauer ,185,5,,2005
02.05,103,,Prologue - Sankt Pölten › Sankt Pölten ,8,,,2005
21.04 » 24.04,,,Szlakiem Grodów Piastowskich (2.2) ,,,,2005
24.04,DNF,,Stage 4 - Swidnica › Legnica ,206.2,,,2005
23.04,74,5,Stage 3 - Rudna › Polkowice ,149.7,,,2005
22.04,11,5,Stage 2 - Jawor › Zlotoryja ,174.8,,,2005
21.04,1,1,Stage 1 - Boleslawiec › Glogów ,135,5,,2005
17.04,DNF,,Tro-Bro Léon (1.1) ,192.2,,,2005
16.04,14,,Tour du Finistère (1.1) ,175.3,7,,2005
14.04,17,,GP de Denain Porte du Hainaut (1.1) ,199,4,,2005
03.04,57,,Tour du lac Léman (1.2) ,183,,,2005
28.03,5,,Giro della Provincia di reggio Calabria (1.1) ,172,28,,2005
22.03 » 26.03,,,Settimana Ciclistica Internazionale Coppi-Bartali (2.1) ,,,,2005
24.03,12,,Stage 3 - Finale Emilia › Finale Emilia ,184.1,,,2005
23.03,140,,Stage 2 - Riccione › Faenza ,206.9,,,2005
22.03,5,,Stage 1a - Riccione › Riccione ,95.2,4,,2005
20.03,16,,Stausee Rundfahrt (1.1) ,174,5,,2005
07.03,47,,Giro della Provincia di Lucca (1.1) ,179,,,2005
01.11 » 06.11,,,Tour of Queensland (2.5) ,,,,2004
,52,,General classification ,,,,2004
06.11,50,,Stage 8 - Bundaberg › Bundaberg ,33,,,2004
05.11,53,51,Stage 7 (ITT) - Mount Perry › Mount Perry ,4.1,,,2004
05.11,53,50,Stage 6 - Gin Gin › Mount Perry ,63.3,,,2004
04.11,32,51,Stage 5 - Miriam Vale › Town of 1770 ,90.2,,,2004
03.11,18,52,Stage 4 - Bundaberg › Bundaberg ,33,,,2004
03.11,54,53,Stage 3 - Oakhurst Canefields › Oakhurst Canefields ,70.3,,,2004
02.11,4,12,Stage 2 - Hervey Bay › Hervey Bay ,72,,,2004
01.11,52,37,Stage 1 - Maryborough › Maryborough ,27,,,2004
14.10 » 24.10,,,Malaysia Airlines Herald Sun Tour of Provincial Victoria (2.3) ,,,,2004
,64,,General classification ,,,,2004
24.10,65,,Stage 13 - Traralgon › Traralgon ,57,,,2004
23.10,66,66,Stage 12 - Warragul › Mt Baw Baw ,87.7,,,2004
22.10,2,68,Stage 11 (ITT) - Mansfield › Jamieson ,38,12,11,2004
22.10,60,68,Stage 10 (ITT) - Mansfield › Mansfield ,33,,,2004
21.10,64,69,Stage 9 - Nagambie › Mansfield ,151.8,,,2004
