date,result ranking,general classification,race name,distance,PCS point,UCI point,year
22.05 » 12.06,,,Giro d'Italia () ,,,,1994
,38,,General classification ,,20,,1994
21.05 » 25.05,,,Euskal Bizikleta () ,,,,1994
,8,,General classification ,,18,,1994
25.05,8,,Stage 5 - Iureta  › Arrate ,137,1,,1994
08.02 » 13.02,,,Vuelta a Andalucia Ruta Ciclista Del Sol () ,,,,1994
,13,,General classification ,,8,,1994
26.09,36,,Coppa Placci () ,206,,,1993
25.09,22,,Giro dell'Emilia () ,205,4,,1993
18.09,5,,Subida al Naranco () ,162,28,,1993
09.09 » 14.09,,,Volta Ciclista a Catalunya () ,,,,1993
,17,,General classification ,,32,,1993
07.08,46,,Clasica Ciclista San Sebastian (CDM) ,238,5,,1993
21.06 » 24.06,,,Route du Sud () ,,,,1993
,9,,General classification ,,16,,1993
22.06,4,,Stage 2 - Saint-Gaudens › Luz-Saint-Sauveur ,158,5,,1993
15.06 » 19.06,,,GP du Midi-Libre () ,,,,1993
,10,,General classification ,,40,,1993
19.06,7,,Stage 5 - Alés › Sete ,194,2,,1993
09.03 » 14.03,,,Vuelta a Murcia () ,,,,1993
,11,,General classification ,,12,,1993
01.06 » 08.06,,,Critérium du Dauphiné Libéré () ,,,,1992
,19,,General classification ,,24,,1992
07.06,3,,Stage 7 - Alleverad-les-Bains › Villard-de-Lans ,177,18,,1992
18.04 » 23.04,,,Vuelta a Aragon () ,,,,1992
,28,,General classification ,,,,1992
31.03 » 12.04,,,Vuelta a Colombia (2.2) ,,,,1992
,7,,General classification ,,4,,1992
08.04,5,,Stage 8 - Honda › Ibagué ,141,,,1992
05.04,3,,Stage 5 - Armenia › Manizales ,151.2,1,,1992
19.06 » 23.06,,,Euskal Bizikleta () ,,,,1991
,52,,General classification ,,,,1991
03.06 » 10.06,,,Critérium du Dauphiné Libéré () ,,,,1991
,50,,General classification ,,5,,1991
05.02 » 10.02,,,Vuelta a Andalucia Ruta Ciclista Del Sol () ,,,,1991
,41,,General classification ,,,,1991
07.09 » 13.09,,,Volta Ciclista a Catalunya () ,,,,1990
,59,,General classification ,,5,,1990
30.05 » 06.06,,,Critérium du Dauphiné Libéré () ,,,,1990
,50,,General classification ,,5,,1990
11.01 » 21.01,,,Vuelta al Táchira () ,,,,1990
,2,,General classification ,,18,,1990
06.06 » 18.06,,,Vuelta a Colombia (2.2) ,,,,1989
,7,,General classification ,,4,,1989
15.06,5,,Stage 9 - Fusagasugá › Alto de San Miguel ,23.1,,,1989
07.04 » 16.04,,,Clásico RCN () ,,,,1989
,8,,General classification ,,,,1989
05.06 » 10.06,,,Critérium du Dauphiné Libéré () ,,,,1988
,38,,General classification ,,5,,1988
