date,result ranking,general classification,race name,distance,PCS point,UCI point,year
10.04 » 17.04,,,Presidential Cycling Tour of Türkiye (2.Pro),,,,2022
,146,,General classification,,,,2022
16.04,146,146,Stage 7 - Gelibolu › Tekirdağ,131.3,,,2022
15.04,152,150,Stage 6 - Edremit (Akçay) › Eceabat (57.Alay Şehitliği),201.5,,,2022
14.04,145,153,Stage 5 - Manisa › Ayvalık,186.1,,,2022
13.04,149,152,Stage 4 - İzmir (Konak) › Manisa (Spil Milli Park),146.2,,,2022
12.04,38,149,Stage 3 - Çeşme › İzmir (Karşıyaka),117.9,,,2022
11.04,153,153,Stage 2 - Selçuk (Efes) › Alaçatı,156.4,,,2022
10.04,140,140,Stage 1 - Bodrum › Kuşadası,202,,,2022
27.03,60,,GP Adria Mobil (1.2),182.8,,,2022
24.03,DNF,,GP Vipava Valley & Crossborder Goriška (1.2),154.4,,,2022
19.03,10,,Grand Prix Manavgat Side (1.2),126,,3,2022
06.03,66,,Grand Prix Mediterrennean (1.2),98,,,2022
05.03,16,,Grand Prix Gazipaşa ME (1.2),123.6,,,2022
20.02,24,,Grand Prix Justiniano Race (1.2),156.3,,,2022
10.02 » 13.02,,,Tour of Antalya (2.1),,,,2022
,132,,General classification,,,,2022
13.02,61,,Stage 4 - Antalya › Antalya,156.5,,,2022
12.02,109,133,Stage 3 - Aspendos › Termessos,110.6,,,2022
11.02,142,144,Stage 2 - Kemer › Antalya,180.3,,,2022
10.02,125,138,Stage 1 - Side › Antalya,142.4,,,2022
28.01 » 01.02,,,Tour of Sharjah (2.2),,,,2022
,6,,Points classification,,,,2022
,38,,General classification,,,,2022
01.02,2,,Stage 5 - Khor Fakkan › Sharjah,103,2,3,2022
31.01,35,43,Stage 4 - Al Badayer Oases › Wadi al Hedo,122.8,,,2022
30.01,54,50,Stage 3 - Al Fujayrak › Khor Fakkan (Al Suhub Rest Area),107.8,,,2022
29.01,6,43,Stage 2 - Sharjah › Ahd Dhayd,95.35,,,2022
28.01,45,45,Stage 1 (ITT) - Sharjah › Sharjah,8.86,,,2022
18.07,31,,Grand Prix Develi ME (1.2),130.8,,,2021
17.07,OTL,,Grand Prix Velo Erciyes ME (1.2),139.9,,,2021
11.07,OTL,,Grand Prix Kayseri ME (1.2),136.7,,,2021
10.07,21,,Grand Prix Erciyes - Mimar Sinan ME (1.2),149.3,,,2021
04.07,7,,Kahramanmaraş Grand Prix Road Race ME (1.2),124.5,,5,2021
03.07,39,,Germenica Grand Prix Road Race ME (1.2),153.8,,,2021
19.06,2,,National Championships Turkey - Road Race (NC),124.8,10,30,2021
06.03,115,,Grand Prix Mediterrennean ME (1.2),157.4,,,2021
20.02,29,,Grand Prix Velo Manavgat ME (1.2),147.5,,,2021
26.09 » 27.09,,,Tour of Mevlana (2.2),,,,2020
