date,result ranking,general classification,race name,distance,PCS point,UCI point
05.10,DNF,,Tre Valli Varesine (1.Pro),196.7,,
04.10,75,,Coppa Bernocchi - GP BPM (1.Pro),197.15,,
02.10,DNF,,Giro dell'Emilia (1.Pro),195.3,,
14.09 » 18.09,,,Skoda-Tour de Luxembourg (2.Pro),,,
,69,,General classification,,,
18.09,96,,Stage 5 - Mersch › Luxembourg-City,183.7,,
17.09,41,59,Stage 4 (ITT) - Dudelange › Dudelange,25.4,,
16.09,92,68,Stage 3 - Mondorf-les-Bains  › Mamer,189.3,,
15.09,102,66,Stage 2 - Steinfort › Eschdorf,186.1,,
14.09,62,62,Stage 1 - Luxembourg-City › Luxembourg-City,140,,
29.08,71,,Bretagne Classic - Ouest-France (1.UWT),251,5,
05.08 » 08.08,,,Sazka Tour (2.1),,,
,60,,General classification,,,
08.08,30,,Stage 4 - Šumperk › Šternberk,174.1,,
07.08,64,67,Stage 3 - Moravská Třebová › Dlouhé stráně,143.2,,
06.08,79,73,Stage 2 - Olomouc › Pustevny,203.4,,
05.08,67,67,Stage 1 - Prostějov › Uničov,150.8,,
20.06,2,,National Championships United States - Road Race (NC),190.9,10,75
30.05 » 06.06,,,Critérium du Dauphiné (2.UWT),,,
,97,,General classification,,5,
06.06,118,,Stage 8 - La Léchère-Les-Bains  › Les Gets,147,,
05.06,95,95,Stage 7 - Saint-Martin-le-Vinoux › La Plagne,171.1,,
04.06,91,93,Stage 6 - Loriol-sur-Drome › Le Sappey-en-Chartreuse,167.2,,
03.06,106,86,Stage 5 - Saint-Chamond › Saint-Vallier,175.4,,
02.06,134,79,Stage 4 (ITT) - Firminy › Roche-La-Molière,16.4,,
01.06,120,76,Stage 3 - Langeac › Saint-Haon-Le-Vieux ,172.2,,
31.05,85,74,Stage 2 - Brioude  › Saugues,172.8,,
30.05,79,79,Stage 1 - Issoire › Issoire,181.8,,
18.05 » 22.05,,,Vuelta a Andalucia Ruta Ciclista Del Sol (2.Pro),,,
,60,,General classification,,,
22.05,86,,Stage 5 - Vera  › Pulpí,107,,
21.05,61,58,Stage 4 - Baza › Cúllar Vega,182.9,,
20.05,61,61,Stage 3 - Beas de Segura › Villarrodrigo (Puerto de Onsares),176.9,,
19.05,65,70,Stage 2 - Iznájar  › Alcalá la Real,184.8,,
18.05,79,79,Stage 1 - Mijas › Zahara de la Sierra,152.1,,
27.04 » 02.05,,,Tour de Romandie (2.UWT),,,
,63,,General classification,,5,
02.05,68,,Stage 5 (ITT) - Fribourg › Fribourg,16.19,,
01.05,75,65,Stage 4 - Sion › Thyon 2000,161.3,,
30.04,86,57,Stage 3 - Estavayer › Estavayer,168.7,,
29.04,58,49,Stage 2 - La Neuveville › Saint-Imier,165.7,,
28.04,70,70,Stage 1 - Aigle › Martigny,168.1,,
27.04,100,100,Prologue - Oron › Oron,4.05,,
25.04,104,,Liège-Bastogne-Liège (1.UWT),259.1,5,
21.04,74,,La Flèche Wallonne (1.UWT),193.6,5,
22.03 » 28.03,,,Volta Ciclista a Catalunya (2.UWT),,,
,92,,General classification,,5,
28.03,72,,Stage 7 - Barcelona › Barcelona,133,,
27.03,136,103,Stage 6 - Tarragona › Mataró,193.8,,
26.03,97,91,Stage 5 - La Pobla de Segur › Manresa,201.1,,
25.03,100,92,Stage 4 - Ripoll › Port Ainé,166.5,,
24.03,111,79,Stage 3 - Canal Olimpic de Catalunya › Vallter 2000,203.1,,
23.03,93,74,Stage 2 (ITT) - Banyoles › Banyoles,18.5,,
22.03,82,82,Stage 1 - Calella › Calella,178.4,,
07.03,90,,GP Industria & Artigianato (1.Pro),193.4,,
06.03,44,,Strade Bianche (1.UWT),184,5,5
03.10 » 25.10,,,Giro d'Italia (2.UWT),,,
08.10,DNS,,Stage 6 - Castrovillari › Matera,188,,
07.10,167,169,Stage 5 - Mileto › Camigliatello Silano,225,,
06.10,161,172,Stage 4 - Catania › Villafranca Tirrena,140,,
05.10,163,173,Stage 3 - Enna › Etna,150,,
04.10,173,173,Stage 2 - Alcamo › Agrigento,149,,
03.10,48,48,Stage 1 (ITT) - Monreale › Palermo,15.1,,
07.09 » 14.09,,,Tirreno-Adriatico (2.UWT),,,
,67,,General classification,,5,
14.09,130,,Stage 8 (ITT) - San Benedetto del Tronto › San Benedetto del Tronto,10.1,,
13.09,94,67,Stage 7 - Pieve Torina › Loreto,181,,
12.09,40,64,Stage 6 - Castelfidardo › Senigallia,171,,
11.09,71,66,Stage 5 - Norcia › Sassotetto,202,,
10.09,65,63,Stage 4 - Terni › Cascia,194,,
09.09,68,68,Stage 3 - Follonica › Saturnia,217,,
08.09,115,91,Stage 2 - Camaiore › Follonica,201,,
07.09,65,67,Stage 1 - Lido di Camaiore › Lido di Camaiore,133,,
12.08 » 16.08,,,Critérium du Dauphiné (2.UWT),,,
,77,,General classification,,5,
16.08,77,,Stage 5 - Megève › Megève,142.5,,
15.08,96,85,Stage 4 - Ugine › Megève,148.5,,
14.08,130,84,Stage 3 - Corenc › Saint-Martin-de-Belleville,157,,
13.08,83,69,Stage 2 - Vienne › Col de Porte,135,,
12.08,74,74,Stage 1 - Clermont-Ferrand › Saint-Christo-en-Jarez,218.5,,
03.08,DNF,,Gran Trittico Lombardo (1.Pro),199.7,,
01.08,7,,Strade Bianche (1.UWT),184,60,95
19.02 » 23.02,,,Vuelta a Andalucia Ruta Ciclista Del Sol (2.Pro),,,
,29,,Mountains classification,,,
,29,,Points classification,,,
,16,,General classification,,16,5
23.02,34,,Stage 5 (ITT) - Mijas › Mijas,13,,
22.02,18,16,Stage 4 - Villanueva Mesia › Granada,125,,
21.02,14,20,Stage 3 - Jáen › Ubeda,176.9,,
20.02,20,20,Stage 2 - Sevilla  › Iznajar ,198.1,,
19.02,22,22,Stage 1 - Alhaurin de la Torre › Grazalema,173.8,,
09.10,DNF,,Milano-Torino (1.HC),179,,
01.10 » 06.10,,,CRO Race (2.1),,,
,20,,Points classification,,,
,8,,General classification,,18,30
06.10,11,,Stage 6 - Sveta Nedelja › Zagreb,154,,
05.10,12,8,Stage 5 - Rabac › Platak,136,,
04.10,16,12,Stage 4 - Starigrad › Gorski Kotar,155,,
03.10,8,14,Stage 3 - Okrug › Makarska,63.5,1,
02.10,15,21,Stage 2 - Slunj › Zadar,183,,
01.10,39,41,Stage 1 - Osijek › Lipik,200,,
15.09,66,,Grand Prix Cycliste de Montréal (1.UWT),219.6,5,
13.09,44,,Grand Prix Cycliste de Québec (1.UWT),201.6,5,10
15.08 » 18.08,,,Czech Cycling Tour (2.1),,,
18.08,DNS,,Stage 4 - Mohelnice › Šternberk,178,,
17.08,36,6,Stage 3 - Olomouc › Uničov,175.3,,
16.08,55,6,Stage 2 - Olomouc › Frýdek-Místek,186.6,,
15.08,1,6,Stage 1 (TTT) - Ostrava › Ostrava,16,10,2
03.08,23,,Clásica Ciclista San Sebastián (1.UWT),227.3,12,16
11.05 » 02.06,,,Giro d'Italia (2.UWT),,,
28.05,DNS,,Stage 16 - Lovere › Ponte di Legno,194,,
26.05,139,81,Stage 15 - Ivrea › Como,232,,
25.05,68,71,Stage 14 - Saint Vincent › Courmayeur (Skyway Monte Bianco),131,,
24.05,60,70,Stage 13 - Pinerolo › Ceresole Reale (Lago Serrù),196,,
23.05,120,85,Stage 12 - Cuneo › Pinerolo,158,,
22.05,137,73,Stage 11 - Carpi › Novi Ligure,221,,
21.05,120,70,Stage 10 - Ravenna › Modena,145,,
19.05,88,72,Stage 9 (ITT) - Riccione › San Marino,34.8,,
18.05,111,72,Stage 8 - Tortoreto Lido › Pesaro,239,,
17.05,66,69,Stage 7 - Vasto › L'Aquila,185,,
16.05,20,82,Stage 6 - Cassino › San Giovanni Rotondo,238,,
15.05,106,109,Stage 5 - Frascati › Terracina,140,,
14.05,130,111,Stage 4 - Orbetello › Frascati,235,,
13.05,146,108,Stage 3 - Vinci › Orbetello,220,,
12.05,114,94,Stage 2 - Bologna › Fucecchio,205,,
11.05,33,33,Stage 1 (ITT) - Bologna › Madonna di San Luca,8,,
27.03 » 31.03,,,Settimana Internazionale Coppi e Bartali (2.1),,,
,22,,Mountains classification,,,
,47,,General classification,,,
31.03,61,,Stage 5 - Fiorano Modenese › Sassuolo,153.4,,
30.03,90,46,Stage 4 - Crevalcore › Crevalcore,171.4,,
29.03,42,47,Stage 3 - Forlì › Forlì,166.2,,
28.03,52,52,Stage 2 - Riccione › Sogliano al Rubicone,140,,
27.03,62,62,Stage 1a - Gatteo › Gatteo,97.8,,
27.03,1,72,Stage 1b (TTT) - Gatteo a mare › Gatteo,13.3,10,2
13.03 » 19.03,,,Tirreno-Adriatico (2.UWT),,,
,38,,General classification,,5,10
19.03,86,,Stage 7 (ITT) - San Benedetto del Tronto › San Benedetto del Tronto,10,,
18.03,89,36,Stage 6 - Matelica › Jesi,195,,
17.03,78,35,Stage 5 - Colli al Metauro › Recanati,180,,
16.03,36,26,Stage 4 - Foligno › Fossombrone,221,,
15.03,36,2,Stage 3 - Pomarance › Foligno,226,,
14.03,19,2,Stage 2 - Camaiore › Pomarance,195,,
13.03,1,2,Stage 1 (TTT) - Lido di Camaiore › Lido di Camaiore,21.5,20,8.57
09.03,21,,Strade Bianche (1.UWT),184,14,12
24.02 » 02.03,,,UAE Tour (2.UWT),,,
,18,,General classification,,28,20
02.03,35,,Stage 7 - Dubai Safari Park › City Walk,145,,
01.03,23,18,Stage 6 - Ajman › Jebel Jais,180,,
28.02,52,19,Stage 5 - Flag Island › Khor Fakkan,181,,
27.02,11,19,Stage 4 - Palm Jumeirah › Hatta Dam,197,,
26.02,27,27,Stage 3 - UAE University › Jebel Hafeet,179,,
25.02,100,57,Stage 2 - Yas Island › Abu Dhabi Big Flag,184,,
24.02,12,59,Stage 1 (TTT) - Al Hudayriat Island › Al Hudayriat Island,16,,
09.10 » 14.10,,,Presidential Cycling Tour of Turkey (2.UWT),,,
,39,,Points classification,,,
,12,,General classification,,55,35
14.10,37,,Stage 6 - Bursa › Istanbul,166.7,,
13.10,72,12,Stage 5 - Selçuk › Manisa,137.3,,
12.10,11,12,Stage 4 - Marmaris › Selçuk,206.9,,
11.10,59,63,Stage 3 - Fethiye › Marmaris,137.2,,
10.10,100,82,Stage 2 - Alanya › Antalya,154.1,,
09.10,61,60,Stage 1 - Konya › Konya,150,,
30.09,63,,World Championships - Road Race (WC),258,15,
25.08 » 16.09,,,La Vuelta ciclista a España (2.UWT),,,
,37,,Mountains classification,,,
,98,,Points classification,,,
,66,,General classification,,20,
16.09,106,,Stage 21 - Alcorcón › Madrid  ,112.3,,
15.09,47,66,Stage 20 - Andorra. Escaldes-Engordany › Andorra. Collada de la Gallina,97.3,,
14.09,69,71,Stage 19 - Lleida  › Andorra. Naturlandia  ,154.4,,
