date,result ranking,general classification,race name,distance,PCS point,UCI point
11.04 » 15.04,,,Volta ao Alentejo em Bicicleta (2.1),,,
,92,,General classification,,,
15.04,52,,Stage 5 - Evora › Evora,186.3,,
14.04,107,,Stage 4 - Redondo › Portalegre,186.1,,
13.04,21,,Stage 3a - Moura › Serpa,73.5,,
13.04,54,,Stage 3b (ITT) - Salvada › Beja,12.5,,
12.04,7,,Stage 2 - Zambujeira › Alcacer Do Sal,153.5,2,
11.04,27,,Stage 1 - Santiago Do Cacem › Odemira,150.8,,
08.06 » 11.06,,,GP CTT Correios de Portugal (2.1),,,
08.06,38,38,Stage 1 - Gaia › Figueira de Foz,170.8,,
03.05 » 07.05,,,Vuelta Ciclista Internacional a Extremadura (2.2),,,
,83,,General classification,,,
07.05,87,,Stage 5 - Don Benito › Don Benito,142.8,,
06.05,43,84,Stage 4a - Merida › Merida,100,,
06.05,70,84,Stage 4b (ITT) - La Zarza › La Zarza,4.1,,
05.05,92,84,Stage 3 - Almendralejo › Almendralejo,129.6,,
04.05,48,47,Stage 2 - Plasencia › Caceres,167.8,,
03.05,17,17,Stage 1 - Castelo Braco › Plasencia,169.2,,
19.03 » 26.03,,,Volta de Ciclismo Internacional do Estado de São Paulo (2.2),,,
,29,,Points classification,,,
,81,,General classification,,,
26.03,7,,Stage 9 - Jundiai › São Paulo,48,,
25.03,47,81,Stage 8 - Ribeirão Preto › Campinas,223,,
24.03,91,85,Stage 7 - São José di Rio Preto › Ribeirão Preto,208.4,,
23.03,76,86,Stage 6 (ITT) - São José di Rio Preto › São José di Rio Preto,10,,
22.03,89,84,Stage 5 - São Carlos › Bauru,173.4,,
21.03,96,87,Stage 4 - Atibaia › São Carlos,249.5,,
20.03,82,73,Stage 3 - São José dos Campos › Atibaia,108.7,,
19.03,9,6,Stage 2 - São Paulo › São José dos Campos,88.5,,
19.03,13,4,Stage 1 - São Paulo › São Paulo,21.5,,
09.03 » 12.03,,,Volta ao Santarém (2.1),,,
,106,,General classification,,,
12.03,103,,Stage 4 - Colega › Santarém,166,,
11.03,103,104,Stage 3 (ITT) - Alpiarça › Alpiarça,18,,
10.03,106,99,Stage 2 - Cartaxo › Abrantes,169.5,,
09.03,66,69,Stage 1 - Fatima › Torres Novas,209,,
09.02 » 12.02,,,GP Costa Azul (2.1),,,
,33,,General classification,,,
12.02,15,,Stage 4,172,,
11.02,48,36,Stage 3,192,,
10.02,25,34,Stage 2,189,,
09.02,38,39,Stage 1,158,,
05.08 » 14.08,,,Volta a Portugal (2.HC),,,
10.08,81,,Stage 6 - Trancoso › Fafe,173.1,,
09.08,110,,Stage 5 - Termas Monfortinho › Gouveia,183.7,,
08.08,70,,Stage 4 - Penamacor › Castelo Branco,216.7,,
07.08,119,,Stage 3 - Lousã › Fundão,156.2,,
06.08,9,,Stage 2 - Cartaxo › Figueira Da Foz,187.9,,
05.08,13,16,Stage 1 - Oeiras › Lisboa,169,,
10.06 » 12.06,,,GP CTT Correios de Portugal (2.1),,,
,20,,Points classification,,,
,11,,General classification,,12,
12.06,25,,Stage 3 - Alcobaça › Lisbon,172.9,,
11.06,35,18,Stage 2 - Figueira da Foz › Nazaré,164.5,,
10.06,10,13,Stage 1 - Porto › Figueira da Foz,197.1,,
17.04,43,,Giro d'Oro (1.1),184,,
16.02 » 20.02,,,Volta ao Algarve (2.1),,,
19.02,76,120,Stage 4 - Castro Marin › Tavira,155,,
18.02,95,128,Stage 3 - Vila do Bispo › Lagos,200,,
17.02,63,135,Stage 2 - Vila Real de Santo António › Portimao,207,,
16.02,139,140,Stage 1 - Albufeira › Albufeira,140,,
10.02 » 13.02,,,GP Costa Azul (2.1),,,
,18,,Points classification,,,
,17,,General classification,,4,
13.02,12,,Stage 4 - Santiago do Cacém › Santiago do Cacém,160.2,,
12.02,20,12,Stage 3 - Sines › Sines,158.7,,
11.02,9,15,Stage 2 - Seixal › Seixal,159.5,,
10.02,8,13,Stage 1 - Setúbal › Setúbal,163.2,1,
07.07 » 11.07,,,Troféu Joaquim Agostinho - GP de Ciclismo de Torres Vedras (2.3),,,
09.07,89,85,Stage 3 - Torres Vedras  › Torres Vedras ,149,,
08.07,8,77,Stage 2 - Azambuja › Lourinhã,162,1,
07.07,87,88,Stage 1 - Silveira › Torres Vedras ,150,,
11.03 » 14.03,,,GP Estremadura - RTP (2.5),,,
,15,,Points classification,,,
,82,,General classification,,,
14.03,81,,Stage 4 (ITT) - Oeiras › Oeiras,13.6,,
13.03,89,78,Stage 3 - Torres Vedras › Montejunto,118.2,,
12.03,7,55,Stage 2 - Caldas da Rainha › Bombarral,144.7,,
11.03,58,59,Stage 1 - Torres Vedras › Caldas da Rainha,148.8,,
20.03 » 23.03,,,GP Mosqueteiros / Rota do Marquês (2.3),,,
,89,,General classification,,,
23.03,81,,Stage 4 (ITT) - Oeiras › Oeiras,12.3,,
22.03,94,90,Stage 3 - Marinha Grande › Oeiras,196.8,,
21.03,16,40,Stage 2 - Pombal › Marinha Grande,170.9,,
20.03,72,73,Stage 1 - Covilha › Pombal,185.7,,
14.10,56,,World Championships MJ - Road Race (WC),127.4,,
