date,result ranking,general classification,race name,distance,PCS point,UCI point
21.01 » 27.01,,,La Tropicale Amissa Bongo (2.1),,,
,77,,General classification,,,
27.01,56,,Stage 7 - Nkok › Libreville,140,,
26.01,72,76,Stage 6 - Bitam › Oyem,110,,
25.01,70,76,Stage 5 - Bitam › Mongomo,126,,
24.01,45,75,Stage 4 - Mitzic › Oyem,113,,
23.01,68,76,Stage 3 - Léconi › Franceville,98,,
22.01,77,77,Stage 2 - Franceville › Okondja,169,,
21.01,50,58,Stage 1 - Bongoville › Moanda,100,,
26.05 » 03.06,,,Tour du Cameroun (2.2),,,
01.06,OTL,,Stage 6 - Bafoussam › Bafoussam,98,,
31.05,47,44,Stage 5 - Mbanga › Bafang,121.5,,
29.05,42,39,Stage 4 - Douala › Limbe,75.5,,
27.05,32,32,Stage 2 - Kribi › Douala,175.7,,
26.05,18,20,Stage 1 - Pouma › Kribi,154.4,,
22.04 » 29.04,,,Tour du Sénégal (2.2),,,
,53,,General classification,,,
29.04,40,,Stage 8 - Dakar › Dakar,102.4,,
28.04,53,56,Stage 7 - Ngaparou › Ngaparou,140,,
27.04,59,60,Stage 6 - Ndangane › Ngueniene,114.9,,
26.04,65,60,Stage 5 - Thies › Ndangane,158.2,,
25.04,61,56,Stage 4 - Thies › Thies,108,,
24.04,62,57,Stage 3 - St Louis › Pire-Goureye,148.5,,
23.04,52,52,Stage 2 - Thies › St Louis,181.8,,
15.01 » 21.01,,,La Tropicale Amissa Bongo (2.1),,,
19.01,DSQ,,Stage 5 - Oyem › Ambam ,141,,
18.01,77,77,Stage 4 - Ndjolé › Mitzic,182,,
17.01,72,79,Stage 3 - Fougamou › Lambaréné,114,,
16.01,53,82,Stage 2 - Ndendé › Fougamou ,173,,
15.01,85,85,Stage 1 - Kango › Lambaréné,146.6,,
27.02 » 05.03,,,La Tropicale Amissa Bongo (2.1),,,
27.02,DNS,,Stage 1 - Moanda › Akiéni,147,,
12.02,DNF,,Challenge du Prince - Trophée de la Maison Royale (1.2),133.5,,
11.02,DNF,,Challenge du Prince - Trophée de l'Anniversaire (1.2),125,,
09.02,OTL,,Challenge du Prince - Trophée Princier (1.2),120,,
06.02,43,,Les Challenges de la Marche Verte - GP Al Massira (1.2),140,,
05.02,OTL,,Les Challenges de la Marche Verte - GP Oued Eddahab (1.2),104,,
12.03 » 20.03,,,Tour du Cameroun (2.2),,,
13.03,OTL,,Stage 2 - Pouma › Kribi,153,,
12.03,46,46,Stage 1 - Ayos › Yaoundé,128,,
26.02,OTL,,African Continental Championships - Road Race (CC),180,,
24.02,22,,African Continental Championships - ITT (CC),40.4,,
18.01 » 24.01,,,La Tropicale Amissa Bongo (2.1),,,
,12,,Youth classification,,,
,59,,General classification,,,
24.01,58,,Stage 7 - Cap Esterias › Libreville,130,,
23.01,66,65,Stage 6 (ITT) - Akanda › Stade de l'Amitie,4,,
22.01,65,65,Stage 5 - Meyo Kie › Oyem,118,,
21.01,60,69,Stage 4 - Oyem › Ambam,141,,
20.01,69,68,Stage 3 - Lambarene › Ndole,130,,
19.01,57,53,Stage 2 - Fougamou › Mouila,105,,
18.01,51,52,Stage 1 - Kango › Lambarene,146,,
15.10 » 18.10,,,Grand Prix Chantal Biya (2.2),,,
,14,,Youth classification,,,
,53,,General classification,,,
18.10,38,,Stage 4 - Sangmelima › Yaoundé,165,,
17.10,56,56,Stage 3 - Zoetele › Meyomessala,130,,
16.10,42,56,Stage 2 - Yaoundé › Ebolowa,155.3,,
15.10,65,65,Stage 1 - Douala › Douala,112.5,,
13.09,65,,Jeux Africains 2015 de Brazzaville - Road Race (JR),150,,
16.02 » 22.02,,,La Tropicale Amissa Bongo (2.1),,,
,12,,Youth classification,,,
,53,,General classification,,,
22.02,49,,Stage 8 - Libreville › Libreville,127,,
21.02,46,61,Stage 7 - Port Gentil › Port Gentil,127,,
20.02,8,,Stage 6 (TTT) - Port Gentil › Port Gentil,8.5,,
20.02,36,66,Stage 5 - Lambaréné › Kango,145,,
19.02,63,69,Stage 4 - Ndjole › Lambaréné,133,,
18.02,71,71,Stage 3 - Mounana › Koulamoutou,157,,
17.02,78,67,Stage 2 - Okandja › Franceville,170,,
16.02,61,63,Stage 1 - Bongoville › Moanda,100,,
29.06,5,,National Championships Gabon - Road Race (NC),126,2,10
28.06,3,,National Championships Gabon - ITT (NC),17,2,2
13.01 » 19.01,,,La Tropicale Amissa Bongo (2.1),,,
,15,,Youth classification,,,
,73,,General classification,,,
19.01,78,,Stage 7 - Owendo › Libreville,124,,
18.01,73,73,Stage 6 - Port-Gentil › Port-Gentil,106,,
17.01,71,72,Stage 5 - Lambaréné › Kango,143,,
16.01,75,74,Stage 4 - Lambaréné › Mouila,190,,
15.01,74,73,Stage 3 - Ndjolé › Lambaréné,133,,
14.01,77,75,Stage 2 - Awoua › Oyem,120,,
13.01,72,72,Stage 1 - Bitam › Ebolowa,149,,
30.06,1,,National Championships Gabon - Road Race (NC),,,
14.01 » 20.01,,,La Tropicale Amissa Bongo (2.1),,,
19.01,OTL,,Stage 6 - Lambarene › Kango,147,,
18.01,84,78,Stage 5 - Lambarene › Mouila,189,,
17.01,84,76,Stage 4 - Oyem › Mitzic,109,,
16.01,72,69,Stage 3 - Oyem › Bitam,110,,
15.01,81,78,Stage 2 - Yaounde › Yaounde,112,,
14.01,70,73,Stage 1 - Bitam › Ebolowa,149,,
01.07,5,,National Championships Gabon - Road Race (NC),,2,
30.06,8,,National Championships Gabon - ITT (NC),,,
