date,result ranking,general classification,race name,distance,PCS point,UCI point
04.09 » 07.09,,,Giro della Regione Friuli Venezia Giulia (2.2),,,
,69,,General classification,,,
07.09,59,,Stage 4 - Forgaria nel Friuli › San Daniele del Friuli,144.5,,
06.09,87,90,Stage 3 - Pordenone › Gorizia ,177.5,,
05.09,131,112,Stage 2 - Gemona del Friuli › Lignano,160,,
04.09,23,101,Stage 1 (TTT) - Torreano di Martignacco › Martignacco,16.1,,
02.06,31,,Trofeo Alcide Degasperi (1.2),160.4,,
05.05,115,,Circuito del Porto - Trofeo Arvedi (1.2),179.9,,
22.04 » 26.04,,,Tour of the Alps (2.HC),,,
23.04,DNF,,Stage 2 - Reith im Alpbachtal › Schenna/Scena,178.7,,
22.04,76,76,Stage 1 - Kufstein › Kufstein,144,,
17.02,DNF,,Trofeo Laigueglia (1.HC),203.7,,
07.10,55,,Il Piccolo Lombardia (1.2U),174.7,,
25.09,43,,Ruota d'Oro - GP Festa del Perdono (1.2U),167.7,,
06.09 » 08.09,,,Giro della Regione Friuli Venezia Giulia (2.2),,,
,88,,General classification,,,
08.09,103,,Stage 3 - Lignano Sabbiadoro › Gorizia,157.5,,
07.09,70,72,Stage 2 - Feletto Umberto › Rif.Pelizzo Matajur,152.2,,
06.09,133,136,Stage 1 - Fagagna › Spilimbergo,166.2,,
28.04 » 01.05,,,Toscana Terra di Ciclismo Eroica (2.2U),,,
30.04,DNF,,Stage 2 - Radicofani › Monte Amiata,156.2,,
28.04,6,6,Stage 1 - Paganico › Cinigiano,146.3,,
22.04,27,,Tr. Città di S. Vendemiano - 58th GP Industria & Commercio (1.2U),171.8,,
07.04,11,,Trofeo Edil C (1.2U),147.5,,
02.04,5,,Giro del Belvedere (1.2U),166.6,2,10
01.04,19,,Trofeo Piva (1.2U),160,,
11.02,DNF,,Trofeo Laigueglia (1.HC),203.7,,
01.10,29,,Piccolo Giro di Lombardia (1.2U),163.1,,
26.09,DNF,,Ruota d'Oro - GP Festa del Perdono (1.2U),167,,
12.07 » 16.07,,,Giro Ciclistico della Valle d'Aosta Mont Blanc (2.2U),,,
,69,,General classification,,,
16.07,63,,Stage 4 - Aoste › Valgrisenche,103.7,,
15.07,65,67,Stage 3 - Valtournenche › Breuil Cervinia,170.1,,
14.07,70,66,Stage 2 - Villeneuve › Introd (Les Combes),138.4,,
13.07,61,61,Stage 1 - Quassolo › Quincinetto (Scalaro),172.6,,
12.07,63,63,Prologue - Saint Gervais Mont Blanc › Saint Nicolas de Veroce,8,,
09.06 » 15.06,,,Giro Ciclistico d'Italia (2.2U),,,
,72,,General classification,,,
15.06,70,,Stage 7 - Campo Imperatore Cima Pantin › Francavilla al Mare,148.9,,
14.06,75,81,Stage 6 - Castalincontrada › Francavilla al Mare,133.2,,
13.06,91,89,Stage 5a - Osima › Senigallia,87.2,,
13.06,17,86,Stage 5b (ITT) - Campocavallo di Osima › Campocavallo di Osima,14,,
12.06,82,92,Stage 4 - Gabicce Mare › Gabicce Mare,155.5,,
11.06,87,95,Stage 3 - Forli › Barnara di Romagna,140.5,,
10.06,107,99,Stage 2 - San Valentino di Castellarano › Castellarano,145.8,,
09.06,83,84,Stage 1 - Imola › Imola,131.7,,
14.05,62,,Gran Premio Industrie del Marmo (1.2U),174.7,,
07.05,66,,Circuito del Porto - Trofeo Arvedi (1.2),174.7,,
28.04 » 29.04,,,Toscana Terra di Ciclismo Eroica (2.2U),,,
,15,,General classification,,,
29.04,18,,Stage 2 - Foiano della Chiana › Buonconvento,147.5,,
28.04,16,20,Stage 1b - Cinigiano › Civitella Marittima,125,,
28.04,6,24,Stage 1a (TTT) - Cinigiano  › Cinigiano ,14.6,,
25.04,DNF,,Gran Premio della Liberazione (1.2U),138,,
23.04,46,,Tr. Città di S. Vendemiano - 57th GP Industria & Commercio (1.2U),171.8,,
17.04,DNF,,Giro del Belvedere (1.2U),166.6,,
08.04,DNF,,Trofeo Edil C (1.2U),149.1,,
19.03,64,,Popolarissima (1.2),174.7,,
27.09,30,,Ruota d'Oro - GP Festa del Perdono (1.2U),167,,
16.08,21,,GP Capodarco - Comunità di Capodarco (1.2U),180,,
14.09,58,,Trofeo Buffoni (1.1),135,,
20.09 » 22.09,,,Giro di Basilicata (2.1),,,
,87,,General classification,,,
22.09,107,,Stage 3 - Tramutola › Viggiano,117,,
21.09,69,71,Stage 2 - Tito Scalo › Tito,80,,
20.09,84,84,Stage 1 - Marina di Nova Siri › Matera,109,,
07.07,DNF,,Trofeo San Rocco (1.1),104.2,,
