date,result ranking,general classification,race name,distance,PCS point,UCI point
06.06,37,,Memorial Philippe Van Coningsloo (1.5),168.5,,
20.05,31,,Hasselt - Spa - Hasselt (1.5),166,,
01.05,8,,Grote Prijs 1 Mei - Ereprijs Victor de Bruyne (1.5),172,,
10.04 » 11.04,,,Vlaanderens Tweedaagse der Gaverstreek (1.6),,,
,57,,General classification,,,
11.04,25,,Stage 2 - Sint-Eloois-Vijve › Sint-Eloois-Vijve,8.7,,
10.04,79,,Stage 1 - Stasegem › Stasegem,155,,
06.03,74,,Vlaamse Pijl-Harelbeke (1.6),147,,
29.02,32,,Brussel - Opwijk (1.6),144,,
01.06,1,,GP Etienne de Wilde-Laarne (1.6),180.8,15,
01.05,11,,Grote Prijs 1 Mei - Ereprijs Victor de Bruyne (1.5),176,,
02.06,6,,Vlaamse Havenpijl (1.2),193,1,
17.03,10,,Omloop van het Waasland-Kemzeke (1.5),190,,
12.09,8,,National Championships Belgium - ITT (NC),45.6,,
21.05 » 01.06,,,Olympia's Tour (),,,
,56,,General classification,,,
01.06,3,,Stage 11 - Noordwijkerhout › Amsterdam,174.7,1,
31.05,6,,Stage 10 (ITT) - Noordwijkerhout › Noordwijkerhout ,25.1,,
30.05,49,,Stage 9 - Zaltbommel › Noordwijkerhout,135.6,,
29.05,11,,Stage 8 - Cranendonck › Tilburg,180.6,,
28.05,74,,Stage 7 - Born › Cranendonck,182.8,,
27.05,68,,Stage 6 - Maasbracht › Buchten,189.9,,
26.05,28,,Stage 5 - Almere › Zaltbommel,174.6,,
24.05,71,,Stage 3 - Raalte › Almere,127.1,,
22.05,77,,Stage 1 - Oss › Oss,151.5,,
21.05,2,,Prologue - Oss › Oss,7.1,2,
01.09,24,,Schaal Sels (1.1),195,,
16.05 » 25.05,,,Olympia's Tour (),,,
21.05,DNF,,Stage 5 - Born › Budel,165,,
20.05,88,,Stage 4 - Maasbracht › Buchten,212.6,,
19.05,42,,Stage 3a - Schijndel › Maasbracht,103,,
18.05,83,,Stage 2 - Hoogeveen › Schijndel,157,,
17.05,63,,Stage 1 - Hoogeveen › Hoogeveen,164,,
16.05,7,,Prologue - Hoogeveen › Hoogeveen,5,,
16.05 » 27.05,,,Olympia's Tour (),,,
25.05,3,,Stage 9 (ITT) - Hoogeveen › ,154.9,1,
13.04,18,,Paris-Camembert (),220,3,
