date,result ranking,general classification,race name,distance,PCS point,UCI point,year
24.03 » 30.03,,,Tour de Normandie (2.5) ,,,,1997
,34,,General classification ,,,,1997
30.03,7,,Stage 6a - Condé-sur-Noireau › Vire ,91,,,1997
28.03,9,,Stage 4 - Flers › Valognes ,194,,,1997
28.04,23,,Tour de Vendée () ,203.3,,,1996
07.04,17,,GP de la Ville de Rennes (1.4) ,193.1,4,,1996
03.04 » 06.04,,,Circuit cycliste Sarthe - Pays de la Loire (2.1) ,,,,1993
,61,,General classification ,,,,1993
05.04,12,,Stage 3 - Loué › Le Lude ,191,,,1993
04.04,5,,Stage 2 - Sillé-le-Guillaume  › Loué ,191,4,,1993
08.10,43,,Chrono des Herbiers () ,48.4,,,1989
05.10,25,,Chrono des Herbiers () ,48.4,,,1988
