date,result ranking,general classification,race name,distance,PCS point,UCI point
10.10,96,,Gran Premio Bruno Beghelli (1.1),191.5,,
09.10,DNF,,Giro dell'Emilia (1.HC),200,,
07.10,55,,Gran Premio Città di Peccioli - Coppa Sabatini (1.1),199,,
18.09,18,,GP Città di Modena - Viviana Manservisi (1.1),199.8,3,
28.08,53,,Giro del Veneto (1.1),198,,
19.08,DNF,,GP Banca di Legnano - Coppa Bernocchi (1.1),199.3,,
05.08,DNF,,Gp Industria E Commercio Artigianato Carnaghese (1.1),200,,
16.05 » 23.05,,,Tour of Japan (2.2),,,
,55,,General classification,,,
23.05,1,,Stage 7 - Tokyo › Tokyo,112.7,5,
22.05,62,,Stage 6 - Izu › Izu,97.6,,
21.05,69,,Stage 5 (ITT) - Subashiri › Fuji,11.4,,
19.05,50,,Stage 4 - Minami-Shinshu › Minami-Shinshu,148,,
18.05,1,,Stage 3 - Mino › Mino,160.7,5,
17.05,62,,Stage 2 - Nara › Nara,121.2,,
16.05,5,,Prologue - Sakai › Sakai,2.65,,
11.04 » 18.04,,,Presidential Cycling Tour of Turkey (2.HC),,,
,72,,General classification,,,
18.04,10,,Stage 8 - Antalya › Alanya,158.5,,
17.04,56,,Stage 7 - Finike › Antalya,114,,
16.04,89,,Stage 6 - Fethiye › Finike,194,,
15.04,9,,Stage 5 - Pamukkale › Fethiye,208.6,,
14.04,88,,Stage 4 - Marmaris › Pamukkale,209,,
13.04,44,,Stage 3 - Bodrum › Marmaris,170,,
12.04,3,,Stage 2 - Kusadasi › Bodrum,181,12,
11.04,85,,Prologue - Istanbul › Istanbul,5.8,,
03.03,103,,Giro del Friuli (1.1),190,,
28.02,39,,Gp Di Lugano (1.1),142.8,,
27.02,95,,GP Dell'Insubria-lugano (1.1),181.8,,
06.02,8,,GP Costa Degli Etruschi (1.1),193,18,
30.01 » 02.02,,,Giro della Provincia di reggio Calabria (2.1),,,
,98,,General classification,,,
02.02,16,,Stage 4 - Soverato › Reggio Calabria,165.7,,
01.02,108,,Stage 3 - Crotone › Catanzaro,171.4,,
31.01,13,,Stage 2 - Cosenza › Crotone,178.7,,
30.01,99,,Stage 1 - Palmi › Cosenza,183.1,,
05.08 » 16.08,,,Volta a Portugal em Bicicleta - EDP (2.HC),,,
12.08,101,,Stage 7 - Barcelos › Santo Tirso,174.6,,
11.08,105,,Stage 6 - Felgueiras › Fafe,184.6,,
09.08,114,,Stage 5 - Trancoso › Mondim de Basto (Senhora da Graça),158.1,,
08.08,114,,Stage 4 - Fundão › Gouveia,164.3,,
07.08,117,,Stage 3 - Idanha-a-Nova › Guarda,175,,
06.08,102,,Stage 2 - Caldas das Rainha › Castelo Branco,228.7,,
05.08,20,,Prologue - Lisbon › Lisbon,2.4,,
17.06 » 21.06,,,Ster Elektrotoer (2.1),,,
,83,,General classification,,,
21.06,82,,Stage 4 - Beek › Helmond,179,,
20.06,104,,Stage 3 - Verviers › La Gileppe (Jalhay),189,,
19.06,44,,Stage 2 - Nuth (Schimmert) › Nuth (Schimmert),179,,
18.06,16,,Stage 1 - Eindhoven › Sittard/Geleen,175,,
17.06,64,,Prologue - Gemert › Gemert,6.9,,
12.06 » 14.06,,,Delta Tour Zeeland (2.1),,,
,59,,General classification,,,
14.06,58,,Stage 2 - Terneuzen › Terneuzen,185.9,,
13.06,26,,Stage 1 - Middelburg › Goes,181.7,,
12.06,19,,Prologue - Hulst › Hulst,2.7,,
27.05 » 31.05,,,Tour of Belgium (2.HC),,,
,108,,General classification,,,
31.05,107,,Stage 5 (ITT) - Herzele › Herzele,16.7,,
30.05,124,,Stage 4 - Fléron › Fléron,174.5,,
29.05,31,,Stage 3 - Knokke-Heist › Temse,181.7,,
28.05,97,,Stage 2 - Buggenhout › Knokke-Heist,191.8,,
27.05,54,,Stage 1 - Tervuren › Tervuren,185.4,,
