date,result ranking,general classification,race name,distance,PCS point,UCI point,year
26.01 » 02.02,,,Vuelta a San Juan Internacional (2.Pro),,,,2020
,77,,General classification,,,,2020
02.02,66,,Stage 7 - San Juan › San Juan,141.3,,,2020
01.02,101,77,Stage 6 - Autódromo El Villicúm › Autódromo El Villicúm,174.5,,,2020
31.01,114,76,Stage 5 - San Martín › Alto Colorado,169.5,,,2020
29.01,89,57,Stage 4 - San José de Jáchal › Villa San Agustín,185.8,,,2020
28.01,67,59,Stage 3 (ITT) - Ullum › Punta Negra,15.5,,,2020
27.01,76,48,Stage 2 - Pocito › Pocito,164.7,,,2020
26.01,42,42,Stage 1 - San Juan › San Juan,163.5,,,2020
10.08,DNF,,Pan American Games - Road Race (CC),177,,,2019
17.07 » 24.07,,,Vuelta Ciclista a Venezuela (2.2),,,,2019
,18,,Points classification,,,,2019
,50,,General classification,,,,2019
24.07,1,,Stage 8 - La Guaira › La Guaira,97,5,7,2019
23.07,43,52,Stage 7 - San Felipe › Cagua,187.6,,,2019
22.07,32,54,Stage 6 - Quíbor › San Felipe,135.2,,,2019
21.07,49,54,Stage 5 (ITT) - Pavia › Pavia,28.4,,,2019
20.07,55,54,Stage 4 - Guanare › Barquisimeto,166,,,2019
19.07,62,65,Stage 3 - Valencia › Acarigua,177.5,,,2019
18.07,67,65,Stage 2 - San Francisco de Yare › Valencia,165,,,2019
17.07,65,65,Stage 1 - Caracas › Caracas,85,,,2019
11.01 » 18.01,,,Vuelta al Tachira en Bicicleta (2.2),,,,2019
12.01,DNF,,Stage 2 - Peribeca › Borotá,144.1,,,2019
11.01,15,15,Stage 1 - Bramon › Rubio,124.8,,,2019
29.07,4,,Juegos Deportivos Centroamericanos y del Caribe - Road Race (JR),168,,,2018
05.07 » 14.07,,,Vuelta Ciclista a Venezuela (2.2),,,,2018
,8,,Points classification,,,,2018
,9,,General classification,,2,3,2018
14.07,7,,Stage 10 - Valencia › Valencia,96,,,2018
13.07,12,10,Stage 9 - Ocumare del Tuy › Valencia,180.6,,,2018
12.07,5,9,Stage 8 - Morón › Charallave,190.1,,,2018
11.07,26,9,Stage 7 - Nirgua › Morón,145.4,,,2018
10.07,12,9,Stage 6 - Ospino › Nirgua,215.7,,,2018
09.07,3,11,Stage 5 (ITT) - Santuario de la Virgen del Coromoto › Guanare,34.5,1,1,2018
08.07,9,28,Stage 4 - Quíbor › Guanare,221.8,,,2018
07.07,3,23,Stage 3 - Monay › Barquisimeto,184,1,1,2018
06.07,22,26,Stage 2 - Cabimas › Sabana de Mendoza,175,,,2018
05.07,12,18,Stage 1 - Maracaibo › Maracaibo,96.2,,,2018
24.06,3,,National Championships Venezuela - Road Race (NC),169.4,7,60,2018
27.10 » 05.11,,,Vuelta Ciclista a Venezuela (2.2),,,,2017
,31,,Points classification,,,,2017
,37,,General classification,,,,2017
05.11,21,,Stage 10 - Maturin › Maturin,54,,,2017
04.11,14,37,Stage 9 - Cumana › Maturin,215.3,,,2017
03.11,33,40,Stage 8 - Anaco › Cumana,171.7,,,2017
02.11,10,39,Stage 7 - Guanape › Cantaura,210.8,,,2017
01.11,11,39,Stage 6 - Cagua › Altagracia de Orituco,191.7,,,2017
31.10,38,41,Stage 5 - San Felipe › Guacara,151.6,,,2017
30.10,41,47,Stage 4 - Ospino › San Felipe,185.8,,,2017
29.10,21,52,Stage 3 - Barquisimeto › Guanare,157.6,,,2017
28.10,23,50,Stage 2 - Trujillo › Barquisimeto,208.7,,,2017
27.10,54,54,Stage 1 - Valera › Timotes,111.3,,,2017
13.01 » 22.01,,,Vuelta al Táchira en Bicicleta (2.2),,,,2017
,46,,Points classification,,,,2017
,87,,General classification,,,,2017
22.01,63,,Stage 10 - San Cristobal › San Cristobal,94.2,,,2017
21.01,65,92,Stage 9 - Urena › Cerro el Cristo Rey,103.5,,,2017
20.01,76,98,Stage 8 - La Fria › Casa del Padre,129.7,,,2017
19.01,91,108,Stage 7 - Santa Cruz de Mora › La Grita,171.6,,,2017
18.01,96,114,Stage 6 - Merida › Tovar,134,,,2017
17.01,92,112,Stage 5 - Socopó › Santo Domingo de Mérida,141.7,,,2017
16.01,14,115,Stage 4 - Santa Ana › Santa Barbara de Barinas,165.2,,,2017
15.01,115,117,Stage 3 - San Cristobal › San Cristobal,115.2,,,2017
14.01,119,113,Stage 2 - San Rafael de el Pinal › Borota,134.1,,,2017
13.01,22,27,Stage 1 - San Cristobal Tabira › San Cristobal Tabira,102.9,,,2017
12.06 » 21.06,,,Vuelta Ciclista a Venezuela (2.2),,,,2015
,90,,General classification,,,,2015
21.06,89,,Stage 10 - Taguay › Caracas,160,,,2015
20.06,85,94,Stage 9 - Cagua › Altagracia de Orituco,191.7,,,2015
19.06,92,101,Stage 8 - Guama › Guacara,165.4,,,2015
18.06,41,94,Stage 7 - Acarigua › San Filipe,154,,,2015
17.06,13,95,Stage 6 - Santa Domingo › Guanare,108,,,2015
16.06,92,95,Stage 5 - Ospina › Santa Domingo,215.9,,,2015
15.06,87,101,"Stage 4 - Valencia, Ciudad Chávez › Barquisimeto",192.7,,,2015
14.06,119,106,Stage 3 - La Guaira › Colonia Tovar,104.7,,,2015
13.06,50,49,Stage 2 - La Ascinción › La Ascinción,68,,,2015
12.06,56,60,Stage 1 - El Valle del Espíritu Santo › El Valle del Espíritu Santo,144.8,,,2015
10.01 » 19.01,,,Vuelta al Tachira en Bicicleta (2.2),,,,2014
11.01,DNF,,Stage 2 - Socopó › Táriba,220.7,,,2014
10.01,97,98,Stage 1 - Guanare › Barinas,119.5,,,2014
