date,result ranking,general classification,race name,distance,PCS point,UCI point,year
29.05 » 01.06,,,Tour de Gironde (2.6) ,,,,2003
31.05,3,,Stage 3 - Bordeaux › Pauillac ,102.7,1,,2003
21.05,19,,National Championships United States - ITT (NC) ,34,,,2003
29.05 » 01.06,,,Tour de Gironde (2.6) ,,,,2003
31.05,3,,Stage 3 - Bordeaux › Pauillac ,102.7,1,,2003
21.05,19,,National Championships United States - ITT (NC) ,34.0,,,2003
11.10,DNF,,World Championships U23 - Road Race (WC) ,166.0,,,2002
18.09 » 22.09,,,GP Tell (2.Ncup) ,,,,2002
,48,,General classification ,,,,2002
22.09,24,,Stage 5a - Willisau › Willisau ,24.9,,,2002
22.09,42,,Stage 5b - Willisau › Willisau ,91.8,,,2002
21.09,74,,Stage 4 - Emmenbrücke › Safenwil ,124.8,,,2002
20.09,54,,Stage 3 - Brunnen › Emmenbrücke ,170.0,,,2002
19.09,35,,Stage 2 - Huttwil › Brunnen ,140.0,,,2002
18.09,63,,Stage 1 - Huttwil › Huttwil ,72.5,,,2002
08.09,32,,Tour de la Somme (1.5) ,,,,2002
