date,result ranking,general classification,race name,distance,PCS point,UCI point,year
20.08,127,,Zuri Metzgete (CDM) ,235,5,,1995
04.06,42,,US Pro Championship () ,250,,,1995
23.05 » 28.05,,,West Virginia Classic () ,,,,1995
,47,,General classification ,,,,1995
30.04,39,,GP du canton d'Argovie () ,196,,,1995
23.04,44,,Tour de Berne () ,206.4,,,1995
24.08,38,,Druivenkoers - Overijse () ,194,,,1994
14.06 » 23.06,,,Tour de Suisse () ,,,,1994
,77,,General classification ,,5,,1994
12.05,25,,Grand Prix de Wallonie () ,194,,,1994
01.05,35,,GP du canton d'Argovie () ,196,,,1994
06.04,108,,Gent - Wevelgem () ,210,5,,1994
27.03,34,,De Brabantse Pijl - La Flèche Brabançonne () ,185,,,1994
20.03,39,,Cholet-Pays de Loire () ,207,,,1994
26.02,39,,Omloop Het Volk () ,200,,,1994
01.02,28,,Grand Prix d'Ouverture La Marseillaise () ,135,,,1994
25.08,25,,Druivenkoers - Overijse () ,194,,,1993
10.06 » 13.06,,,Tour de Luxembourg () ,,,,1993
,40,,General classification ,,,,1993
02.05,31,,GP du canton d'Argovie () ,206,,,1993
21.04,101,,Scheldeprijs () ,208,,,1993
27.03,149,,E3-Prijs Harelbeke () ,208,,,1993
26.04,44,,Tour de Berne () ,206.4,,,1992
18.06 » 28.06,,,Tour de Suisse () ,,,,1991
,109,,General classification ,,5,,1991
05.05,10,,GP du canton d'Argovie () ,206,14,,1991
28.04,17,,Tour du Nord-Ouest () ,200.8,4,,1991
23.02 » 23.02,,,Tour du Haut Var () ,,,,1991
,88,, ,198,,,1991
06.02 » 10.02,,,Etoile de Bessèges () ,,,,1991
,68,,General classification ,,,,1991
