date,result ranking,general classification,race name,distance,PCS point,UCI point,year
11.10,DNF,,Coppa Agostoni - Giro delle Brianze (1.1),180,,,2021
28.09 » 01.10,,,Giro di Sicilia - Tour of Sicily (2.1),,,,2021
01.10,DNF,,Stage 4 - Sant'Agata di Militello › Mascali,180,,,2021
30.09,126,128,Stage 3 - Termini Imerese › Caronia,180,,,2021
29.09,131,132,Stage 2 - Selinunte › Mondello,173,,,2021
28.09,131,131,Stage 1 - Avola › Licata,179,,,2021
19.09,DNF,,Trofeo Matteotti (1.1),195,,,2021
18.09,DNF,,Memorial Marco Pantani (1.1),190.7,,,2021
16.09,DNF,,Coppa Sabatini - Gran Premio città di Peccioli (1.Pro),210.8,,,2021
15.09,DNF,,Giro della Toscana - Memorial Alfredo Martini (1.1),191.6,,,2021
31.08 » 05.09,,,Turul Romaniei (2.1),,,,2021
,11,,Points classification,,,,2021
05.09,12,,Stage 5 - Bucharest › Bucharest,98.6,,,2021
,67,,General classification,,,,2021
04.09,2,73,Stage 4 - Brasov › Bucharest,159.3,12,5,2021
03.09,85,74,Stage 3 - Sibiu › Poiana Brașov,187,,,2021
02.09,81,74,Stage 2 - Deva › Păltiniș,154.9,,,2021
01.09,8,53,Stage 1 - Timișoara › Deva,201.5,1,,2021
31.08,54,54,Prologue - Timișoara › Timișoara,4,,,2021
25.07,100,,GP Kranj (1.2),157.3,,,2021
03.07 » 06.07,,,Sibiu Cycling Tour (2.1),,,,2021
,129,,General classification,,,,2021
06.07,131,,Stage 3 - Sibiu › Sibiu,205.3,,,2021
05.07,131,121,Stage 2 - Sibiu › Bâlea Lac,187.5,,,2021
04.07,103,116,Stage 1 - Sibiu › Paltinis,177.9,,,2021
03.07,97,97,Prologue - Sibiu › Sibiu,2.5,,,2021
24.06,DNF,,Giro dell'Appennino (1.1),192.1,,,2021
20.06,DNF,,National Championships Italy - Road Race (NC),225.9,,,2021
02.06,60,,Trofeo Alcide Degasperi (1.2),159.9,,,2021
28.03,49,,GP Adria Mobil (1.2),181.5,,,2021
21.03,3,,GP Slovenian Istria (1.2),156.5,7,25,2021
08.10 » 11.10,,,Giro della Regione Friuli Venezia Giulia (2.2),,,,2020
,47,,General classification,,,,2020
11.10,59,,Stage 4 - Percoto › Martignacco,175.4,,,2020
10.10,87,76,Stage 3 - San Vito al Tagliamento  › Buja,148,,,2020
09.10,93,38,Stage 2 - Variano › San Marco di Mereto di Tomba,164.5,,,2020
08.10,7,28,Stage 1 (TTT) - Aquileia › Grado,23.7,,,2020
19.09,85,,Giro dell'Appennino (1.1),191.5,,,2020
01.09 » 04.09,,,Settimana Internazionale Coppi e Bartali (2.1),,,,2020
,29,,Youth classification,,,,2020
,84,,General classification,,,,2020
04.09,114,,Stage 4 - Forlì › Forlì,166.2,,,2020
03.09,118,79,Stage 3 - Riccione › Riccione,168.9,,,2020
02.09,56,59,Stage 2 - Riccione › Sogliano al Rubicone,166.5,,,2020
01.09,32,32,Stage 1a - Gatteo › Gatteo,97.8,,,2020
01.09,19,84,Stage 1b (TTT) - Gatteo a Mare › Gatteo,13.3,,,2020
30.08,DNF,,Memorial Marco Pantani (1.1),199.8,,,2020
29.08,DNF,,Trofeo Matteotti (1.1),195,,,2020
23.08,DNF,,National Championships Italy - Road Race (NC),253.8,,,2020
18.08,DNF,,Giro dell'Emilia (1.Pro),199.7,,,2020
26.07,22,,GP Kranj (1.2),157.3,,,2020
16.02,30,,Trofeo Laigueglia (1.Pro),202,,5,2020
24.09,15,,Ruota d'Oro - GP Festa del Perdono (1.2U),167.7,,,2019
04.09 » 07.09,,,Giro della Regione Friuli Venezia Giulia (2.2),,,,2019
07.09,DNF,,Stage 4 - Forgaria nel Friuli › San Daniele del Friuli,144.5,,,2019
06.09,44,42,Stage 3 - Pordenone › Gorizia ,177.5,,,2019
05.09,17,56,Stage 2 - Gemona del Friuli › Lignano,160,,,2019
04.09,15,66,Stage 1 (TTT) - Torreano di Martignacco › Martignacco,16.1,,,2019
16.08,88,,Gp Capodarco Comunita Di Capodarco (1.2U),180,,,2019
11.08,DNF,,Gran Premio Sportivi di Poggiana - Trofeo Bonin Costruzioni (1.2U),169.6,,,2019
02.07,1,,Trofeo Città di Brescia (1.2),121.8,15,40,2019
30.06,DNF,,National Championships Italy U23 - Road Race (NC),153.9,,,2019
13.06 » 23.06,,,Giro Ciclistico d'Italia (2.2U),,,,2019
,23,,Points classification,,,,2019
,76,,General classification,,,,2019
23.06,107,,Stage 9 - Agordo › Passo Fedaia,39.9,,,2019
22.06,91,74,Stage 8 - Rosa › Falcade,133.6,,,2019
21.06,9,72,Stage 7 - Dimaro › Levico Terme,131.5,,,2019
20.06,75,73,Stage 6 - Aprica › Aprica,94.3,,,2019
19.06,116,75,Stage 5 - Sorbolo Mezzani › Passo Maniva,158.3,,,2019
17.06,77,57,Stage 4 - Buonconvento › Monte Amiata,140.2,,,2019
16.06,10,24,Stage 3 - Sesto Fiorentino › Gaiole in Chianti,145.5,,,2019
15.06,128,111,Stage 2 - Bagno di Romagna › Pescia,185.8,,,2019
14.06,118,118,Stage 1 - Riccione › Santa Sofia,138.8,,,2019
13.06,68,68,Prologue - Riccione › Riccione,3.3,,,2019
06.06 » 09.06,,,Course de la Paix Grand Prix Priessnitz spa (2.Ncup),,,,2019
,84,,General classification,,,,2019
09.06,91,,Stage 3 - Jesenik › Jesenik,171.5,,,2019
08.06,90,89,Stage 2 - Krnov › Dlouhé Strané,150.6,,,2019
07.06,105,105,Stage 1 - Jesenik › Rymarov,134.2,,,2019
06.06,29,29,Prologue - Krnov › Krnov,2,,,2019
02.06,8,,Trofeo Alcide Degasperi (1.2),160.4,,3,2019
12.05,57,,Gran Premio Industrie del Marmo (1.2U),174.7,,,2019
23.04,6,,G.P. Palio del Recioto - Trofeo C&F Resinatura Blocchi (1.2U),159.7,1,5,2019
22.04,5,,Giro del Belvedere (1.2U),163,2,10,2019
13.04,34,,Ronde van Vlaanderen Beloften (1.Ncup),167.5,,,2019
07.04,4,,Trofeo Piva (1.2U),174.8,4,15,2019
17.03,23,,Popolarissima (1.2),174.7,,,2019
25.09,6,,Ruota d'Oro - GP Festa del Perdono (1.2U),167.7,1,5,2018
07.06 » 16.06,,,Giro Ciclistico d'Italia (2.2U),,,,2018
14.06,DNF,,Stage 7 - Schio › Pian Delle Fugazze,136.9,,,2018
13.06,149,130,Stage 6 - Dimaro Folgarida › Pergine Valsugana,120.7,,,2018
12.06,149,129,Stage 5 - Darfo Boario Terme › Dimaro Folgarida (Malga di Dimaro),127.8,,,2018
11.06,143,116,Stage 4 - Mornico Al Serio › Passo Manivia,127.9,,,2018
10.06,173,105,Stage 3 - Rio Saliceto › Mornico Al Serio,164.3,,,2018
09.06,95,88,Stage 2 - Nonantola › Sestola,138.2,,,2018
08.06,61,85,Stage 1 - Riccione › Forlì,137.7,,,2018
07.06,122,122,Prologue - Forlì › Forlì,4.4,,,2018
02.06,10,,Trofeo Alcide Degasperi (1.2),166.6,,3,2018
13.05,13,,Gran Premio Industrie del Marmo (1.2U),174.7,,,2018
22.04,12,,Tr. Città di S. Vendemiano - 58th GP Industria & Commercio (1.2U),171.8,,,2018
09.07,DNF,,Giro del Medio Brenta (1.2),175,,,2017
27.06,29,,Trofeo Citta di Brescia (1.2),121.8,,,2017
02.06,DNF,,Trofeo Alcide Degasperi (1.2),156.4,,,2017
23.04,23,,Tr. Città di S. Vendemiano - 57th GP Industria & Commercio (1.2U),171.8,,,2017
17.04,47,,Giro del Belvedere (1.2U),166.6,,,2017
02.04,DNF,,Trofeo Piva (1.2U),179.8,,,2017
19.03,DNF,,Popolarissima (1.2),174.7,,,2017
25.04,DNF,,Gran Premio della Liberazione (1.2U),138,,,2016
16.04,DNF,,Trofeo Edil C (1.2),149.1,,,2016
18.05,58,,Tf GD Dorigo - MO Biemmereti - MO Cristiano Floriani - MO F. Mazzero (1.1),137.2,,,2014
