date,result ranking,general classification,race name,distance,PCS point,UCI point
09.02 » 16.02,,,Tour do Brasil Volta Ciclística de São Paulo-Internacional (2.2),,,
09.02,DNF,,Stage 1 - Barueri › Sorocaba,102.9,,
06.01,17,,Copa América de Ciclismo (1.2),110.5,,
14.10 » 21.10,,,Tour do Brasil Volta Ciclística de São Paulo-Internacional (2.2),,,
,92,,General classification,,,
21.10,120,,Stage 8 - Jundiai › São Paulo,72,,
20.10,107,87,Stage 7 - Pindamonhagaba › Campos do Jordao,72.4,,
19.10,80,76,Stage 6 - Atibaia › Pindamonhagaba,174.3,,
18.10,100,80,Stage 5 - Sorocaba › Atibaia,150.2,,
17.10,97,77,Stage 4 - Rio Claro › Sorocaba,166.8,,
16.10,83,67,Stage 3 (ITT) - São  Carlo › São  Carlo,23,,
15.10,55,55,Stage 2 - Bauru › São Carlos,178.6,,
14.10,63,67,Stage 1 - Marilia › Bauru,108.3,,
24.06,6,,National Championships Brazil - Road Race (NC),174.6,1,16
08.01,17,,Copa América De Ciclismo (1.2),110.5,,
16.10 » 23.10,,,Tour do Brasil Volta Ciclística de São Paulo-Internacional (2.2),,,
,29,,General classification,,,
23.10,22,,Stage 8 (ITT) - Sao Paolo › Sao Paolo,48,,
22.10,43,34,Stage 7 - Pindamohangaba › Campos do Jordao,53.2,,
21.10,49,30,Stage 6 - Atibaia › Pindamonhangaba,183.7,,
20.10,53,31,Stage 5 - Sorocaba › Atibaia,150.2,,
19.10,46,29,Stage 4 - Rio Claro › Sorocaba,179,,
18.10,25,26,Stage 3 (ITT) - Sao Carlos › Contra Rel?gio,23.4,,
17.10,26,46,Stage 2 - Bauru › Sao Carlos,178,,
16.10,76,74,Stage 1 - Marília › Bauru,114,,
13.04 » 17.04,,,Volta Ciclistica Internacional De Gravatai (2.2),,,
,63,,General classification,,,
17.04,64,,Stage 5 - Gravataí › Gravataí,150,,
16.04,49,,Stage 4 - Canela › Gravataí,150,,
15.04,40,,Stage 3 - Cambará do Sul › Canela,160,,
14.04,56,,Stage 2 - Torres › Cambará do Sul,140,,
13.04,66,,Stage 1 - Gravataí › Torres,180,,
28.07 » 01.08,,,Tour Do Rio (2.2),,,
,72,,General classification,,,
01.08,52,,Stage 5 - Cabo Frio › Rio de Janeiro,158,,
31.07,81,,Stage 4 - Nova Friburgo › Cabo Frio,138,,
30.07,10,,Stage 3 - Tres Rios › Nova Friburgo,157,,
29.07,98,,Stage 2 - Volta Redonda › Três Rios,160,,
28.07,97,,Stage 1 - Rio de Janeiro › Angra,170,,
26.03 » 04.04,,,Vuelta Ciclista al Uruguay (2.2),,,
,82,,General classification,,,
04.04,88,,Stage 11 - San Jose › Montevideo,184.6,,
03.04,92,,Stage 10 - Mercedes › San José de Mayo,188.1,,
02.04,72,,Stage 9 - Mercedes › Dolores,170.8,,
01.04,58,,Stage 8 (ITT) - Mercedes › Dolores,35.5,,
01.04,95,,Stage 7 - Cardona › Mercedes,98.4,,
31.03,101,,Stage 6 - Paysandu › Flores,182.4,,
30.03,73,,Stage 5 - Tacuarembó › Salto,134.4,,
29.03,73,,Stage 4 - Durazno › Tuacuarembo,197.5,,
28.03,90,,Stage 3 - Talas › Durazno,163.8,,
27.03,85,,Stage 2 - Rocha › Ramallo,183,,
26.03,101,,Stage 1 - Montevideo › Rocha,179.3,,
15.03 » 19.03,,,Giro do Interior de São Paulo (2.2),,,
,52,,General classification,,,
19.03,13,,Stage 5 - Barra Bonita › Barra Bonita,,,
18.03,71,,Stage 4 - Iguaraçu › Iguaraçu,168,,
17.03,51,,Stage 3 - Bocaina › Bocaina,116,,
16.03,34,,Stage 2 - Portal › Portal,107.3,,
15.03,41,,Prologue - Barra Bonita › ,6.6,,
23.08 » 30.08,,,Tour do Brasil Volta Ciclística de São Paulo-Internacional (2.2),,,
,97,,General classification,,,
30.08,41,,Stage 8 - Jundiaí › São Paulo,51.5,,
29.08,99,,Stage 7 - Sorocaba › Campinas,169.6,,
28.08,100,,Stage 6 - Bauru › Sorocaba,181,,
27.08,80,,Stage 5 - Ribeirão Prêto › Bauru,211.6,,
26.08,80,,Stage 4 - São Carlos › Ribeirão Prêto,99.5,,
25.08,94,,Stage 3 - Atibaia › São Carlos,247,,
24.08,65,,Stage 2 - São José dos Campos › Atibaia,113,,
23.08,24,,Stage 1 - São Paulo › São José dos Campos,91.1,,
07.08 » 09.08,,,Volta Ciclística Internacional De Campos (2.2),,,
08.08,72,,Stage 2 - Campos › Campos,116.6,,
07.08,70,,Stage 1 - Campos › Campos,171.4,,
09.07,15,,Prova Ciclistica 9 De Julho (1.2),86,,
22.04 » 26.04,,,Tour De Santa Catarina (2.2),,,
23.04,58,,Stage 2 - Timbó › Lontras,100.1,,
22.04,44,,Stage 1 - Joinville › Timbó,131.6,,
03.04 » 12.04,,,Vuelta Ciclista al Uruguay (2.2),,,
,51,,General classification,,,
12.04,26,,Stage 10 - San José › Montevideo,154.4,,
11.04,76,,Stage 9 - Carmelo › San José,168,,
10.04,88,,Stage 8 - Mercedes › Carmelo,159.4,,
09.04,71,,Stage 7 (ITT) - Mercedes › Dolores,33.6,,
08.04,73,,Stage 6 - Pueblo Constancia › Mercedes,170.5,,
07.04,72,,Stage 5 - Young › Paysandu,173.5,,
06.04,26,,Stage 4 - Ismael Cortinas › Fray Bentos,163.8,,
05.04,29,,Stage 3 - San Jacinto › Durazno,179.5,,
04.04,10,,Stage 2 - Maldonado › Ramallo,140,,
03.04,31,,Stage 1 - Piriapolis › Maldonado,146.6,,
26.03 » 29.03,,,Volta Ciclistica Internacional De Gravatai (2.2),,,
,14,,General classification,,,
29.03,16,,Stage 4 - Gravataí circuit race › ,80,,
28.03,36,,Stage 3 - Gravataí › Gravataí,139,,
27.03,13,,Stage 2 - Torres › Cambará do Sul,136,,
26.03,41,,Stage 1 - Gravataï¿½ › Tï¿½rres,172,,
09.07,44,,Prova Ciclistica 9 de Julho (1.2),86,,
06.01,82,,Copa America de Ciclismo (1.2),38.4,,
16.05 » 20.05,,,Volta Ciclistica Internacional do Paraná (2.2),,,
16.05,DNF,,Stage 1 - Bela Vista do Paraíso › Bela Vista do Paraíso,128.4,,
22.04 » 29.04,,,Volta de Ciclismo Internacional do Estado de São Paulo (2.2),,,
28.04,DNF,,Stage 9 - Ribeirão Preto › Campinas,259,,
27.04,66,,Stage 8 - São José do Rio Preto › Ribeirão Preto,208.4,,
26.04,85,,Stage 6 - Ribeirão Bonito › Bauru,116,,
25.04,45,,Stage 7 - Bauru › São José do Rio Preto,170,,
25.04,58,,Stage 5 (ITT) - São Carlos › Ribeirão Bonito,11.4,,
24.04,32,,Stage 4 - Atibaia › São Carlos,249.5,,
23.04,76,,Stage 3 - São José dos Campos › Atibaia,108.7,,
22.04,84,,Stage 2 - São Paulo › São José dos Campos,88.5,,
22.04,18,,Stage 1 - São Paulo › São Paulo,21.46,,
16.07,15,,Meeting Internacional de cyclismo (1.2),51.3,,
09.07,13,,Prova Ciclistica 9 de Julho (1.2),88.4,,
24.05 » 28.05,,,Volta Ciclística Internacional do Paraná (2.2),,,
,28,,General classification,,,
28.05,29,,Stage 5 - Rolândia › Rolândia,110,,
27.05,26,36,Stage 4 - Jaguapitã › Jaguapitã,160,,
26.05,29,37,Stage 3 - Ibiporã › Ibiporã,160,,
25.05,13,39,Stage 2 - Londrina › Londrina,91.5,,
24.05,45,45,Stage 1 - Bela Vista do Paraíso › Bela Vista do Paraíso,125,,
08.01,16,,Copa America de Ciclismo (1.2),34.4,,
16.01 » 23.01,,,Volta de Ciclismo Internacional do Estado de São Paulo (2.2),,,
,55,,General classification,,,
23.01,12,,Stage 9 - Jundiaí › São Paulo,46.4,,
22.01,82,57,Stage 8 - Ribeirão Preto › Campinas,214.8,,
21.01,35,53,Stage 7 - São José do Rio Petro › Ribeirão Preto,208.4,,
20.01,65,70,Stage 6 (ITT) - São José do Rio Petro › São José do Rio Petro,24.2,,
