date,result ranking,general classification,race name,distance,PCS point,UCI point,year
19.05 » 20.05,,,Giro Ciclistico della Provincia di Cosenza (2.2) ,,,,2006
19.05,7,,Stage 1a - Tortora Lido › Acquappesa ,67,,,2006
19.05, 3 ,1,Stage 1b - Grimaldi › Montalto Uffugo ,77,,,2006
19.05 » 20.05,,,Giro Ciclistico della Provincia di Cosenza (2.2) ,,,,2006
19.05,7,,Stage 1a - Tortora Lido › Acquappesa ,67.0,,,2006
19.05, 3 ,1,Stage 1b - Grimaldi › Montalto Uffugo ,77.0,,,2006
24.06,DNF,,Giro dell'Appennino (1.1) ,198.3,,,2005
11.06 » 20.06,,,Giro Ciclistico d'Italia (2.6) ,,,,2004
,22,,Points classification ,,,,2004
,24,,General classification ,,,,2004
20.06,84,,Stage 10 - Rieti › Rieti ,117.0,,,2004
18.06,8,28,Stage 8 (ITT) - Fabriano › Fabriano ,20.4,,,2004
17.06,55,29,Stage 7 - Lamporecchio › Cerbaia ,167.0,,,2004
16.06,9,,Stage 6 - Cividate Camuno › Gerenzago ,159.4,,,2004
15.06,22,18,Stage 5 - Paspardo › Lozio ,138.7,,,2004
14.06,4,,Stage 4 - Fiesso d'Artico › Tregnago ,173.0,,,2004
12.06,35,,Stage 2 - Ravenna › Porto Tolle ,180.2,,,2004
26.05 » 29.05,,,Giro Ciclistico della Provincia di Cosenza (2.6) ,,,,2004
27.05,6,,Stage 2 - Acquapesa Marina › Scigliano ,107.0,,,2004
26.05,2,,Stage 1 - Donnici › Piane Crati ,126.0,2,,2004
15.04 » 18.04,,,Giro d'Abruzzo (2.5) ,,,,2004
,53,,General classification ,,,,2004
18.04,45,,Stage 4 - Montesilvano › Tollo ,127.0,,,2004
16.04,110,76,Stage 2 - Chieti Scalo › Cepagatti ,177.0,,,2004
21.04,12,,Giro del Belvedere (1.7.1) ,153.0,,,2003
10.04 » 13.04,,,Giro d'Abruzzo (2.5) ,,,,2003
11.04,22,,Stage 2 - Casoli di Atri (Stab. Aran World) › Sambuceto ,174.0,,,2003
16.03,5,,Gran Premio San Giuseppe (1.6) ,159.0,2,,2003
29.06,12,,National Championships Italy U23 - Road Race (NC) ,,,,2002
24.02,7,,Menton - Savona (1.6) ,142.5,,,2002
