date,result ranking,general classification,race name,distance,PCS point,UCI point
04.08 » 15.08,,,Volta a Portugal em Bicicleta Santander (2.1),,,
,83,,General classification,,,
15.08,87,,Stage 10 (ITT) - Viseu  › Viseu ,20.3,,
14.08,40,83,Stage 9 - Boticas › Mondim de Basto (Senhora da Graça),145.5,,
13.08,80,85,Stage 8 - Bragança › Montalegre (Serra do Larouco),160.7,,
12.08,88,88,Stage 7 - Felgueiras › Bragança,193.2,,
11.08,92,87,Stage 6 - Viana do Castelo › Fafe ,182.4,,
10.08,100,86,Stage 5 - Águeda › Santo Tirso (Nossa Senhora da Assunção),171.3,,
08.08,98,82,Stage 4 - Belmonte › Guarda,181.6,,
07.08,79,82,Stage 3 - Sertã › Covilhã (Torre),170.3,,
06.08,76,83,Stage 2 - Ponte de Sor › Castelo Branco,162.1,,
05.08,85,84,Stage 1 - Torres Vedras › Setúbal,175.8,,
04.08,95,95,Prologue - Lisboa › Lisboa,5.4,,
03.10,3,,National Championships Ireland - Road Race (NC),153.9,7,60
08.03,18,,Grote prijs Jean-Pierre Monseré (1.1),196.8,3,3
29.09,DNF,,Paris-Chauny (1.1),203.7,,
25.09,DNF,,Omloop van het Houtland Lichtervelde (1.1),186.3,,
22.09,DNF,,Grand Prix d'Isbergues - Pas de Calais (1.1),199.1,,
15.09,DNF,,Tour du Doubs (1.1),188.9,,
08.09,DNF,,Antwerp Port Epic / Sels Trophy (1.1),187,,
15.08 » 25.08,,,Tour de l'Avenir (2.Ncup),,,
,97,,General classification,,,
25.08,43,,Stage 10 - Saint-Colomban-des-Villard › Le Corbier,78.1,,
24.08,33,104,Stage 9 - Villaroger › Tignes,67.2,,
23.08,110,114,Stage 8 - Brides-les-Bains › Col de la Loze/Méribel,23.1,,
22.08,99,112,Stage 7 - Grésy-sur-Isere › La Giettaz,103.5,,
20.08,96,117,Stage 6 - Saint-Julien-Chapteuil › Privas,124,,
19.08,131,131,Stage 5 - Espalion › Saint-Julien-Chapteuil ,158.9,,
18.08,35,128,Stage 4 - Mauriac › Espalion,158.2,,
17.08,61,132,Stage 3 - Montignac-Lascaux › Mauriac,162.3,,
16.08,12,147,Stage 2 (TTT) - Eymet › Bergerac,32.1,,
15.08,151,154,Stage 1 - Marmande › Marmande,128.8,,
10.08,DNF,,European Continental Championships U23 - Road Race (CC),138,,
02.08 » 05.08,,,Kreiz Breizh Elites (2.2),,,
,39,,Youth classification,,,
,87,,General classification,,,
05.08,89,,Stage 4 - Guingamp › Rostrenen,171.8,,
04.08,87,98,Stage 3 - Ploerdut › Carhaix,181.8,,
03.08,45,108,Stage 2 - Calanhel › Plouray,181.1,,
02.08,20,149,Stage 1 (TTT) - Ploumagoar › Ploumagoar,12.4,,
28.07,42,,Grand Prix de la ville de Pérenchies (1.2),162.4,,
30.06,5,,National Championships Ireland - Road Race (NC),163.3,2,40
13.06 » 16.06,,,Ronde de l'Oise (2.2),,,
,8,,Youth classification,,,
,29,,Mountains classification,,,
,20,,General classification,,,
16.06,52,,Stage 4 - Laigneville › Pont-Sainte-Maxence,170.3,,
15.06,28,21,Stage 3 - Grandvilliers › Ressons-sur-Matz,174.8,,
14.06,33,21,Stage 2 - Liancourt › Liancourt,186.4,,
13.06,26,26,Stage 1 - Couloisy › Clermont,126.7,,
06.06 » 09.06,,,Course de la Paix Grand Prix Priessnitz spa (2.Ncup),,,
,74,,General classification,,,
09.06,66,,Stage 3 - Jesenik › Jesenik,171.5,,
08.06,79,78,Stage 2 - Krnov › Dlouhé Strané,150.6,,
07.06,34,40,Stage 1 - Jesenik › Rymarov,134.2,,
06.06,42,42,Prologue - Krnov › Krnov,2,,
24.05 » 26.05,,,A Travers les Hauts de France (2.2),,,
,35,,Youth classification,,,
,60,,General classification,,,
26.05,62,,Stage 3 - Petite-Forêt  › Pecquencourt,188.5,,
25.05,48,47,Stage 2 - Seclin › Bonningues-lès-Calais,197.8,,
24.05,79,82,Stage 1 - Gavrelle › Épinoy,125.7,,
17.05 » 19.05,,,Tour d'Eure-et-Loir (2.2),,,
,10,,Youth classification,,,
,24,,General classification,,,
19.05,45,,Stage 3 - Châteauneuf-en-Thymerais › Chartres,192.2,,
18.05,31,18,Stage 2 - Maintenon › Authon-du-Perche,188.6,,
17.05,9,11,Stage 1 - Dreux › Châteaudun,124,,
