date,result ranking,general classification,race name,distance,PCS point,UCI point
09.06 » 12.06,,,Grand Prix Cycliste de Saguenay (2.2),,,
12.06,DNF,,Stage 4 - Chicoutimi › Chicoutimi,149.8,,
11.06,84,57,Stage 3 - Chicoutimi › Chicoutimi,74.2,,
10.06,50,54,Stage 2 - Kénogami › Kénogami,156.65,,
09.06,66,67,Stage 1 - La Baie › La Baie,151,,
05.06,89,,Philadelphia International Cycling Classic (1.1),178,,
30.05,DNF,,Winston Salem Cycling Classic (1.1),177,,
28.05,DNF,,National Championships United States - Road Race (NC),187,,
27.05,8,,National Championships United States - ITT (NC),48,,1
04.05 » 08.05,,,Silver City's Tour of the Gila (2.2),,,
08.05,DNF,,Stage 5 - Silver City › Pinos Altos,161.9,,
07.05,91,60,Stage 4 - Silver City › Silver City,69.5,,
06.05,9,62,Stage 3 (ITT) - Tyrone › Tyrone,26,,
05.05,105,75,Stage 2 - Fort Bayard › Fort Bayard,122.6,,
04.05,74,74,Stage 1 - Silver City › Mogollon,148,,
21.04 » 24.04,,,Joe Martin Stage Race p/b Nature Valley (2.2),,,
24.04,DNF,,Stage 4 - Fayetteville › Fayetteville,64,,
23.04,68,18,Stage 3 - Prairie Grove › Prairie Grove,176.1,,
22.04,51,18,Stage 2 - Fayetteville › Fayetteville,175.7,,
21.04,14,14,Stage 1 (ITT) - Devils Den State Park  › Devils Den State Park ,4.8,,
20.09,22,,World Championships - TTT (WC),38.6,,
12.09,DNF,,The Reading 120 (1.2),190.4,,
17.08 » 23.08,,,USA Pro Challenge (2.HC),,,
,92,,General classification,,,
23.08,98,,Stage 7 - Golden › Denver,109.7,,
22.08,96,87,Stage 6 - Loveland › Fort Collins,164.5,,
21.08,25,89,Stage 5 (ITT) - Breckenridge › Breckenridge,13.5,,
20.08,89,91,Stage 4 - Aspen › Breckenridge,202.5,,
19.08,101,89,Stage 3 - Copper Mountain › Aspen,163.2,,
18.08,86,83,Stage 2 - Steamboat Springs › Arapahoe Basin,185.5,,
17.08,81,81,Stage 1 - Steamboat Springs › Steamboat Springs,155.5,,
03.08 » 09.08,,,The Larry H.Miller Tour of Utah (2.HC),,,
,31,,Mountains classification,,,
,27,,Points classification,,,
,84,,General classification,,,
09.08,82,,Stage 7 - Park City › Park City,78,,
08.08,83,87,Stage 6 - Salt Lake City › Snowbird Ski and Summer Resort,177.7,,
07.08,80,92,Stage 5 - Salt Lake City › Salt Lake City,89.1,,
06.08,71,95,Stage 4 - Soldier Hollow › Heber Valley,205.2,,
05.08,98,103,Stage 3 - Antelope Island › Bountiful,176.5,,
04.08,93,109,Stage 2 - Tremonton › Ogden,161.8,,
03.08,105,105,Stage 1 - Logan › Logan,212.5,,
07.06,114,,The Parx Casino Philly Cycling Classic (1.2),173,,
31.05,DNF,,Winston Salem Cycling Classic (1.2),180.2,,
25.05,DNF,,National Championships United States - Road Race (NC),165,,
23.05,3,,National Championships United States - ITT (NC),30.9,2,2
10.05 » 17.05,,,Amgen Tour of California (2.HC),,,
17.05,DNF,,Stage 8 - Los Angeles › Los Angeles,105,,
16.05,116,126,Stage 7 - Ontario › Mt. Baldy,128.7,,
15.05,66,128,Stage 6 (ITT) - Big Bear Lake › Big Bear Lake,10.62,,
14.05,116,130,Stage 5 - Santa Barbara › Santa Clarita,154,,
13.05,94,130,Stage 4 - Pismo Beach › Avila Beach,173.1,,
12.05,124,132,Stage 3 - San Jose › San Jose,169.8,,
11.05,139,139,Stage 2 - Nevada City › Lodi,193.7,,
10.05,127,127,Stage 1 - Sacramento › Sacramento,203.1,,
23.04 » 26.04,,,Joe Martin Stage Race p/b Nature Valley (2.2),,,
,71,,General classification,,,
26.04,75,,Stage 4 - Fayetteville › Fayetteville,40,,
25.04,83,84,Stage 3 - Prairie Grove › Prairie Grove,174.4,,
24.04,122,123,Stage 2 - Fayetteville › Fayetteville,173.9,,
23.04,43,,Prologue - Fayetteville › Fayetteville,4.35,,
19.01 » 25.01,,,Tour de San Luis (2.1),,,
25.01,DNF,,Stage 7 - San Luis › San Luis,122.4,,
24.01,137,142,Stage 6 - Achiras › Filo Sierras Comechingones,117.5,,
23.01,22,147,Stage 5 (ITT) - San Luis › San Luis,17.4,,
22.01,144,150,Stage 4 - Villa Dolores › Alto El Amago,142.5,,
21.01,150,150,Stage 3 - Concarán › Juana Koslay,176.3,,
20.01,132,139,Stage 2 - La Punta › Mirador de Potrero,185.3,,
19.01,144,145,Stage 1 - San Luis › Villa Mercedes,186.8,,
02.09 » 07.09,,,Tour of Alberta (2.1),,,
07.09,DNF,,Stage 5 - Edmonton › Edmonton,124.1,,
06.09,62,86,Stage 4 - Edmonton › Strathcona County,163.5,,
05.09,89,89,Stage 3 - Wetaskiwin › Edmonton,157.9,,
04.09,85,84,Stage 2 - Innisfail › Red Deer,145.3,,
03.09,89,85,Stage 1 - Lethbridge › Lethbridge,143,,
02.09,61,61,Prologue - Calgary › Calgary,4,,
06.07 » 19.07,,,Tour of Qinghai Lake (2.HC),,,
08.07,DNF,,Stage 3 - Huzhu › Xihai,234,,
07.07,130,111,Stage 2 - Duoba › Datong,188,,
06.07,91,93,Stage 1 - Xining › Xining,122,,
11.06 » 15.06,,,Tour de Beauce (2.2),,,
15.06,DNF,,Stage 5 - St-Georges › St-Georges,124.8,,
14.06,56,74,Stage 4 - Québec › Québec,130.5,,
13.06,13,79,Stage 3 (ITT) - St-Georges › St-Georges,20,,
12.06,94,87,Stage 2 - Lac-Mégantic › Lac-Mégantic,172,,
11.06,91,91,Stage 1 - Sainte-Justine › Sainte-Justine,196,,
05.06 » 08.06,,,Grand Prix Cycliste Saguenay (2.2),,,
,56,,General classification,,,
08.06,63,,Stage 4 - Chicoutimi › Chicoutimi,149.8,,
07.06,74,52,Stage 3 - Chicoutimi › Chicoutimi,74.2,,
06.06,46,50,Stage 2 - La Baie › La Baie,170.4,,
05.06,63,63,Stage 1 - La Baie › La Baie,166.1,,
01.06,DNF,,The Philadelphia Cycling Classic (1.1),193,,
26.05,DNF,,National Championships United States - Road Race (NC),165,,
24.05,3,,National Championships United States - ITT (NC),30.9,2,2
30.04 » 04.05,,,Tour of the Gila (2.2),,,
04.05,DNF,,Stage 5 - Silver City › Pinos Altos,161.9,,
03.05,64,,Stage 4 - Silver City › Silver City,69.1,,
02.05,12,40,Stage 3 (ITT) - Tyrone › Tyrone,26,,
01.05,59,45,Stage 2 - Fort Bayard › Fort Bayard,122.6,,
30.04,46,46,Stage 1 - Silvercity › Mongollon,148,,
18.04,86,,Winston-Salem Cycling Classic (1.2),171,,
04.03 » 09.03,,,Vuelta Mexico (2.2),,,
,82,,General classification,,,
09.03,88,,Stage 6 - Mexico City › Mexico City,101.2,,
08.03,28,86,Stage 5 (ITT) - Chapultepec › Chapultepec,2.5,,
07.03,116,86,Stage 4 - Huamantla › Huamantla,110.4,,
06.03,116,79,Stage 3 - Cuautla › La Malincha,201.2,,
05.03,51,45,Stage 2 - Cuernavaca › Cuernavaca,144.8,,
04.03,82,84,Stage 1 - Mexico City › Cuernavaca,81.6,,
12.11,49,,Tour of Nanjing (1.2),122,,
02.11 » 10.11,,,Tour of Taihu Lake (2.1),,,
06.11,OTL,,Stage 5 - Huzhou › Huzhou,122.9,,
05.11,88,89,Stage 4 - Changshu › Changshu,136,,
04.11,99,88,Stage 3 - Nantong › Nantong,98,,
03.11,79,81,Stage 2 - Zhangjiagang Shuangshan › Zhangjiagang Shuangshan,129,,
02.11,79,79,Stage 1 - Wuxi › Wuxi,80.6,,
03.09 » 08.09,,,Tour of Alberta (2.1),,,
,102,,General classification,,,
08.09,109,,Stage 5 - Okotoks › Calgary,129.4,,
07.09,65,99,Stage 4 - Black Diamond › Canmore,169,,
06.09,89,100,Stage 3 - Strathmore › Drumheller,169.8,,
05.09,99,99,Stage 2 - Devon › Red Deer,174.8,,
04.09,106,101,Stage 1 - Strathcona › Camrose,158,,
03.09,40,40,Prologue - Edmonton › Edmonton,7.3,,
06.08 » 11.08,,,The Larry H.Miller Tour of Utah (2.1),,,
11.08,OTL,,Stage 6 - Park City › Park City,125.8,,
10.08,96,99,Stage 5 - Snowbasin Resort › Snowbird Ski and Summer Resort,182,,
09.08,68,97,Stage 4 - Salt Lake City › Salt Lake City,54.7,,
08.08,98,98,Stage 3 - Richfield › Payson,191.5,,
07.08,91,95,Stage 2 - Panguitch › Torrey,210,,
06.08,96,96,Stage 1 - Brian Head › Cedar City,180,,
02.06,DNF,,The Philadelphia Cycling Classic (1.2),193,,
27.05,32,,National Championships United States - Road Race (NC),163.2,,
25.05,6,,National Championships United States - ITT (NC),31,,
12.05 » 19.05,,,Amgen Tour of California (2.HC),,,
,85,,General classification,,,
19.05,78,,Stage 8 - San Francisco › Santa Rosa,131.4,,
18.05,84,85,Stage 7 - Livermore › Mount Diablo,147.1,,
17.05,104,84,Stage 6 (ITT) - San Jose › San Jose,31.6,,
16.05,69,83,Stage 5 - Santa Barbara › Avila Beach,185.7,,
15.05,111,94,Stage 4 - Santa Clarita › Santa Barbara,134.6,,
14.05,100,77,Stage 3 - Palmdale › Santa Clarita,177.5,,
13.05,76,79,Stage 2 - Murrieta › Greater Palm Springs,199.7,,
12.05,99,99,Stage 1 - Escondido › Escondido,165.2,,
12.04 » 14.04,,,Vuelta a Castilla y Leon (2.1),,,
,103,,General classification,,,
14.04,105,,Stage 3 - Aguilar de Campoo › Cervera de Pisuerga (Palencia),183.1,,
13.04,92,108,Stage 2 - Urueña › Palencia,168.1,,
12.04,116,116,Stage 1 - Arevalo (Avila) › Valladolid,194.8,,
07.08 » 12.08,,,Tour of Utah (2.1),,,
12.08,OTL,,Stage 6 - Park City › Park City,123.5,,
11.08,74,83,Stage 5 - Park City  › Snowbird Sky and Summer Resort,162.8,,
10.08,93,95,Stage 4 - Utah County  › Salt Lake City,219.8,,
09.08,109,98,Stage 3 - Ogden  › University of Utah Research Park (Salt Lake City),137,,
08.08,8,98,Stage 2 (TTT) - Miller Motorsports Park  › Miller Motorsports Park ,21.7,,
07.08,98,98,Stage 1 - Ogden › Ogden,211,,
12.06 » 17.06,,,Tour de Beauce (2.2),,,
,56,,General classification,,,
17.06,54,,Stage 6 - Ville de St-Georges › Ville de St-Georges,125,,
16.06,60,80,Stage 5 - Ville de Québec › Ville de Québec,125,,
15.06,38,83,Stage 4 (ITT) - St-Benoît-Labre › St-Benoît-Labre,20,,
14.06,89,86,Stage 3 - St-Georges › Mont-Mégantic,164,,
13.06,97,86,Stage 2 - Thetford-Mines › Thetford-Mines,160,,
12.06,79,79,Stage 1 - Lac-Etchemin › Lac-Etchemin,162,,
03.06,82,,TD Bank International Cycling Championship (1.HC),198.6,,
28.05,43,,National Championships United States - Road Race (NC),185,,
26.05,15,,National Championships United States - ITT (NC),33.3,,
18.03 » 25.03,,,Vuelta Mexico Telmex (2.2),,,
,80,,General classification,,,
25.03,77,,Stage 8 - Mexico City › Mexico City,105,,
24.03,78,82,Stage 7 (ITT) - Ajusco › Ajusco,12,,
23.03,80,83,Stage 6 - Puebla › Cuautla,98,,
22.03,83,83,Stage 5 - Puebla › Puebla,80.3,,
21.03,52,83,Stage 4 - Pachuca › La Malinche,195,,
20.03,82,93,Stage 3 - Toluca › Pachuca,169.3,,
19.03,91,95,Stage 2 - Taxco › Toluca,136,,
18.03,70,70,Stage 1 - Acapulco  › Acapulco ,100,,
28.05,10,,National Championships United States - ITT (NC),33.3,,
19.09,DNF,,National Championships United States - Road Race (NC),180.2,,
18.09,8,,National Championships United States - ITT (NC),33.3,,
26.06,61,,National Championships United States U23 - Road Race (NC),162,,
24.06,3,,National Championships United States U23 - ITT (NC),35,,
25.05,DNF,,Tour de Leelanau (1.2),177.4,,
