date,result ranking,general classification,race name,distance,PCS point,UCI point
30.08,54,,Croatia-Slovenia (1.2),177.8,,
29.07 » 02.08,,,Tour Alsace (2.2),,,
,64,,General classification,,,
02.08,102,,Stage 4 - Colmar › Sélestat,160.6,,
01.08,34,64,Stage 3 - Ribeauvillé › Markstein,155.2,,
31.07,112,121,Stage 2 - Dannemarie › Huningue,150.2,,
30.07,123,124,Stage 1 - Strasbourg › Bischoffsheim,159.2,,
29.07,117,117,Prologue - Sausheim › Sausheim,7.1,,
04.07 » 12.07,,,Int. Österreich-Rundfahrt-Tour of Austria (2.HC),,,
,18,,Mountains classification,,,
,50,,Points classification,,,
,37,,General classification,,,
12.07,52,,Stage 8 - Innsbruck › Bregenz,184.3,,
11.07,119,39,Stage 7 - Kitzbühel › Innsbruck,124.7,,
10.07,37,38,Stage 6 - Lienz › Kitzbüheler Horn,164.7,,
09.07,91,41,Stage 5 - Faaker See/Drobollach › Matrei in Osttirol,175,,
08.07,39,46,Stage 4 - Stift Rein/Gratwein › Drobatsch,210.2,,
07.07,71,72,Stage 3 - Windischgarsten › Judendorf/Straßengel,181.1,,
06.07,85,88,Stage 2 - Litschau › Grieskirchen,196.2,,
05.07,127,118,Stage 1 - Mörbisch › Scheibbs,206.6,,
04.07,18,120,Prologue - Wien › Wien,5.4,,
28.06,35,,National Championships Austria - Road Race (NC),192,,
18.06 » 21.06,,,Oberösterreichrundfahrt (2.2),,,
,24,,General classification,,,
21.06,25,,Stage 4 - Thalheim › Steyr,138.6,,
20.06,45,39,"Stage 3 - Eferding, Fa. Stöcker › Ulrichsberg",142.1,,
19.06,78,35,"Stage 2 - Wels, Max-Center › Obernberg/Inn",178,,
18.06,41,41,Stage 1 (ITT) - Linz Hauptplatz › Pöstlingberg-Schlößl,4.6,,
07.06,DNF,,Coppa della Pace - Trofeo F.lli Anelli (1.2),170,,
02.06,DNF,,Trofeo Alcide Degasperi (1.2),173,,
17.05 » 24.05,,,An Post Rás (2.2),,,
,39,,General classification,,,
24.05,41,,Stage 8 - Drogheda › Skerries,132.6,,
23.05,97,42,Stage 7 - Ballinamore › Drogheda,142.4,,
22.05,32,33,Stage 6 - Ballina › Ballinamore,160.1,,
21.05,55,34,Stage 5 - Newport › Ballina,142.4,,
20.05,76,35,Stage 4 - Bearna › Newport,155,,
19.05,113,23,Stage 3 - Tipperary › Bearna,155.9,,
18.05,26,16,Stage 2 - Carlow › Tipperary,137.2,,
17.05,20,20,Stage 1 - Dunboyne › Carlow,154.4,,
03.05,101,,Circuito del Porto - Trofeo Arvedi (1.2),180,,
26.04,39,,Giro dell'Appennino (1.1),191.7,,
21.04 » 24.04,,,Giro del Trentino-Melinda (2.HC),,,
,50,,General classification,,,
24.04,68,,Stage 4 - Malè › Cles,161.5,,
23.04,48,50,Stage 3 - Ala › Fierozzo Val dei Mòcheni,183.8,,
22.04,74,79,Stage 2 - Arco › Brentonico,168.2,,
21.04,13,107,Stage 1 (TTT) - Riva del Garda › Arco,13.3,,
12.03 » 15.03,,,Istarsko proljece - Istrian Spring Trophy (2.2),,,
13.03,DNF,,Stage 1 - Porec › Labin,158,,
12.03,172,172,Prologue - Umag › Umag,1.9,,
07.03,95,,Porec Trophy - Trofej Porec (1.2),143,,
01.03,70,,GP Izola (1.2),160.3,,
15.02,88,,GP Laguna (1.2),160,,
21.09,DNF,,GP Industria & Commercio di Prato (1.1),185.8,,
02.09 » 06.09,,,Giro della Regione Friuli (2.2),,,
,15,,Mountains classification,,,
,15,,Points classification,,,
,2,,General classification,,18,30
06.09,48,,Stage 5 - Palmanova › Muggia,121.5,,
05.09,11,2,Stage 4 - Cividale del Friuli › Castelmonte,161.6,,
04.09,34,2,Stage 3 - Majano › Resia,164.9,,
03.09,26,2,Stage 2 - Valvasone › Forni di Sopra,170.8,,
02.09,3,2,Stage 1b - Pasiano di Pordenone › Azzano Decimo,110.8,1,2
02.09,7,30,Stage 1a (TTT) - Azzano Decimo › Azzano Decimo,20.2,,
31.08,2,,Croatia-Slovenia (1.2),177.8,10,30
16.08,25,,Grand Prix Kralovehradeckeho kraje (1.2),178,,
30.07 » 03.08,,,Tour Alsace (2.2),,,
,15,,Mountains classification,,,
,50,,Points classification,,,
,19,,General classification,,,
03.08,76,,Stage 5 - Soultz › Cernay,139,,
02.08,19,19,Stage 4 - Ribeauvillé › Markstein,136,,
01.08,38,41,Stage 3 - Dannemarie › Huningue,150,,
31.07,67,66,Stage 2 - Strasbourg › Bischoffsheim,153,,
30.07,103,102,Stage 1 - Colmar › Sélestat,162,,
06.07 » 13.07,,,Int. Österreich-Rundfahrt-Tour of Austria (2.HC),,,
,6,,Youth classification,,,
,31,,Mountains classification,,,
,23,,General classification,,3,
13.07,83,,Stage 8 - Podersdorf › Vienna,122.8,,
12.07,93,23,Stage 7 (ITT) - Podersdorf at Neusiedler See › Podersdorf at Neusiedler See,24.1,,
11.07,20,23,Stage 6 - St. Johann/Alpendorf › Villach-Dobratsch,182.6,,
10.07,23,26,Stage 5 - Matrei/Osttirol › St. Johann/Alpendorf,146.4,,
09.07,53,45,Stage 4 - Kitzbühel › Matrei/Osttirol,171.9,,
08.07,21,47,Stage 3 - Bad Ischl › Kitzbüheler Horn,206,,
07.07,106,100,Stage 2 - Waidhofen/Ybbs › Bad Ischl,180.9,,
06.07,88,88,Stage 1 - Tulln › Sonntagberg,182,,
29.06,5,,National Championships Austria - Road Race (NC),169,2,10
22.06,15,,Grand Prix Sarajevo (1.2),140,,
19.06 » 21.06,,,Tour de Serbie (2.2),,,
,14,,General classification,,,
21.06,20,,Stage 3 - Ruma › Beograd,81.9,,
20.06,16,16,Stage 2 - Pozarevac › Ruma,223.9,,
19.06,57,57,Stage 1 - Pozarevac › Pozarevac,123.2,,
15.06,30,,Int. Raiffeisen Grand Prix Judendorf/Straßengel (1.2),174,,
02.06,16,,Trofeo Alcide Degasperi (1.2),159.5,,
01.06,39,,Grand Prix Südkärnten (1.2),193.6,,
18.05 » 25.05,,,An Post Ras (2.2),,,
,31,,Mountains classification,,,
,31,,Points classification,,,
,27,,General classification,,,
25.05,31,,Stage 8 - Newbridge › Skerries,134.3,,
24.05,44,27,Stage 7 - Carrick on Suir › Baltinglass,147.7,,
23.05,71,31,Stage 6 - Clonakilty › Carrick on Suir,167.9,,
22.05,44,32,Stage 5 - Cahirciveen › Clonakilty,168.9,,
21.05,25,31,Stage 4 - Charleville › Cahirciveen,183.6,,
20.05,7,27,Stage 3 - Lisdoonvarna › Charleville,154.2,,
19.05,41,42,Stage 2 - Roscommon › Lisdoonvarna,159.2,,
18.05,72,72,Stage 1 - Dunboyne › Roscommon,149.8,,
09.05 » 11.05,,,Szlakiem Grodòw Piastowskich (2.1),,,
,39,,General classification,,,
11.05,56,,Stage 3 (ITT) - Polkowice › Polkowice,30.2,,
10.05,71,28,Stage 2 - Złotoryja › Polkowice,161.7,,
09.05,40,29,Stage 1 - Swidnica › Dzierzoniow,156.7,,
04.05,74,,Circuito del Porto - Trofeo Arvedi (1.2),180,,
27.04,29,,Gran Premio Industrie del Marmo (1.2),167,,
21.04,68,,Rund um Köln (1.1),192.6,,
13.04,68,,Banja Luka-Belgrade II (1.2),140,,
12.04,107,,Banja Luka Belgrade I (1.2),182,,
23.02,79,,GP Izola - Butan plin (1.2),142,,
04.12 » 07.12,,,Tour of Al Zubarah (2.2),,,
,8,,Youth classification,,,
,18,,Points classification,,,
,21,,General classification,,,
07.12,27,,Stage 3 - Mesaieed › Mesaieed,120.7,,
06.12,29,20,Stage 2 - Al Thakira › Madinat Al Shamal,120,,
05.12,21,23,Stage 1 - Umm Salal (Barzan Towers) › Al Zubarah,123.8,,
04.12,41,41,Prologue - Doha › Doha,3,,
03.10,DNF,,Sparkassen Münsterland Giro (1.1),205,,
23.07 » 28.07,,,Tour Alsace (2.2),,,
,27,,Mountains classification,,,
,38,,Points classification,,,
,8,,General classification,,3,3
28.07,21,,Stage 6 - Ribeauvillé › Cernay,139.6,,
27.07,9,10,Stage 5 - Sélestat › Le Markstein,176.4,,
26.07,83,13,Stage 4 - Dannemarie › Colmar,164.6,,
25.07,12,12,Stage 3 - Strasbourg › Bischoffsheim,153.8,,
24.07,60,75,Stage 2 - Mulhouse › Huningue,157.6,,
23.07,88,88,Stage 1 - Ungersheim › Sausheim,118.8,,
11.07 » 14.07,,,Czech Cycling Tour (2.2),,,
,16,,General classification,,,
14.07,27,,Stage 4 - Olomouc › Svatý kopeček,145,,
13.07,20,19,Stage 3 - Zábřeh › Šternberk,173,,
12.07,70,56,Stage 2 - Olomouci › Mohelnice,156,,
30.06 » 07.07,,,Int. Österreich-Rundfahrt-Tour of Austria (2.HC),,,
,32,,General classification,,,
07.07,70,,Stage 8 - Podersdorf am Neusiedler See › Wien/Burgtheater,122.8,,
06.07,112,32,Stage 7 (ITT) - Podersdorf am Neusiedler See › Podersdorf am Neusiedler See,24.1,,
05.07,42,32,Stage 6 - Maria Taferl › Poysdorf,182,,
04.07,29,33,Stage 5 - St. Johann/Alpendorf › Sonntagberg/NÖ,228.3,,
03.07,29,33,Stage 4 - Matrei/Osttirol › St. Johann/Alpendorf,146,,
02.07,53,53,Stage 3 - Heiligenblut › Matrei/Osttirol,119.7,,
01.07,38,53,Stage 2 - Innsbruck › Kitzbüheler Horn,157.4,,
30.06,63,63,Stage 1 - Innsbruck › Kühtai,134.9,,
23.06,23,,National Championships Austria - Road Race (NC),174,,
13.06 » 16.06,,,Tour de Slovénie (2.1),,,
,30,,General classification,,,
16.06,54,,Stage 4 - Brežice › Novo Mesto,153.4,,
15.06,21,28,Stage 3 - Škofja Loka › Vršič,170,,
14.06,49,59,Stage 2 - Kočevje › Višnja Gora,168.5,,
13.06,109,109,Prologue - Ljubljana › Ljubljana,8.8,,
09.06,32,,Int. Raiffeisen Grand Prix Judendorf/Straßengel (1.2),174,,
02.06,43,,Trofeo Alcide Degasperi (1.2),166,,
08.05 » 12.05,,,Flèche du Sud (2.2),,,
,35,,General classification,,,
12.05,59,,Stage 5 - Esch/Alzette › Esch/Alzette,136.6,,
11.05,83,41,Stage 4 - Kayl › Soleuvre,157.6,,
10.05,35,36,Stage 3 - Bourscheid › Clervaux,146.3,,
09.05,65,69,Stage 2 - Schifflange › Rumelange,148.3,,
08.05,97,96,Stage 1 - Roeser › Roeser,81.6,,
28.04,29,,GP Industrie del Marmo (1.2),167,,
07.04,59,,GP Sencur (1.2),163.8,,
25.09,56,,Ruota d'Oro - GP Festa del Perdono (1.2),167,,
26.08 » 01.09,,,Tour de l'Avenir (2.Ncup),,,
,21,,General classification,,,
01.09,24,21,Stage 6 - Beaufort › Le Grand Bornand,83,,
31.08,31,25,Stage 5 (ITT) - Rognaix › Les Saisies,44.1,,
30.08,21,23,Stage 4 - Seyssel › Valloire,155,,
29.08,78,67,Stage 3 - Pont d'Ain › Annemasse,152,,
28.08,79,94,Stage 2 - Parc des Oiseaux › Chatillon-sur-Chalaronne,140,,
27.08,78,95,Stage 1 - Dole › Belleville-sur-saone,178.5,,
26.08,110,110,Prologue - Dole › Dole,4,,
12.08,27,,Gran Premio Sportivi di Poggiana - Trofeo Bonin Costruzioni (1.2U),178,,
24.07 » 29.07,,,Tour Alsace (2.2),,,
,9,,Youth classification,,,
,21,,General classification,,,
29.07,23,21,Stage 6 - Ribeauvillé › Le Ballon d’Alsace,156.7,,
29.07,DNF,,Trofeo Matteotti (1.1),195,,
28.07,73,24,Stage 5 (ITT) - Cernay › Cernay,17.7,,
27.07,19,22,Stage 4 - Bollwiller › Markstein,84.6,,
26.07,83,64,Stage 3 - Beaucourt › Colmar,160.3,,
25.07,48,61,Stage 2 - Strasbourg › Bischoffsheim,153.8,,
24.07,103,105,Stage 1 - Huningue › Huningue,146.3,,
01.07 » 08.07,,,Int. Osterreich-Rundfahrt-Tour of Austria (2.HC),,,
,6,,Youth classification,,,
,36,,General classification,,,
08.07,75,36,Stage 8 - Podersdorf am Neusiedler See › Wien,122.8,,
07.07,91,37,Stage 7 (ITT) - Podersdorf am Neusiedler See › Podersdorf am Neusiedler See,24.1,,
06.07,74,35,Stage 6 - Waidhofen/Ybbs › Melk,185.2,,
05.07,36,38,Stage 5 - St. Johann/Alpendorf › Sonntagberg,228.3,,
04.07,87,37,Stage 4 - Lienz › St. Johann/Alpendorf,141.3,,
03.07,60,35,Stage 3 - Kitzbühel › Lienz,141.8,,
02.07,33,38,Stage 2 - Innsbruck › Kitzbüheler Horn,157.4,,
01.07,75,75,Stage 1 - Innsbruck › Innsbruck,153,,
24.06,7,,National Championships Austria - Road Race (NC),174,,6
09.06 » 15.06,,,Internationale Thüringen-Rundfahrt U23 (2.2U),,,
,28,,General classification,,,
15.06,48,,Stage 7 - Zeulenroda › Triebes,143.3,,
14.06,23,29,Stage 6 (ITT) - Gräfenroda › Oberhof,8.6,,
13.06,42,36,Stage 5 - Treffurt › Treffurt,186,,
12.06,60,47,Stage 4 - Bad Blankenburg › Bad Blankenburg,147.2,,
11.06,26,47,Stage 3 - Schönbrunn › Steinbach-Langenbach,139.5,,
10.06,57,65,Stage 2 - Erfurt › Erfurt,170,,
09.06,15,109,Stage 1 (TTT) - Sangerhausen › Sangerhausen,6.9,,
16.05 » 20.05,,,Flèche du Sud (2.2),,,
,3,,Youth classification,,,
,6,,General classification,,6,8
20.05,53,,Stage 5 - Belvaux › Esch/Alzette,181.6,,
19.05,16,6,Stage 4 (ITT) - Tetange › Rumelange,14.9,,
18.05,9,5,Stage 3 - Tandel › Wiltz,154.4,,
17.05,64,8,Stage 2 - Schifflange › Roeser,171.1,,
16.05,8,8,Stage 1 - Differdange › Differdange,81,,
01.05,85,,Rund um den Finanzplatz Eschborn-Frankfurt (1.2U),140.9,,
17.04 » 21.04,,,Toscana-Terra di ciclismo (2.Ncup),,,
,40,,General classification,,,
21.04,51,,Stage 5,167,,
20.04,56,34,Stage 4 - Terranuova Bracciolini  › Cortona,146,,
19.04,36,30,Stage 3 - Cavriglia › Cavriglia,145.6,,
18.04,35,37,Stage 2 - Figline Valdarno  › Gaiole in Chianti,130.2,,
17.04,69,69,Stage 1 - Figline Valdarno  › Scarperia,165,,
10.04,13,,GP Palio del Recioto (1.2U),143.2,,
09.04,51,,Giro del Belvedere (1.2U),154,,
01.04,31,,Trofeo Piva Banca Popolare di Vicenza (1.2U23),171,,
15.03 » 18.03,,,Istarsko proljece - Istrian Spring Trophy (2.2),,,
,100,,General classification,,,
18.03,93,,Stage 3 - Pazin  › Umag,169,,
17.03,40,140,Stage 2 - Vrsar  › Motovun,157,,
16.03,176,176,Stage 1 - Porec  › Labin,159,,
15.03,143,143,Prologue - Umag › Umag,2,,
04.03,64,,Trofeo Zssdi - Unione dei Circoli sportivi (1.2),143,,
18.02,DNF,,Trofeo Laigueglia (1.1),196.5,,
03.10,92,,Sparkassen Münsterland Giro (1.1),191.1,,
27.09,44,,Ruota d'Oro - GP Festa del Perdono (1.2),167,,
04.09 » 11.09,,,Tour de l'Avenir (2.Ncup),,,
,29,,General classification,,,
11.09,33,,Stage 8 - Alba › Alba,138.5,,
10.09,62,,Stage 7 - Fossano › Fossano,153.5,,
09.09,20,,Stage 6 - Champagnole › Le Salève,171.5,,
08.09,44,,Stage 5 - Porrentruy › Arbois,153.5,,
07.09,47,,Stage 4 - Gérardmer › Porrentruy,166.5,,
06.09,75,,Stage 3 - Rambervilliers › Bruyères,151,,
05.09,93,,Stage 2 - Yutz › Lunéville,160.5,,
04.09,72,,Prologue - Yutz › Yutz,6.6,,
28.08,54,,Ljubljana - Zagreb (1.2),183,,
14.08,29,,GP di Poggiana (1.2U),175.6,,
31.07,81,,Sparkassen Giro (1.1),180,,
27.07,38,,Welser Innenstadtkriterium (Nat.),64,,
17.07,19,,European Championships U23 - Road Race (CC),165.6,,
03.07 » 10.07,,,Int. Osterreich-Rundfahrt-Tour of Austria (2.HC),,,
,80,,General classification,,,
10.07,84,,Stage 8 - Podersdorf › Wien,122.8,,
09.07,79,,Stage 7 (ITT) - Podersdorf › Podersdorf,30.1,,
08.07,109,,Stage 6 - Hainburg an der Donau › Bruck an der Leitha,155.9,,
07.07,88,,Stage 5 - St. Johann/Alpendorf › Schladming,157.2,,
06.07,79,,Stage 4 - Matrei › St. Johann/Alpendorf,199.5,,
05.07,81,,Stage 3 - Kitzbühel › Prägraten,174.5,,
04.07,42,,Stage 2 - Innsbruck › Kitzbüheler Horn,158.2,,
03.07,112,,Stage 1 - Dornbirn › Götzis,139.7,,
26.06,21,,National Championships Austria - Road Race (NC),170,,
13.06 » 19.06,,,Internationale Thüringen-Rundfahrt U23 (2.2U23),,,
,20,,General classification,,,
19.06,46,,Stage 7 - Weida › Weida,162.8,,
18.06,47,,Stage 6 - Ohrdruf › Ohrdruf,193.1,,
17.06,19,,Stage 5 (ITT) - Neuhaus am Rennweg › Neuhaus am Rennweg,11.7,,
16.06,19,,Stage 4 - Fröttstädt › Oberhof,145.2,,
15.06,89,,Stage 3 - Ohrdruf › Ohrdruf,143.5,,
14.06,17,,Stage 2 (TTT) - Streufdorf › Streufdorf,22.1,,
13.06,55,,Stage 1 - Erfurt › Erfurt,179.6,,
01.06 » 04.06,,,Tour de Berlin (2.2U23),,,
,45,,General classification,,,
04.06,68,,Stage 6 - Berlin › Berlin,182.1,,
03.06,77,,Stage 4 - Rund in Birkenwerder › ,100.8,,
03.06,30,,Stage 3 (ITT) - Lehnitz › Lehnitz,16.4,,
02.06,95,,Stage 2 - Rund um Rudow › ,158.8,,
01.06,6,,Stage 1 (TTT) - Berlin › Berlin,5.9,,
29.05,32,,GP Industria e Commercio - Tr. Città di San Vendemiano (1.2U23),178.5,,
04.05 » 07.05,,,Giro della Regione Friuli Venezia Giulia (2.2),,,
,35,,General classification,,,
07.05,22,,Stage 4 - Arta Terme › Osoppo,153.6,,
06.05,23,,Stage 3 - Fagagna › Tarvisio,153.6,,
05.05,90,,Stage 2 - Azzana Decimo › Pordenone,166.8,,
04.05,120,,Stage 1 - Udine › Motta di Livenza,157.3,,
26.04,35,,GP Palio del Recioto (1.2U23),145.3,,
25.04,38,,Giro del Belvedere (1.2U23),154,,
03.04,40,,Trofeo Piva Banca Popolare di Vicenza (1.2U23),171,,
17.03 » 20.03,,,Istarsko proljece - Istrian Spring Trophy (2.2),,,
,110,,General classification,,,
20.03,55,,Stage 4 - Pazin › Zelena Laguna,141,,
19.03,149,,Stage 3 - Vrsar › Motovun,157,,
18.03,89,,Stage 2 - Poreč › Labin,137,,
17.03,88,,Prologue - Tinjan › Tinjan,5.8,,
06.03,59,,Trofeo Zssdi - Unione Dei Circoli Sportivi (1.2),137.4,,
08.09 » 11.09,,,Giro della Regione Friuli Venezia Giulia (2.2),,,
,30,,General classification,,,
10.09,50,,Stage 3 - Maniago › Forni di Sopra,173.4,,
09.09,27,,Stage 2 - Codroipo › Pordenone,152.1,,
08.09,113,,Stage 1 - Gorizia › Fagagna,152,,
05.08 » 08.08,,,Tour Des Pyrénées - Vuelta A Los Pirineos (2.2),,,
,17,,General classification,,,
08.08,49,,Stage 4 - Huesca › Zaragoza,148,,
07.08,32,,Stage 3 - Lannemezan › Boltaña,160,,
06.08,14,,Stage 2 - Perrefite-Nestalas › Saint-Lary-Soulan (Pla d'Adet),147,,
05.08,56,,Stage 1 - Semeac › Tarbes,159,,
04.07 » 11.07,,,Int. Osterreich-Rundfahrt-Tour of Austria (2.HC),,,
,56,,General classification,,,
11.07,78,,Stage 8 - Podersdorf am Neusiedler See › Wien/Burgtheater,122.8,,
10.07,105,,Stage 7 (ITT) - Podersdorf am Neusiedler See › Podersdorf am Neusiedler See,26.3,,
09.07,78,,Stage 6 - Deutschlandsberg › Laxenburg,231.8,,
08.07,50,,Stage 5 - Bleiburg › Deutschlandsberg,150.3,,
07.07,39,,Stage 4 - Lienz › Kaiser-Franz-Josefs-Höhe,146.2,,
06.07,83,,Stage 3 - Kitzbühel › Lienz,145,,
05.07,77,,Stage 2 - Landeck › Kitzbüheler Horn,174.3,,
04.07,126,,Stage 1 - Dornbirn › Bludenz,150.7,,
27.06,32,,National Championship Austria - Road Race (NC),190,,
20.06,38,,Raiffeisen Grand Prix (1.2),175,,
02.06 » 06.06,,,Ringerike GP (2.2),,,
,55,,General classification,,,
06.06,61,,Stage 5 - Hønefoss › Hønefoss,160,,
05.06,66,,Stage 4 - Hønefoss › Hønefoss,175,,
04.06,80,,Stage 3 - Drammen › Vikersund,150,,
03.06,108,,Stage 2 - Geilo › Krokstadelva,200,,
02.06,77,,Stage 1 - Geilo › Geilo,135,,
23.05,57,,Sparkassen Neuseen Classics – Rund um die Braunkohle (1.1),174.1,,
01.05,78,,Rund um den Finanzplatz Eschborn-Frankfurt (1.2U23),140.9,,
20.04 » 23.04,,,Giro del Trentino (2.1),,,
,56,,General classification,,,
23.04,50,,Stage 4 - Arco › Alpe di Pampeago (Tesero),172.1,,
22.04,83,,Stage 3 - Fiera di Primiero › Trento,164,,
21.04,82,,Stage 2 - Dro › San Martino di Castrozza,172.5,,
20.04,89,,Stage 1 (ITT) - Riva del Garda › Torbole sul Garda,12.5,,
10.04,39,,Trofeo Edil C (1.2),149.1,,
06.04,44,,GP Palio del Recioto (1.2U23),133,,
05.04,24,,Giro del Belvedere (1.2U23),154,,
04.04,40,,Trofeo Piva Banca Popolare di Vicenza (1.2U23),174.2,,
04.07,33,,Tour du Jura (1.2),179,,
20.06 » 21.06,,,Internationale Mainfrankentour (2.2U23),,,
,80,,General classification,,,
21.06,67,,Stage 2 - Werneck › Hofheim,148,,
20.06,105,,Stage 1 - Schweinfurt › Stadtlauringen,146,,
02.06,74,,GP Industria e Commercio - Tr. Città di San Vendemiano (1.2),168.1,,
20.05 » 24.05,,,Flèche du Sud (2.2),,,
