date,result ranking,general classification,race name,distance,PCS point,UCI point
17.04,DNF,,Paris-Roubaix (1.UWT),257.2,,
13.04,DNF,,De Brabantse Pijl - La Flèche Brabançonne (1.Pro),205.1,,
05.04 » 08.04,,,Circuit Cycliste Sarthe - Pays de la Loire (2.1),,,
08.04,DNF,,Stage 4 - La Chapelle-Saint-Aubin › La Chapelle-Saint-Aubin,136.4,,
07.04,84,65,Stage 3 - Sablé-sur-Sarthe › Sablé-sur-Sarthe,176.5,,
06.04,72,69,Stage 2 - Le Lude › Le Lude,174.7,,
05.04,79,79,Stage 1 - Mamers › Mamers,192.3,,
27.03,DNF,,La Roue Tourangelle Centre Val de Loire - Trophée Groupama Paris Val de Loire (1.1),202,,
19.03,157,,Milano-Sanremo (1.UWT),293,5,
16.03,DNS,,Milano - Torino (1.Pro),199,,
07.03 » 13.03,,,Tirreno-Adriatico (2.UWT),,,
,21,,Points classification,,,
,90,,General classification,,5,
13.03,4,,Stage 7 - San Benedetto del Tronto › San Benedetto del Tronto,159,13,
12.03,127,95,Stage 6 - Apecchio › Carpegna,215,,
11.03,88,97,Stage 5 - Sefro › Fermo,155,,
10.03,98,106,Stage 4 - Cascata delle Marmore › Bellante,202,,
09.03,144,127,Stage 3 - Murlo › Terni,170,,
08.03,50,140,Stage 2 - Camaiore › Sovicille,219,,
07.03,145,145,Stage 1 (ITT) - Lido di Camaiore › Lido di Camaiore,13.9,,
02.03,45,,Trofeo Laigueglia (1.Pro),202,,
16.02 » 20.02,,,Volta ao Algarve em Bicicleta (2.Pro),,,
,113,,General classification,,,
20.02,104,,Stage 5 - Lagoa › Malhão (Loulé),173,,
19.02,88,131,Stage 4 (ITT) - Vila Real de Santo António › Tavira,32.2,,
18.02,120,136,Stage 3 - Almodôvar › Faro,211.4,,
17.02,124,143,Stage 2 - Albufeira › Fóia (Monchique),182.4,,
16.02,150,150,Stage 1 - Portimão  › Lagos,199.1,,
13.02,91,,Clasica de Almeria (1.Pro),188.2,,
12.02,DNF,,Vuelta Ciclista a la Region de Murcia Costa Calida (1.1),183.2,,
01.02 » 05.02,,,Saudi Tour (2.1),,,
,65,,General classification,,,
05.02,41,,Stage 5 - AlUla Old Town › AlUla Old Town,138.9,,
04.02,68,70,Stage 4 - Winter Park › Skyviews of Harrat Uwayrid,149.3,,
03.02,83,64,Stage 3 - Tayma Hadaj Well › AlUla Old Town,181.2,,
02.02,56,49,Stage 2 - Taibah University › Abu Rakah,163.9,,
01.02,70,70,Stage 1 - Winter Park › Winter Park,198,,
14.08 » 05.09,,,La Vuelta ciclista a España (2.UWT),,,
21.08,DNF,,Stage 8 - Santa Pola › La Manga del Mar Menor,173.7,,
20.08,169,176,Stage 7 - Gandía › Balcón de Alicante,152,,
19.08,178,182,Stage 6 - Requena › Alto de la Montaña de Cullera,158.3,,
18.08,165,182,Stage 5 - Tarancón › Albacete,184.4,,
17.08,53,174,Stage 4 - El Burgo de Osma › Molina de Aragón,163.9,,
16.08,165,174,Stage 3 - Santo Domingo de Silos › Picón Blanco,202.8,,
15.08,80,131,Stage 2 - Caleruega › Burgos,166.7,,
14.08,176,176,Stage 1 (ITT) - Burgos › Burgos,7.1,,
20.07 » 24.07,,,Tour de Wallonie (2.Pro),,,
,117,,General classification,,,
24.07,106,,Stage 5 - Dinant › Quaregnon,192.4,,
23.07,100,116,Stage 4 - Neufchâteau › Fleurus,206,,
22.07,83,127,Stage 3 - Plombières › Érezée,177,,
21.07,107,150,Stage 2 - Zolder › Zolder,120,,
20.07,149,150,Stage 1 - Genappe › Héron,185.7,,
15.06 » 17.06,,,Adriatica Ionica Race / Sulle Rotte della Serenissima (2.1),,,
,63,,General classification,,,
17.06,23,,Stage 3 - Ferrara › Comacchio,149.5,,
16.06,86,84,Stage 2 - Vittorio Veneto › Cima Grappa,144.2,,
15.06,13,13,Stage 1 - Trieste › Aviano,178,,
08.05 » 30.05,,,Giro d'Italia (2.UWT),,,
,2,,Points classification,,20,
,127,,General classification,,20,
30.05,102,,Stage 21 (ITT) - Senago › Milan,30.3,,
29.05,143,124,Stage 20 - Verbania › Valle Spluga-Alpe Motta,164,,
28.05,139,124,Stage 19 - Abbiategrasso › Alpe di Mera (Valsesia),166,,
27.05,127,125,Stage 18 - Rovereto › Stradella,231,,
26.05,122,127,Stage 17 - Canazei › Sega di Ala,193,,
