date,result ranking,general classification,race name,distance,PCS point,UCI point,year
16.08,DNF,,National Championships Bulgaria - Road Race (NC) ,140,,,2020
16.08,DNF,,National Championships Bulgaria - Road Race (NC) ,140.0,,,2020
29.08 » 31.08,,,Po Stajerski (2.1) ,,,,2008
29.08,DNF,,Stage 1 - Lenart › Lenart ,105.0,,,2008
08.09 » 16.09,,,Tour of Bulgaria (2.2) ,,,,2006
,16,,General classification ,,,,2006
13.06 » 18.06,,,Tour de Serbie (2.2) ,,,,2006
,49,,General classification ,,,,2006
18.06,69,,Stage 6 - Nils › Topola ,170.5,,,2006
17.06,58,,Stage 5 - Vranje › Niska Banja ,192.1,,,2006
16.06,100,,Stage 4 - Kopaonik › Vranjska Banja ,178.5,,,2006
15.06,59,,Stage 3 - Gornji Milanovac › Kopaonik ,144.0,,,2006
14.06,18,,Stage 2 - Novi Sad › Gornji Milanovac ,210.0,,,2006
13.06,53,,Stage 1 - Beograd › Novi Sad ,118.0,,,2006
22.04 » 26.04,,,Grand Prix of Sochi (2.2) ,,,,2006
,18,,General classification ,,,,2006
05.04 » 09.04,,,International Tour of Hellas (2.2) ,,,,2006
,14,,General classification ,,,,2006
09.04,18,,Stage 5 - Olympia › Sparti ,168.0,,,2006
08.04,30,10,Stage 4 - Antirrion Patras › Olympia ,129.0,,,2006
07.04,27,11,Stage 3 - Arta › Messonlonghi ,158.0,,,2006
06.04,12,11,Stage 2 - Kalabaka › Ioannina ,122.0,,,2006
05.04,6,,Stage 1 - Volos › Kalabaka ,149.0,,,2006
23.03 » 26.03,,,Paths of King Nikola (2.2) ,,,,2006
,31,,Points classification ,,,,2006
26.03,24,,Stage 4 - Cetinje › Cetinje ,161.0,,,2006
25.03,13,16,Stage 3 - Budva › Cetinje ,158.0,,,2006
24.03,19,16,Stage 2 - Bar › Budva ,148.0,,,2006
23.03,16,28,Stage 1 - Herceg Novi › Bar ,147.0,,,2006
16.03 » 19.03,,,Istarsko Proljece - Istrian Spring Trophy (2.2) ,,,,2006
,67,,General classification ,,,,2006
19.03,68,,Stage 3 - Porec › Porec ,138.0,,,2006
18.03,5,,Stage 2 - Porec › Porec ,189.0,,,2006
17.03,12,,Stage 1 - Porec › Labin ,149.0,,,2006
