date,result ranking,general classification,race name,distance,PCS point,UCI point,year
24.10,5,,National Championships Brazil - Road Race (NC) ,142,2,10,2021
21.10,8,,National Championships Brazil - ITT (NC) ,21.1,,,2021
24.10,5,,National Championships Brazil - Road Race (NC),142.0,2,10,2021
21.10,8,,National Championships Brazil - ITT (NC),21.1,,,2021
06.04 » 10.04,,,Volta Ciclistica Internacional do Rio Grande do Sul (2.2),,,,2016
, 21 ,,Points classification,,,,2016
, 10 ,,General classification,,,,2016
10.04, 14 ,,Stage 5 - Farroupilha › Farroupilha,156.0,,,2016
09.04, 8 ,5,Stage 4 - São Francisco de Paula  › Farroupilha,174.0,,,2016
08.04, 8 ,5,Stage 3 - São Francisco de Paula  › São Francisco de Paula ,163.2,,,2016
07.04, 7 ,5,Stage 2 - São Francisco de Paula  › São Francisco de Paula ,161.0,,,2016
06.04, 4 ,4,Stage 1 - Novo Hamburgo › São Francisco de Paula ,150.0,,,2016
18.03 » 27.03,,,Vuelta Ciclista del Uruguay (2.2),,,,2016
,5,,Points classification,,,,2016
,13,,General classification,,,,2016
27.03,13,,Stage 10 - San Carlos › Montevideo ,168.2,,,2016
26.03,3,14,Stage 9 - Mariscala › Rocha,159.1,1,1,2016
25.03,4,15,Stage 8 - Melo › Treinta y Tres,70.0,,,2016
24.03,10,16,Stage 7 (ITT) - Melo › Melo,32.2,,,2016
23.03,12,28,Stage 6 - Durazno › Tacuarembo,203.0,,,2016
22.03,1,31,Stage 5 - Young › Durazno,164.1,5,7,2016
21.03,75,33,Stage 4 - Carmelo › Mercedes,173.9,,,2016
20.03,13,30,Stage 3b - Santa Lucia › Colonia,143.0,,,2016
20.03,7,30,Stage 3a (TTT) - Canelonos › Santa Lucia,11.4,,,2016
19.03,27,40,Stage 2 - Minas › Florida,143.0,,,2016
18.03,62,62,Stage 1 - Montevideo › Minas,109.2,,,2016
26.08 » 30.08,,,Tour do Rio (2.2),,,,2015
,40,,General classification,,,,2015
30.08,13,,Stage 5 - Teresópolis › Rio de Janeiro,145.0,,,2015
29.08,31,46,Stage 4 - Valença › Teresópolis,153.0,,,2015
28.08,50,58,Stage 3 - Valença › Rio das Flores,166.0,,,2015
27.08,57,59,Stage 2 - Angra dos Reis › Valença,175.0,,,2015
26.08,67,69,Stage 1 - Rio de Janeiro › Angra dos Reis,158.0,,,2015
28.06,1,,National Championships Brazil - Road Race (NC),182.7,15,40,2015
27.05 » 31.05,,,Volta Ciclistica internacional do Paraná (2.2),,,,2015
,9,,Points classification,,,,2015
,6,,General classification,,6,8,2015
31.05,14,,Stage 5 - Londrina › Londrina,100.0,,,2015
30.05,8,7,Stage 4 - Arapongas › Guaraci,198.0,,,2015
29.05,5,6,Stage 3 - Ibiporã › Bela Vista do Paraíso,164.5,,,2015
28.05,4,6,Stage 2 - Londrina › Tamarana,153.0,,,2015
27.05,5,6,Stage 1 - Bela Vista do Paraíso › Primeiro de Maio,128.4,,,2015
08.04 » 12.04,,,Volta Ciclística Internacional do Rio Grande do Sul (2.2),,,,2015
,24,,Points classification,,,,2015
,10,,General classification,,1,,2015
12.04,4,,Stage 5 - Farroupilha › Farroupilha,153.6,,,2015
11.04,7,10,Stage 4 - São Francisco de Paula › Farroupilha,170.0,,,2015
10.04,9,10,Stage 3 - São Francisco de Paula › São Francisco de Paula,160.0,,,2015
09.04,9,10,Stage 2 - Torres › São Francisco de Paula,152.0,,,2015
08.04,40,44,Stage 1 - Sapiranga › Torres,199.9,,,2015
27.03 » 05.04,,,Vuelta Ciclista del Uruguay (2.2),,,,2015
,45,,General classification,,,,2015
05.04,12,,Stage 10 - Cardona › Montevideo,191.2,,,2015
04.04,73,53,Stage 9 (ITT) - Fray Bentos › Fray Bentos,22.3,,,2015
03.04,17,53,Stage 8 - San José › Mercedes,195.3,,,2015
02.04,7,53,Stage 7 - Colonia › Santa Lucía,149.3,,,2015
01.04,15,53,Stage 6 - Durazno › Colonia,167.8,,,2015
31.03,23,74,Stage 5 - Tacuarembó › Durazno,180.8,,,2015
30.03,92,79,Stage 4 - Tacuarembó › Tacuarembó,106.3,,,2015
29.03,43,76,Stage 3 - Aiguá › Treinta y Tres,127.4,,,2015
28.03,90,78,Stage 2 - Minas › Rocha,171.1,,,2015
27.03,63,63,Stage 1 - Maldonado › Minas,120.9,,,2015
29.06,7,,National Championships Brazil - Road Race (NC),187.0,,6,2014
27.06,15,,National Championships Brazil - ITT (NC),32.0,,,2014
09.02 » 16.02,,,Tour do Brasil Volta Ciclística de São Paulo-Internacional (2.2),,,,2014
09.02,OTL,,Stage 1 - Barueri › Sorocaba,102.9,,,2014
14.10 » 21.10,,,Tour do Brasil Volta Ciclística de São Paulo-Internacional (2.2),,,,2012
,105,,General classification,,,,2012
21.10,49,,Stage 8 - Jundiai › São Paulo,72.0,,,2012
20.10,68,106,Stage 7 - Pindamonhagaba › Campos do Jordao,72.4,,,2012
19.10,69,116,Stage 6 - Atibaia › Pindamonhagaba,174.3,,,2012
18.10,74,117,Stage 5 - Sorocaba › Atibaia,150.2,,,2012
17.10,120,120,Stage 4 - Rio Claro › Sorocaba,166.8,,,2012
16.10,77,123,Stage 3 (ITT) - São  Carlo › São  Carlo,23.0,,,2012
15.10,102,129,Stage 2 - Bauru › São Carlos,178.6,,,2012
14.10,140,141,Stage 1 - Marilia › Bauru,108.3,,,2012
29.08 » 02.09,,,Tour do Rio (2.2),,,,2012
,47,,General classification,,,,2012
02.09,44,47,Stage 5 - Rio das Ostras › Rio de Janeiro,182.0,,,2012
01.09,52,49,Stage 4 - Teresópolis  › Rio das Ostras,190.0,,,2012
31.08,50,50,Stage 3 - Três Rios  › Teresópolis,118.1,,,2012
30.08,69,68,Stage 2 - Volta Redonda  › Três Rios,162.0,,,2012
29.08,64,65,Stage 1 -  Rio de Janeiro  › Angra dos Reis,152.0,,,2012
24.06,28,,National Championships Brazil - Road Race (NC),174.6,,,2012
23.06,23,,National Championships Brazil - ITT (NC),29.8,,,2012
08.01,37,,Copa América De Ciclismo (1.2),110.5,,,2012
21.04 » 25.04,,,Tour De Santa Catarina (2.2),,,,2010
,45,,General classification,,,,2010
25.04,43,,Stage 5 - Forquilhinha › Serra do Rio do Rastro,118.4,,,2010
24.04,56,,Stage 4 - Urubici › Serra do Rio do Rastro,84.8,,,2010
23.04,54,,Stage 3 - Rio do Sul › Urubici,142.9,,,2010
22.04,44,,Stage 2 - Timbó › Ibirama,135.3,,,2010
21.04,70,,Stage 1 - Joinville › Timbó,137.7,,,2010
