date,result ranking,general classification,race name,distance,PCS point,UCI point,year
03.04,3,,Clásica Ciudad De Torredonjimeno (NAT) ,165,,85,2022
06.03,22,,Trofeo Guerrita Memorial Juan Romero y Diego Sánchez (NAT) ,167,,19,2022
27.02,4,,Circuito Del Guadiana (NAT) ,171.4,,70,2022
03.04,3,,Clásica Ciudad De Torredonjimeno (NAT),165.0,,85,2022
06.03,22,,Trofeo Guerrita Memorial Juan Romero y Diego Sánchez (NAT),167.0,,19,2022
27.02,4,,Circuito Del Guadiana (NAT),171.4,,70,2022
11.09,14,,European Continental Championships U23 - Road Race (CC),133.6,,5,2021
03.09 » 05.09,,,Giro della Regione Friuli Venezia Giulia (2.2),,,,2021
,18,,Youth classification,,,,2021
,50,,General classification,,,,2021
05.09,65,,Stage 3 - Mortegliano › Pordenone,157.0,,,2021
04.09,58,50,Stage 2 - Casarsa della Delizia › Piancavallo,142.0,,,2021
03.09,43,43,Stage 1 - Rive d’Arcano › Tarvisio,153.0,,,2021
08.08,DNF,,Gran Premio Sportivi di Poggiana - Trofeo Bonin Costruzioni (1.2U),164.2,,,2021
17.06,25,,National Championships Russia - ITT (NC),40.0,,,2021
09.06 » 13.06,,,Five Rings of Moscow (2.2),,,,2021
,5,,Points classification,,,,2021
,9,,General classification,,2,3,2021
13.06,3,,Stage 4 - Moscow › Moscow,142.8,1,1,2021
12.06,15,9,Stage 3 - Moscow › Moscow,156.8,,,2021
11.06,1,9,Stage 2 - Moscow › Moscow,122.4,5,7,2021
10.06,19,9,Stage 1 - Moscow › Moscow,149.6,,,2021
09.06,3,3,Prologue - Moscow › Moscow,3.8,1,1,2021
01.04 » 04.04,,,Tour of Mevlana (2.2),,,,2021
,10,,General classification,,1,3,2021
04.04,34,,Stage 4 - Konya › Konya,139.3,,,2021
03.04,10,10,Stage 3 - Konya › Sille,113.6,,,2021
02.04,15,16,Stage 2 - Konya › Konya,136.1,,,2021
01.04,22,21,Stage 1 - Konya › Konya,133.5,,,2021
07.03,35,,Grand Prix Gündoğmuş ME (1.2),104.5,,,2021
06.03,137,,Grand Prix Mediterrennean ME (1.2),157.4,,,2021
21.02,51,,Grand Prix Velo Alanya ME (1.2),104.5,,,2021
20.02,118,,Grand Prix Velo Manavgat ME (1.2),147.5,,,2021
07.02,DNF,,Grand Prix Gazipasa (1.2),157.6,,,2021
06.02,DNF,,Grand Prix Alanya (1.2),147.8,,,2021
06.09,30,,Grand Prix World's Best High Altitude (1.2),136.2,,,2020
05.09,23,,Grand Prix Mount Erciyes 2200 mt (1.2),158.5,,,2020
04.09,DNF,,Grand Prix Cappadocia (1.2),180.0,,,2020
03.09,DNS,,Grand Prix Develi (1.2),121.5,,,2020
27.02 » 28.02,,,Manavgat Side Junior (2.1),,,,2020
,27,,General classification,,,,2020
28.02,30,,Stage 2,83.5,,,2020
27.02,30,30,Stage 1 (ITT),6.5,,,2020
15.02 » 16.02,,,Velo Alanya Junior (2.1),,,,2020
,3,,General classification,,50,,2020
16.02,1,,Stage 2 - Okurcalar › Çenger ,76.0,20,,2020
15.02,6,6,Stage 1 (ITT) - Manavga › Manavga,6.5,3,,2020
15.09,6,,Trofeo Buffoni (1.1),135.4,,,2019
29.08 » 01.09,,,Giro della Lunigiana (2.1),,,,2019
,10,,Youth classification,,,,2019
,16,,Mountains classification,,,,2019
,20,,Points classification,,,,2019
,31,,General classification,,,,2019
01.09,6,,Stage 4 - Ameglia › Luni,107.7,3,,2019
31.08,33,34,Stage 3 - Casette › Casette,113.6,,,2019
30.08,67,42,Stage 2a - Aulla › Castelnuovo Magra,70.6,,,2019
30.08,23,37,Stage 2b (ITT) - Bocca di Magra › Montemarcello,4.5,,,2019
29.08,36,36,Stage 1 - Lerici › La Specia,100.0,,,2019
26.05,10,,Tf GD Dorigo MO Biemmereti MO Ettore e Cristiano Floriani MO Emilio Mazzero (1.1),134.7,14,,2019
