date,result ranking,general classification,race name,distance,PCS point,UCI point
25.04 » 01.05,,,Le Tour de Bretagne Cycliste (2.2),,,
27.04,15,62,Stage 3 - Lohéac › Le Hinglé,171.7,,
26.04,5,111,Stage 2 - Missillac › La Chapelle-Bouëxic,152,,
25.04,123,135,Stage 1 - Guenrouët › Sainte-Reine-de-Bretagne,162.3,,
16.04,1,,Arno Wallaard Memorial (1.2),188.1,15,40
06.04 » 09.04,,,Circuit des Ardennes (2.2),,,
,6,,Points classification,,,
,60,,General classification,,,
09.04,80,,Stage 4 - Charleville-Mézières › Charleville-Mézières,172.7,,
07.04,72,51,Stage 2 - Bazeilles › Sedan,92.5,,
06.04,1,1,Stage 1 - Signy-le-Petit › Signy-le-Petit,165.2,5,7
02.04,9,,Volta Limburg Classic (1.1),195,16,25
17.03 » 20.03,,,Olympia's Tour (2.2),,,
,6,,Mountains classification,,,
,1,,Points classification,,,
,12,,General classification,,,
20.03,48,,Stage 4 - Assen › Assen,165.3,,
19.03,1,1,Stage 3 - Leek › Leek,182.6,5,7
18.03,3,1,Stage 2 - Westerbork › Wijster,173.1,1,1
17.03,2,5,Stage 1b - Hardenberg › Hardenberg,74.6,2,3
17.03,5,19,Stage 1a (TTT) - Hardenberg › Hardenberg,7.2,,
13.03,57,,Albert Achterhes Profronde van Drenthe (1.1),198.1,,
06.03,1,,Visit Friesland Elfsteden Race (1.2),199.2,15,40
27.02,92,,Drôme Classic (1.Pro),191.5,,
26.02,102,,Faun-Ardèche Classic (1.Pro),168.5,,
18.02 » 20.02,,,Tour des Alpes Maritimes et du Var (2.1),,,
,69,,General classification,,,
20.02,73,,Stage 3 - Villefranche-sur-Mer › Blausasc,112.6,,
19.02,56,55,Stage 2 - Puget-Théniers › La Turbie,149.1,,
18.02,42,46,Stage 1 - Saint-Raphaël  › La Seyne-sur-Mer,176.3,,
24.10,DNF,,Ronde van Drenthe (1.1),188.5,,
16.10,3,,Craft Ster van Zwolle (1.2),194.5,7,25
07.10 » 10.10,,,Circuit des Ardennes International (2.2),,,
,17,,Points classification,,,
,71,,General classification,,,
10.10,72,,Stage 4 - Tournes › Charleville-Mézières,169,,
09.10,67,76,Stage 3 - Chooz › Hargnies,172.4,,
08.10,4,84,Stage 2 - Vouziers › Vouziers,186.9,,
07.10,89,90,Stage 1 - Sedan › Sedan,115.3,,
02.10,DNF,,Classic Loire Atlantique (1.1),182.8,,
01.10,4,,La Route Adélie de Vitré (1.1),197.8,32,60
20.09 » 26.09,,,Le Tour de Bretagne Cycliste (2.2),,,
,26,,Mountains classification,,,
,18,,Points classification,,,
,52,,General classification,,,
26.09,57,,Stage 7 - Guitté › Dinan,155.3,,
25.09,87,60,Stage 6 - Quédillac › Fougères,166,,
24.09,36,40,Stage 5 - Châteaubriant › Boisgervilly,217,,
23.09,1,41,Stage 4 - Ploeren › Louisfert,167.6,5,7
22.09,52,47,Stage 3 - Rosporden › Brandivy,170.5,,
21.09,18,22,Stage 2 - Corlay › Rosporden,169.1,,
20.09,30,33,Stage 1 - Le Cambout › Allineuc,159,,
18.09,1,,PWZ Zuidenveld Tour (1.2),200,15,40
15.09,DNF,,Grand Prix de Wallonie (1.Pro),208.1,,
12.09,DNF,,Antwerp Port Epic / Sels Trophy (1.1),183.4,,
29.08,1,,Rent Liv Løbet Skive (1.2),188.3,15,40
28.08,5,,GP Himmerland Rundt (1.2),200,2,15
26.08,73,,Druivenkoers - Overijse (1.1),192,,
10.08 » 14.08,,,PostNord Danmark Rundt - Tour of Denmark (2.Pro),,,
12.08,DNF,,Stage 3 - Tønder › Vejle,219.2,,
11.08,26,21,Stage 2 - Ribe › Sønderborg,189.6,,
10.08,25,25,Stage 1 - Struer › Esbjerg,175.3,,
30.07 » 02.08,,,Kreiz Breizh Elites (2.2),,,
,35,,Points classification,,,
,18,,General classification,,,
02.08,45,,Stage 4 - Guingamp › Rostrenen,172.6,,
01.08,13,6,Stage 3 - Ploërdut › Carhaix,180.5,,
31.07,19,6,Stage 2 - Calanhel › Plouray,189.9,,
30.07,2,5,Stage 1 (TTT) - Ploumagoar › Ploumagoar,12.5,4,0.5
