date,result ranking,general classification,race name,distance,PCS point,UCI point
21.03 » 27.03,,,Tour de Normandie (2.2),,,
,8,,Youth classification,,,
,3,,Points classification,,,
,8,,General classification,,3,3
27.03,20,,Stage 7 - Ducey-les-Chéris › Caen,142.5,,
26.03,105,8,Stage 6 - Carentan-les-Marais › Carentan-les-Marais,175.9,,
25.03,8,6,Stage 5 - Les Monts d'Aunay › Bagnoles-de-l'Orne,156.7,,
24.03,3,6,Stage 4 - Gacé › Argentan,160.6,1,1
23.03,8,7,Stage 3 - Nonancourt › Elbeuf-sur-Seine,181.4,,
22.03,2,5,Stage 2 - Le Neubourg › Forges-les-Eaux,187.5,2,3
21.03,15,16,Stage 1 - Ouistreham › Vimoutiers,148.2,,
17.10,24,,Chrono des Nations (1.1),44.5,,3
09.10,DNF,,Tour de Vendée (1.1),199.8,,
29.09,DNF,,Eurométropole Tour (1.Pro),177.6,,
21.09,DNF,,Grand Prix de Denain - Porte du Hainaut (1.Pro),200.3,,
17.09,76,,Kampioenschap van Vlaanderen (1.1),195.3,,
15.09,DNF,,Grand Prix de Wallonie (1.Pro),208.1,,
12.09,52,,GP de Fourmies / La Voix du Nord (1.Pro),197.6,,
03.09,101,,Classic Grand Besançon Doubs (1.1),172.55,,
28.08,DNF,,Brussels Cycling Classic (1.Pro),205.3,,
26.08,87,,Druivenkoers - Overijse (1.1),192,,
21.07 » 25.07,,,Tour Alsace (2.2),,,
23.07,DNF,,Stage 3 - Vesoul › La Planche des Belles Filles,143.1,,
22.07,128,52,Stage 2 - Colmar › Altkirch,163.1,,
21.07,21,59,Prologue - Sausheim › Sausheim,4.3,,
14.05 » 16.05,,,Tour d'Eure-et-Loir (2.2),,,
16.05,DNF,,Stage 3 - Bonneval  › Chartres,193.5,,
15.05,93,83,Stage 2 - Courville-sur-Eure › Dreux,186.2,,
14.05,15,18,Stage 1 - Illiers-Combray › Brou,120.4,,
23.10,DNF,,National Championships France U23 - Road Race (NC),168.5,,
11.10,DNF,,Paris-Tours Espoirs (1.2U),178,,
20.10,16,,Chrono des Nations U23 (1.2U),33.65,,
13.10,DNF,,Paris-Tours Espoirs (1.2U),183,,
05.04 » 07.04,,,Le Triptyque des Monts et Châteaux (2.2U),,,
06.04,DNF,,Stage 2b - Wodecq › Celles,112.7,,
06.04,75,75,Stage 2a (ITT) - Celles › Celles,11.4,,
05.04,56,58,Stage 1 - Frasnes › Chièvres,147.1,,
14.10,18,,Chrono des Nations U23 (1.2U),33.65,,
17.08 » 26.08,,,Tour de l'Avenir (2.Ncup),,,
,103,,General classification,,,
26.08,82,,Stage 10 - Val d'Isère › Saint-Colomban-des-Villards Col du Glandon,150.8,,
25.08,120,104,Stage 9 - Séez › Val d'Isère,89,,
24.08,116,98,Stage 8 - La Bathie › Crest-Voland Cohennoz,81.1,,
23.08,121,95,Stage 7 - Moutiers › Méribe,35.9,,
22.08,83,69,Stage 6 - Le Blanc › Cérilly,183.5,,
21.08,39,72,Stage 5 - Beaugency › Levroux,130.4,,
20.08,20,84,Stage 4 (TTT) - Orléans › Orléans,20.2,,
19.08,26,27,Stage 3 - Le Lude › Châteaudu,165.8,,
18.08,36,26,Stage 2 - Drefféac › Châteaubriant,137.6,,
17.08,22,22,Stage 1 - Grand-Champ › Elven,132.5,,
01.08 » 05.08,,,Tour Alsace (2.2),,,
04.08,DNF,,Stage 3 - Ribeauvillé › Station du Lac Blanc,165.3,,
03.08,100,98,Stage 2 - Vesoul › La Planche des Belles Filles,143.1,,
02.08,132,86,Stage 1 - Champ de Feu › Sélestat ,147.5,,
01.08,27,81,Prologue - Sausheim › Sausheim,4.7,,
07.06 » 16.06,,,Giro Ciclistico d'Italia (2.2U),,,
14.06,DNF,,Stage 7 - Schio › Pian Delle Fugazze,136.9,,
13.06,107,145,Stage 6 - Dimaro Folgarida › Pergine Valsugana,120.7,,
12.06,126,145,Stage 5 - Darfo Boario Terme › Dimaro Folgarida (Malga di Dimaro),127.8,,
11.06,95,145,Stage 4 - Mornico Al Serio › Passo Manivia,127.9,,
10.06,71,158,Stage 3 - Rio Saliceto › Mornico Al Serio,164.3,,
09.06,153,158,Stage 2 - Nonantola › Sestola,138.2,,
08.06,136,137,Stage 1 - Riccione › Forlì,137.7,,
07.06,92,92,Prologue - Forlì › Forlì,4.4,,
27.05,DNF,,Paris-Roubaix Espoirs (1.2U),188.3,,
17.05 » 20.05,,,Ronde de l'Isard (2.2U),,,
,39,,Youth classification,,,
,86,,General classification,,,
20.05,75,,Stage 4 - Salies-du-Salat › Saint-Girons,152.4,,
19.05,95,108,Stage 3 - Lévignac › Boulogne-sur-Gesse,153.4,,
18.05,104,117,Stage 2 - Fonsorbes › Goulier-Neige,154.3,,
17.05,126,126,Stage 1 - Lorp-Sentaraille › Eycheil (Ouerdes),125.9,,
06.05,DNF,,Flèche Ardennaise (1.2),179.7,,
15.10,26,,Chrono des Nations U23 (1.2U),33.6,,
30.07,DNF,,National Championships France U23 - Road Race (NC),172.8,,
15.06 » 18.06,,,Le Tour de Savoie Mont Blanc (2.2),,,
17.06,DNF,,Stage 3 - Magland  › Saint Michel de Maurienne,126,,
16.06,92,95,Stage 2 - Val Cenis  › Cluses ,188,,
15.06,81,82,Stage 1 - La Léchère  › Aussois ,145,,
28.05,89,,Paris-Roubaix Espoirs (1.2U),182.7,,
23.10,3,,Chrono des Nations MJ (1.1),20.87,40,
16.09,2,,UEC Road European Championships MJ - Road Race (CC),123.3,70,
02.09 » 04.09,,,Grand Prix Rüebliland (2.1),,,
,12,,Points classification,,,
,73,,General classification,,,
04.09,8,,Stage 4 - Aarburg › Aarburg,111,1,
03.09,4,82,Stage 3 (ITT) - Muhen › Muhen,8.6,5,
03.09,22,82,Stage 2 - Muhen › Muhen,86.2,,
02.09,85,85,Stage 1 - Gunzwil › Gunzwil,104.2,,
20.08,5,,National Championships France MJ - Road Race (NC),135,4,
18.08,15,,National Championships France MJ - ITT (NC),23.2,,
11.07 » 14.07,,,Ain'Ternational-Rhône Alpes-Valromey Tour (2.1),,,
,14,,General classification,,7,
14.07,21,,Stage 4 - Artemare  › Hauteville-Lompnes ,106.5,,
13.07,19,17,Stage 3 - Massignieu-de-Rives  › Anglefort -Grand Colombier ,95.3,,
12.07,1,9,Stage 2 - Oyonnax  › Oyonnax ,83.6,20,
11.07,9,14,Stage 1 - Creys-Mépieu   › Saint-Sorlin-en-Bugey ,101.7,,
26.05 » 29.05,,,Tour du Pays de Vaud (2.Ncup),,,
,79,,General classification,,5,
29.05,91,,Stage 3 - Penthalaz › Vufflens-la-Ville,105.7,,
28.05,87,71,Stage 2a - Ballaigues  › Orbe,80.3,,
28.05,26,66,Stage 2b (ITT) - Orbe › Orbe,12.1,,
27.05,3,4,Stage 1 - Bofflens › Apples,118,12,
26.05,6,6,Prologue - Carrouge › Carrouge,3.2,3,
05.05 » 08.05,,,Course de la Paix Juniors (2.Ncup),,,
,68,,General classification,,5,
08.05,17,,Stage 4 - Terezin › Terezin,96.4,,
07.05,91,77,Stage 3 - Teplice › Altenberg,100,,
06.05,42,20,Stage 2b - Roudnice nad Labem › Roudnice nad Labem,62.4,,
06.05,18,20,Stage 2a (ITT) - Trebenice	 › Trebenice	,11.2,,
05.05,81,82,Stage 1 - Litomerice › Litomerice,102.5,,
27.03,10,,Gent-Wevelgem/Grote Prijs A. Noyelle-Ieper (1.Ncup),119,22,
20.03,5,,Bernaudeau Junior (1.1),130,28,
28.02,49,,Kuurne-Brussel-Kuurne Juniors (1.1),120,,
18.10,14,,Chrono des Nations MJ (1.1),20.87,7,
06.09,12,,La Philippe Gilbert juniors (1.1),122,10,
22.08,41,,National Championships France MJ - Road Race (NC),130.3,,
20.08,20,,National Championships France MJ - ITT (NC),21.2,,
11.07 » 14.07,,,Ain'Ternational-Rhône Alpes-Valromey Tour (2.1),,,
,12,,General classification,,10,
14.07,12,,Stage 4 - Artemare › Hauteville Lompnes,106.5,,
13.07,14,12,Stage 3 - Oyonnax › Plans d'Hotonnes,98,,
12.07,12,13,Stage 2 - Belley › Montalieu-Vercieu Vallée Bleue,89.8,,
11.07,8,8,Stage 1 - Vonnas › Saint-Jean-de-Niost,102.8,1,
