date,result ranking,general classification,race name,distance,PCS point,UCI point,year
15.10,38,,Gran Piemonte () ,194,,,1992
03.10,5,,Gran Premio Città di Peccioli - Coppa Sabatini () ,202,28,,1992
10.04,44,,Grand Prix Cerami () ,205,,,1992
21.03,99,,Milano-Sanremo (CDM) ,294,5,,1992
01.03,48,,Kuurne-Bruxelles-Kuurne () ,205,,,1992
29.02,38,,Omloop Het Volk () ,208,,,1992
15.10,38.0,,Gran Piemonte () ,194.0,,,1992
03.10,5.0,,Gran Premio Città di Peccioli - Coppa Sabatini () ,202.0,28,,1992
10.04,44.0,,Grand Prix Cerami () ,205.0,,,1992
21.03,99.0,,Milano-Sanremo (CDM) ,294.0,5,,1992
01.03,48.0,,Kuurne-Bruxelles-Kuurne () ,205.0,,,1992
29.02,38.0,,Omloop Het Volk () ,208.0,,,1992
26.05 » 16.06,,,Giro d'Italia () ,,,,1991
,103.0,,General classification ,,20,,1991
03.06,7.0,,Stage 8 - Città di Castello › Prato ,163.0,12,,1991
05.05,24.0,,Giro dell'Appennino () ,209.0,,,1991
01.05,17.0,,GP Industria & Artigianato () ,210.0,4,,1991
25.04,1.0,,GP Industria & Commercio di Prato (1.1) ,203.0,75,,1991
23.03,84.0,,Milano-Sanremo (CDM) ,294.0,5,,1991
02.03,12.0,,Trofeo Pantalica () ,187.0,10,,1991
20.06,20.0,,GP Industria & Artigianato () ,218.0,1,,1990
17.06,8.0,,Giro dell'Appennino () ,215.0,18,,1990
17.03,39.0,,Milano-Sanremo (CDM) ,294.0,5,,1990
07.03 » 14.03,,,Tirreno-Adriatico () ,,,,1990
13.03,9.0,,Stage 7 - Grottammare › Acquasanta ,178.0,2,,1990
03.03,4.0,,Trofeo Laigueglia () ,155.0,32,,1990
12.10,11.0,,Gran Piemonte () ,196.0,12,,1989
04.10,8.0,,Gran Premio Città di Peccioli - Coppa Sabatini () ,225.0,18,,1989
30.09,21.0,,Giro dell'Emilia (1) ,231.0,5,,1989
23.09,10.0,,Giro di Romagna () ,234.0,14,,1989
14.09 » 14.09,,,Cronostaffetta () ,,,,1989
14.09,3.0,,Stage 1a - Cepagatti  › Cepagatti  ,146.2,7,,1989
08.07,10.0,,GP Industria & Artigianato () ,220.0,14,,1989
21.05 » 11.06,,,Giro d'Italia () ,,,,1989
29.05,3.0,,Stage 9 - l'Aquila › Gubbio ,221.0,35,,1989
13.05,9.0,,Giro di Toscana () ,230.0,16,,1989
18.03,21.0,,Milano-Sanremo (CDM) ,294.0,19,,1989
27.02,3.0,,Giro dell'Etna () ,197.6,40,,1989
25.02,3.0,,Trofeo Pantalica () ,183.0,40,,1989
16.02,5.0,,Trofeo Laigueglia () ,169.0,28,,1989
23.05 » 12.06,,,Giro d'Italia () ,,,,1988
,51.0,,General classification ,,20,,1988
07.06,3.0,,Stage 16 - Meran/Merano › Innsbruck ,176.0,35,,1988
26.05,3.0,,Stage 4a - Vasto › Rodi Garganico ,123.0,35,,1988
11.03 » 16.03,,,Tirreno-Adriatico () ,,,,1988
15.03,17.0,,Stage 5 - Porto recanati › appiano ,207.0,,,1988
13.03,18.0,,Stage 3 - Cassino › Paglieta ,182.0,,,1988
14.08,27.0,,Milano-Vignola () ,238.0,,,1987
02.08,14.0,,Trofeo Matteotti () ,225.0,7,,1987
21.05 » 13.06,,,Giro d'Italia (SPP) ,,,,1987
,96.0,,General classification ,,20,,1987
16.05,26.0,,Giro di Toscana () ,238.5,,,1987
28.03,20.0,,GP Industria & Commercio di Prato (1.1) ,220.0,1,,1987
21.03,63.0,,Milano-Sanremo (SPP) ,294.0,5,,1987
12.03 » 18.03,,,Tirreno-Adriatico (SPP) ,,,,1987
13.03,3.0,,Stage 1 - Latina › Arpino ,213.0,18,,1987
20.02 » 25.02,,,Settimana Internazionale Coppi e Bartali () ,,,,1987
,17.0,,General classification ,,4,,1987
25.02,7.0,,Stage 6 - Castellamare del Golfo › Palermo ,158.0,2,,1987
17.02,6.0,,Trofeo Laigueglia () ,170.0,24,,1987
14.06,15.0,,GP Industria & Artigianato () ,208.0,6,,1986
31.03,7.0,,Trofeo Pantalica () ,166.0,20,,1986
22.02 » 26.02,,,Settimana Internazionale Coppi e Bartali () ,,,,1986
,7.0,,General classification ,,20,,1986
