date,result ranking,general classification,race name,distance,PCS point,UCI point
26.10 » 04.11,,,Tour du Faso (2.2),,,
31.10,10,,Stage 6 (TTT) - Sabou › Koudougou,31,,
29.10,63,,Stage 4 - Laye › Ouahigouya,148,,
28.10,62,64,Stage 3 - Bolgatanga › Po,75.6,,
27.10,58,57,Stage 2 - Manga › Bolgatanga,155,,
26.10,60,60,Stage 1 - Ouagadougou › Manga,100.3,,
09.09 » 15.09,,,Tour de Côte d'Ivoire-Tour de la Réconciliation (2.2),,,
,32,,General classification,,,
15.09,32,,Stage 7 - Abengourou › Abengourou,96,,
14.09,32,32,Stage 6 - Yakassé-Féyassé › Agnibilekro,65,,
13.09,33,32,Stage 5 - Bondoukou › Bondoukou,101,,
12.09,40,32,Stage 4 (ITT) - Kotoganda › Tanda,28.6,,
11.09,46,30,Stage 3 - Bonahouin › Adzopé ,95,,
10.09,33,27,Stage 2 - Daoukro › Daoukro,120,,
09.09,26,28,Stage 1 - Bouaké › Bouaké,99.3,,
18.02,DNF,,African Continental Championships - Road Race (CC),156,,
14.02,16,,African Continental Championships - TTT (CC),40,,
17.12,1,,National Championships Benin - Road Race (NC),80,15,
27.10 » 05.11,,,Tour du Faso (2.2),,,
,67,,General classification,,,
05.11,69,,Stage 10 - Korsimoro › Ouagadougou,110.7,,
04.11,70,66,Stage 9 - Dedougou › Koudougou,131,,
03.11,64,66,Stage 8 - Bobo Dioulasso › Dedougou,171.6,,
02.11,75,69,Stage 7 - Banfora › Bobo Dioulasso,120,,
01.11,69,73,Stage 6 - Dano › Gaoua,113,,
31.10,69,76,Stage 5 - Kokologho › Boromo,136,,
30.10,57,79,Stage 4 - Yako › Ziniare,143,,
29.10,73,86,Stage 3 - Bousse › Ouahigouya,130,,
28.10,77,87,Stage 2 - Garango › Zorgho,95,,
27.10,90,90,Stage 1 - Koulbila › Tenkodogo,139,,
12.10 » 15.10,,,Grand Prix Chantal Biya (2.2),,,
14.10,DSQ,,Stage 3 - Zoetele › Meyomessala,134,,
13.10,48,45,Stage 2 - Yaounde › Ebolowa,151.3,,
12.10,48,48,Stage 1 - Yaounde › Ayos,125,,
10.09 » 16.09,,,Tour de Côte d'Ivoire-Tour de la Réconciliation (2.2),,,
,63,,General classification,,,
16.09,43,,Stage 7 - Abengourou › Adzope,107.8,,
15.09,61,65,Stage 6 - Abengourou › Abengourou,112,,
14.09,49,68,Stage 5 - Akoupe › Niable,95.1,,
13.09,65,69,Stage 4 - Ananda › Daoukro,129.4,,
12.09,72,72,Stage 3 (ITT) - Assékro › Béoumi ,19.6,,
10.09,73,73,Stage 1 - Korhogo › Korhogo,70.8,,
29.10 » 09.11,,,Tour du Faso (2.5),,,
08.11,DNF,,Stage 10 - Tenkodogo › Fada N'Gourma,139,,
07.11,51,54,Stage 9 - Koulbila › Tenkodogo,149,,
06.11,58,55,Stage 8 - Ouahigouya › Boussé,128,,
05.11,70,59,Stage 7 - Yako › Ouahigouya,80,,
04.11,21,58,Stage 6 - Ouagadougou › Yako,103,,
02.11,35,59,Stage 5 - Orodara › Bobo Dioulasso,133,,
01.11,66,66,Stage 4 - Boromo › Houndé,74,,
31.10,70,65,Stage 3 - Kokologo › Boromo,132,,
30.10,9,35,Stage 2 - Kaya › Ziniaré,70,,
29.10,68,68,Stage 1 - Ouagadougou  › Kaya,111,,
30.10 » 10.11,,,Tour du Faso (2.5),,,
,54,,General classification,,,
10.11,60,,Stage 11 - Yako › Ouagadougou,127.5,,
09.11,44,44,Stage 10 - Ouahigouya › Yako,72,,
08.11,43,45,Stage 9 - Laye › Ouahigouya,152,,
07.11,43,46,Stage 8 - Koupela › Fada N'gourma,82,,
06.11,51,47,Stage 7 - Ouagadougou › Koupela,138.5,,
04.11,33,49,Stage 6 - Bobo-Dioulasso › Banfora,86.5,,
03.11,31,49,Stage 5 - Hounde › Bobo-Dioulasso,121.5,,
02.11,46,51,Stage 4 - Kokologo › Boromo,136,,
01.11,39,59,Stage 3 - Po › Kombissiri,105.5,,
31.10,34,66,Stage 2 - Ouagadougou › Po,142.5,,
30.10,74,74,Stage 1 - Ziniare › Koudougou,141.5,,
