date,result ranking,general classification,race name,distance,PCS point,UCI point
03.04,49,,Clásica Ciudad De Torredonjimeno (NAT),165,,
21.03,60,,Gran Premio de Primavera Ontur (NAT),172,,
06.03,20,,Trofeo Guerrita Memorial Juan Romero y Diego Sánchez (NAT),167,,21
27.02,42,,Circuito Del Guadiana (NAT),171.4,,
20.02,6,,National Championships Uruguay  - Road Race (NC),145.6,1,5
26.09,DNF,,World Championships - Road Race (WC),268.3,,
28.02,8,,National Championships Uruguay  - Road Race (NC),170,,3
12.04 » 21.04,,,Vuelta Ciclista del Uruguay (2.2),,,
,3,,Youth classification,,,
,33,,General classification,,,
21.04,64,,Stage 10 - Trinidad › Montevideo,183.8,,
20.04,27,35,Stage 9 - San Jacinto › Durazno,180.5,,
19.04,21,43,Stage 8 - La Paloma › Pirlápolis,146,,
18.04,74,45,Stage 7 - Treinta y Tres › Rocha,199.3,,
17.04,34,44,Stage 6 (ITT) - Melo › Melo,33.6,,
16.04,43,47,Stage 5 - Artigas › Tacuarembó,202.5,,
15.04,82,63,Stage 4 - Colonia Itapebi › Artigas,149,,
14.04,53,48,Stage 3 - Fray Bentos › Paysandú,150.1,,
13.04,43,55,Stage 2 - Colonia › Mercedes,178.8,,
12.04,78,79,Stage 1 - Cuidad del Plata › Colonia,165.5,,
27.01 » 03.02,,,Vuelta a San Juan Internacional (2.1),,,
28.01,DNF,,Stage 2 - Chimbas › Peri Lago Punta Negra,132.5,,
27.01,101,103,Stage 1 - San Juan › Pocito,159.1,,
05.05,20,,Pan American Championships U23 - Road Race (CC),144,1,
03.05,4,,Pan American Championships U23 - ITT (CC),23,,10
23.03 » 01.04,,,Vuelta Ciclista del Uruguay (2.2),,,
,4,,Youth classification,,,
,23,,General classification,,,
01.04,20,,Stage 10 - Minas › Montevideo,145.2,,
31.03,84,20,Stage 9 - Treinta y Tres › Minas,165,,
30.03,15,18,Stage 8b - Melo › Treinta y Tres,106.7,,
30.03,18,20,Stage 8a (ITT) - Melo › Melo,22.8,,
29.03,41,26,Stage 7 - Tacuarembó	 › Las Toscas,113.1,,
28.03,24,25,Stage 6 - Durazno › Tacuarembó	,199.9,,
27.03,44,26,Stage 5 - Young › Durazno,164.1,,
26.03,30,27,Stage 4 - Cardona › Mercedes,165.3,,
25.03,21,27,Stage 3 - Soca › Rosario,188.5,,
24.03,27,26,Stage 2b - Rocha › Piriápolis,122.2,,
24.03,18,,Stage 2a (TTT) - La Paloma › Rocha,25.6,,
23.03,26,26,Stage 1 - Atlántida › Castillos,201.6,,
17.03,1,,National Championships Uruguay U23 - ITT (NC),27,,
07.04 » 16.04,,,Vuelta Ciclista del Uruguay (2.2),,,
16.04,DNF,,Stage 10 - Maldonado › Shopping Costa Urbana,119.4,,
15.04,87,57,Stage 9 - Rocha › Maldonado,159.1,,
14.04,56,58,Stage 8 - Velázquez › Rocha,169.1,,
13.04,58,58,Stage 7 - Melo › Treinta Y Tres,107.1,,
12.04,40,59,Stage 6 (ITT) - Melo › Melo,34.2,,
11.04,57,63,Stage 5 - Paso de los Toros › Pueblo Ansina,199.7,,
10.04,115,79,Stage 4 - Young › Durazno,164.1,,
09.04,82,74,Stage 3a - Carmelo › Fray Bentos,141.2,,
09.04,26,78,Stage 3b (TTT) - Paraje Las Víboras › Mercedes,20.4,,
08.04,79,74,Stage 2 - Santa Rosa › Colonia,192,,
07.04,14,14,Stage 1 - LasPiedras › Minas,129.4,,
