date,result ranking,general classification,race name,distance,PCS point,UCI point,year
29.04 » 04.05,,,Circuit des Mines (2.5) ,,,,1997
,15,,General classification ,,,,1997
16.04 » 21.04,,,Tour du Loir et Cher E Provost () ,,,,1997
17.04,3,,Stage 2 - Vineuil › Romorantin ,169,1,,1997
29.04 » 04.05,,,Circuit des Mines (2.5) ,,,,1997
,15.0,,General classification ,,,,1997
16.04 » 21.04,,,Tour du Loir et Cher E Provost () ,,,,1997
17.04,3.0,,Stage 2 - Vineuil › Romorantin ,169.0,1,,1997
05.04,4.0,,Route Adélie de Vitré (1.4) ,209.7,32,,1996
06.09 » 17.09,,,Tour de l'Avenir () ,,,,1995
,38.0,,General classification ,,,,1995
09.09,5.0,,Stage 3 - Saint Cyr sur Loire  › La Ferté Bernard  ,151.0,,,1995
08.06,3.0,,Circuito Montañes () ,,14,,1995
