date,result ranking,general classification,race name,distance,PCS point,UCI point
05.02 » 17.02,,,Vuelta Ciclista a Cuba (2.2),,,
,27,,Youth classification,,,
,31,,Points classification,,,
,72,,General classification,,,
17.02,76,,Stage 13 - San Cristobal › Havana,113,,
16.02,86,,Stage 12 - Artemisa › Pinar del Rio,164,,
15.02,30,,Stage 11 - Matanzas › San Antonio de los Baños,120,,
14.02,65,,Stage 10 - Santa Clara › Cardenas,185,,
13.02,42,,Stage 9a - Cienfuegos › Cienfuegos,60,,
13.02,29,,Stage 9b - Cienfuegos › Santa Clara,65,,
12.02,71,,Stage 8 - Sancti Spiritus › Topes de Collantes,137,,
11.02,65,,Stage 7b - Ciego de Avila › Sancti Spiritus,95,,
11.02,105,,Stage 7a (ITT) - Moron › Ciego de Avila,35,,
10.02,104,,Stage 6 - Camaguey › Ciego de Avila,113,,
09.02,69,,Stage 5 - Las Tunas › Camaguey,126,,
08.02,66,,Stage 4 - Bayamo › Holguin,109,,
07.02,99,,Stage 3 - Santiago de Cuba › Manzanillo,196,,
06.02,4,,Stage 2 - Guantanamo › Santiago de Cuba,111,,
05.02,78,,Stage 1 - Baracoa › Guantanamo,153,,
20.10 » 01.11,,,Vuelta a Guatemala (2.2),,,
25.10,DNF,,Stage 6 - Jalapa › Don Justo,142,,
24.10,54,68,Stage 5 - Posada del Quetzal › Jalapa,168,,
23.10,71,69,Stage 4 - Santa Cruz › Cobán,170,,
22.10,11,31,Stage 3 - Puerto Barrios › Zacapa,169,,
21.10,63,37,Stage 2 - Teculután › Puerto Barrios,172,,
20.10,15,15,Stage 1 - Esquipulas › Teculután,175,,
13.02 » 25.02,,,Vuelta a Cuba (2.2),,,
,15,,Youth classification,,,
,10,,Points classification,,,
,48,,General classification,,,
25.02,101,,Stage 13 - Havana › Havana,90,,
24.02,2,,Stage 12 - Artemisa › Pinar del Río,126,2,
23.02,9,,Stage 11b - Matanzas › Guanajay,148,,
23.02,62,,Stage 11a (ITT) - Varadero › Matanzas,30,,
22.02,68,,Stage 10 - Cienfuegos › Cárdenas,175,,
21.02,51,,Stage 9 - Santa Clara › Cienfuegos,140,,
20.02,76,,Stage 8 - Sancti Spiritus › Santa Clara,159,,
19.02,11,,Stage 7 - Ciego de Avila › Sancti Spiritus,146,,
18.02,22,,Stage 6 - Camaguey › Ciego de Avila,113,,
17.02,10,,Stage 5 - Holguín › Camaguey,206,,
16.02,10,,Stage 4 - Manzanillo › Holguín,153,,
15.02,4,,Stage 3 - Santiago de Cuba › Bayazo,125,,
14.02,60,,Stage 2 - Guantánamo › Santiago de Cuba,111,,
13.02,54,,Stage 1 - Baracoa › Guantánamo,153,,
07.02 » 19.02,,,Vuelta a Cuba (2.2),,,
17.02,16,38,Stage 11b - Matanzas › San Antonio de Los Baños,120,,
17.02,43,41,Stage 11a (ITT) - Varadero › Matanzas,27,,
16.02,38,39,Stage 10 - Cienfuegos › Cardenas,173,,
14.02,53,47,Stage 8 - Sancti Spiritus › Santa Clara,159,,
13.02,68,20,Stage 7 - Ciego de Avila › Sancti Spiritus,146,,
12.02,14,17,Stage 6 - Camaguey › Ciego de Avila,113,,
11.02,15,24,Stage 5 - Holguin › Camaguey,206,,
10.02,24,26,Stage 4 - Manzanillo › Holguin,147,,
09.02,67,31,Stage 3 - Santiago de Cuba › Bayamo,125,,
08.02,10,16,Stage 2 - Guantanamo › Santiago de Cuba,111,,
07.02,11,13,Stage 1 - Baracoa › Guantanamo,153,,
