date,result ranking,general classification,race name,distance,PCS point,UCI point
01.09 » 05.09,,,Tour of Bulgaria (2.2),,,
,40,,General classification,,,
05.09,35,,Stage 5 - Tryavna › Trojan,170,,
04.09,51,54,Stage 4 - Burgas › Tryavna,205,,
03.09,20,64,Stage 3 - Elena › Burgas,195,,
02.09,73,80,Stage 2 - Kazanlak › Elena,140,,
01.09,95,95,Stage 1a - Sofia › Zlatitza,70,,
01.09,88,87,Stage 1b - Zlatitza › Kazanlak,100,,
11.07 » 14.07,,,Cycling Tour of Sibiu (2.1),,,
,35,,General classification,,,
14.07,87,,Stage 3b - Sibiu › Sibiu,138.2,,
14.07,80,35,Stage 3a (ITT) - Cisnadie › Muzeul Tehnicii Populare,11.4,,
13.07,47,34,Stage 2 - Sibiu › Paltinis,183.8,,
12.07,31,30,Stage 1 - Sibiu › Balea Lac,143.6,,
11.07,39,39,Prologue - Sibiu › Sibiu,2.5,,
22.06,9,,National Championships Serbia - Road Race (NC),131,,
21.06,1,,National Championships Serbia - ITT (NC),26,15,8
11.06 » 16.06,,,Tour de Serbie (2.2),,,
,38,,General classification,,,
16.06,62,,Stage 6 - S.Mitrovica › Belgrade,127.7,,
15.06,77,24,Stage 5 - Pozarvac › S.Mitrovica,200.3,,
14.06,28,24,Stage 4 - Kladovo › Pozarvac,186.2,,
13.06,63,58,Stage 3 - Bor › Kladovo,150.3,,
12.06,74,79,Stage 2 - Nis › Bor,137,,
11.06,114,114,Stage 1 - Nis › Nis,54.4,,
11.05,29,,Classic Beograd - Cacak (1.2),140,,
07.04,71,,GP Sencur (1.2),163.8,,
14.03 » 17.03,,,Istarsko proljece - Istrian Spring Trophy (2.2),,,
17.03,DNF,,Stage 3 - Pazin › Umag,153,,
16.03,158,157,Stage 2 - Vrsar › Motovun,165,,
15.03,110,110,Stage 1 - Umag › Labin,163,,
14.03,172,171,Prologue - Umag Nova Obala › Umag Nova Obala,2,,
10.03,109,,Porec Trophy - Trofej Porec (1.2),146,,
22.09,9,,Tour of Vojvodina II (1.2),164,,
21.09,13,,Tour of Vojvodina I (1.2),154,,
09.08 » 12.08,,,Tour of Szeklerland (2.2),,,
12.08,41,62,Stage 4a (ITT) - Harmaskereszt › Harghita-Bai,5,,
11.08,24,64,Stage 3 - Miercurea Ciuc › Harghita-Bai,180,,
10.08,98,80,Stage 2 - Miercurea Ciuc › Miercurea Ciuc,168,,
09.08,14,70,Stage 1 (TTT) - Miercurea Ciuc  › Manastirea Fagatel,22,,
04.07 » 08.07,,,Cycling Tour of Sibiu (2.2),,,
,12,,General classification,,,
08.07,81,,Stage 4 - Sibiu › Sibiu,146.2,,
07.07,32,11,Stage 3 - Sibiu › Balea Lac,90.2,,
06.07,7,7,Stage 2 (TTT) - Cisnadie › Sibiu,10.2,,
05.07,5,8,Stage 1 - Sibiu › Paltinis,184,,
04.07,115,115,Prologue - Sibiu › Sibiu,2.4,,
24.06,6,,National Championships Serbia - Road Race (NC),141,1,8
23.06,3,,National Championships Serbia - ITT (NC),26.2,2,2
12.06 » 17.06,,,Tour de Serbie (2.2),,,
,41,,General classification,,,
17.06,58,,Stage 6 - Sremska Mitrovica › Belgrado,77.8,,
16.06,77,42,Stage 5 - Milici › Ruma,154,,
15.06,44,42,Stage 4 - Bjelovar › Pale,171.8,,
