date,result ranking,general classification,race name,distance,PCS point,UCI point
30.01,DNS,,Grand Prix Megasaray (1.2),126.6,,
20.06,14,,National Championships Russia - Road Race (NC),189,,1
09.06 » 13.06,,,Five Rings of Moscow (2.2),,,
,12,,Points classification,,,
,14,,General classification,,,
13.06,43,,Stage 4 - Moscow › Moscow,142.8,,
12.06,60,14,Stage 3 - Moscow › Moscow,156.8,,
11.06,5,14,Stage 2 - Moscow › Moscow,122.4,,
10.06,9,13,Stage 1 - Moscow › Moscow,149.6,,
09.06,74,74,Prologue - Moscow › Moscow,3.8,,
07.03,68,,Grand Prix Gündoğmuş ME (1.2),104.5,,
06.03,89,,Grand Prix Mediterrennean ME (1.2),157.4,,
07.02,36,,Grand Prix Gazipasa (1.2),157.6,,
06.02,24,,Grand Prix Alanya (1.2),147.8,,
29.08 » 05.09,,,Giro Ciclistico d'Italia (2.2U),,,
,72,,General classification,,,
05.09,52,,Stage 8 - Aprica › Aprica,120.9,,
04.09,55,83,Stage 7 - Barzio › Montespluga,116.5,,
03.09,28,98,Stage 6 - Colico › Colico,157.2,,
02.09,105,99,Stage 5 - Marostica › Rosà,145.8,,
01.09,132,107,Stage 4 - Bonferraro di Sorgà › Bolca,159.6,,
31.08,127,94,Stage 3 - Riccione ›  Mordano,149.4,,
30.08,124,59,Stage 2 - Gradara  ›  Riccione,103.9,,
29.08,35,35,Stage 1 - Urbino › Urbino,149,,
04.03,77,,Trofej Umag - Umag Trophy (1.2),154,,
16.12 » 25.12,,,Vuelta Ciclista Internacional a Costa Rica (2.2),,,
,3,,Youth classification,,,
,16,,Points classification,,,
,8,,General classification,,3,3
25.12,4,,Stage 10 - Aurora de Heredia › Aurora de Heredia,99.5,,
24.12,14,9,Stage 9 - San Pedro Montes de Oca › Paraíso,120.82,,
23.12,16,10,Stage 8 (ITT) - Cot › San Juan de Chicuá ,12.3,,
22.12,3,9,Stage 7 - Pérez Zeledón › Pacayas,133.6,1,1
21.12,33,12,Stage 6 - Golfito › Pérez Zeledón,203.25,,
20.12,21,12,Stage 5 - Dominical › Golfito,146.09,,
19.12,12,11,Stage 4 - Jacó › Pérez Zeledón,141.15,,
18.12,28,20,Stage 3a - Esparza › Jacó,69,,
18.12,1,14,Stage 3b (TTT) - Parrita › Jacó,43.45,5,1
17.12,12,12,Stage 2 - Liberia › Esparza,126.35,,
16.12,12,12,Stage 1 - Heredia › Cañas,160.72,,
11.09 » 15.09,,,Turul Romaniei (2.1),,,
,8,,Youth classification,,,
,20,,General classification,,1,3
15.09,44,,Stage 5 - Bucharest › Bucharest,111.5,,
14.09,21,21,Stage 4 - Ploiești › Cabana Piatra Arsă (,119.2,,
13.09,29,27,Stage 3 - Buzău › Târgoviște,124.7,,
12.09,18,26,Stage 2 - Brașov › Focșani ,176.3,,
11.09,33,35,Stage 1 - Cluj-Napoca › Sighișoara,168,,
04.09 » 07.09,,,Giro della Regione Friuli Venezia Giulia (2.2),,,
,15,,Points classification,,,
,18,,General classification,,,
07.09,7,,Stage 4 - Forgaria nel Friuli › San Daniele del Friuli,144.5,,
06.09,22,27,Stage 3 - Pordenone › Gorizia ,177.5,,
05.09,102,41,Stage 2 - Gemona del Friuli › Lignano,160,,
04.09,9,39,Stage 1 (TTT) - Torreano di Martignacco › Martignacco,16.1,,
16.08,16,,Gp Capodarco Comunita Di Capodarco (1.2U),180,,
24.07 » 27.07,,,Dookoła Mazowsza (2.2),,,
,40,,Youth classification,,,
,70,,General classification,,,
27.07,43,,Stage 3 - Kozienice › Kozienice,164.7,,
26.07,28,73,Stage 2 - Grodzisk Mazowiecki › Grodzisk Mazowiecki,142.1,,
25.07,43,74,Stage 1 - Teresin › Teresin,167.2,,
24.07,90,90,Prologue - Warsaw › Warsaw,2.4,,
07.07,7,,National Championships Russia U23 - Road Race (NC),152,,3
05.07,14,,National Championships Russia U23 - ITT (NC),25,,
30.06,8,,National Championships Russia - Road Race (NC),187.2,,10
