date,result ranking,general classification,race name,distance,PCS point,UCI point,year
14.07 » 22.07,,,Way to Pekin (2.2) ,,,,2008
,29,,Points classification ,,,,2008
,36,,General classification ,,,,2008
22.07,33,,Stage 7 - Aginskoe › Chita ,150,,,2008
21.07,40,,Stage 6 - Aginskoe › Aginskoe ,145,,,2008
20.07,11,,Stage 5 - Aginskoe › Aginskoe ,150,,,2008
18.07,39,,Stage 4 - Chita › Aginskoe ,158,,,2008
17.07,33,,Stage 3 (ITT) - Chita › Kharabovsk ,26,,,2008
16.07,46,,Stage 2 - Chita › Chita ,158,,,2008
15.07,47,,Stage 1 - Chita › Chita ,117,,,2008
14.07,24,,Prologue - Chita › Chita ,3,,,2008
14.07 » 22.07,,,Way to Pekin (2.2) ,,,,2008
,29.0,,Points classification ,,,,2008
,36.0,,General classification ,,,,2008
22.07,33.0,,Stage 7 - Aginskoe › Chita ,150.0,,,2008
21.07,40.0,,Stage 6 - Aginskoe › Aginskoe ,145.0,,,2008
20.07,11.0,,Stage 5 - Aginskoe › Aginskoe ,150.0,,,2008
18.07,39.0,,Stage 4 - Chita › Aginskoe ,158.0,,,2008
17.07,33.0,,Stage 3 (ITT) - Chita › Kharabovsk ,26.0,,,2008
16.07,46.0,,Stage 2 - Chita › Chita ,158.0,,,2008
15.07,47.0,,Stage 1 - Chita › Chita ,117.0,,,2008
14.07,24.0,,Prologue - Chita › Chita ,3.0,,,2008
15.07 » 24.07,,,Way to Pekin (2.2) ,,,,2006
24.07,2.0,,Stage 8 - Moscow › Moscow ,,2,,2006
