date,result ranking,general classification,race name,distance,PCS point,UCI point
25.04 » 01.05,,,Le Tour de Bretagne Cycliste (2.2),,,
27.04,50,25,Stage 3 - Lohéac › Le Hinglé,171.7,,
26.04,19,19,Stage 2 - Missillac › La Chapelle-Bouëxic,152,,
25.04,61,62,Stage 1 - Guenrouët › Sainte-Reine-de-Bretagne,162.3,,
21.03 » 27.03,,,Tour de Normandie (2.2),,,
,56,,Youth classification,,,
,17,,Mountains classification,,,
,19,,Points classification,,,
,74,,General classification,,,
27.03,93,,Stage 7 - Ducey-les-Chéris › Caen,142.5,,
26.03,3,73,Stage 6 - Carentan-les-Marais › Carentan-les-Marais,175.9,1,1
25.03,94,76,Stage 5 - Les Monts d'Aunay › Bagnoles-de-l'Orne,156.7,,
24.03,62,73,Stage 4 - Gacé › Argentan,160.6,,
23.03,101,87,Stage 3 - Nonancourt › Elbeuf-sur-Seine,181.4,,
22.03,86,58,Stage 2 - Le Neubourg › Forges-les-Eaux,187.5,,
21.03,37,38,Stage 1 - Ouistreham › Vimoutiers,148.2,,
17.10,50,,Boucles de l'Aulne - Châteaulin (1.1),177.6,,
10.10,DNF,,Paris - Tours Espoirs (1.2U),177,,
20.09 » 26.09,,,Le Tour de Bretagne Cycliste (2.2),,,
,12,,Youth classification,,,
,22,,Points classification,,,
,28,,General classification,,,
26.09,38,,Stage 7 - Guitté › Dinan,155.3,,
25.09,3,31,Stage 6 - Quédillac › Fougères,166,1,1
24.09,51,31,Stage 5 - Châteaubriant › Boisgervilly,217,,
23.09,38,34,Stage 4 - Ploeren › Louisfert,167.6,,
22.09,43,36,Stage 3 - Rosporden › Brandivy,170.5,,
21.09,35,16,Stage 2 - Corlay › Rosporden,169.1,,
20.09,16,16,Stage 1 - Le Cambout › Allineuc,159,,
30.07,14,,National Championships France U23 - Road Race (NC),164.4,,
28.07,4,,National Championships France U23 - ITT (NC),21.6,,5
25.10,7,,National Championships France MJ - Road Race (NC),125,2,
22.10,11,,National Championships France MJ - ITT (NC),21,,
28.08,DNF,,European Continental Championships MJ - Road Race (CC),109.2,,
25.08,54,,National Championships France MJ - Road Race (NC),130.9,,
24.08,15,,National Championships France MJ - ITT (NC),24,,
17.08 » 18.08,,,Ronde des Vallées (2.1),,,
,4,,Youth classification,,,
,12,,Mountains classification,,,
,12,,General classification,,10,
18.08,36,,Stage 2b - Hémonstoir › Hémonstoir,102.7,,
18.08,13,13,Stage 2a (ITT) - Saint-Caradec › Hémonstoir,11.5,,
17.08,33,33,Stage 1 - La Prénessaye › La Prénessaye,110,,
11.07 » 14.07,,,Ain Bugey Valromey Tour (2.1),,,
,30,,Youth classification,,,
,87,,General classification,,,
14.07,37,,Stage 4 - Artemare › Hauteville-Lompnes,106.5,,
13.07,37,127,Stage 3 (ITT) - Massignieu de Rives › Massignieu de Rives,9.9,,
12.07,139,127,Stage 2 - Nantua › Belley,124.9,,
11.07,8,8,Stage 1 - Serrières de Briord › Blyes,119,1,
25.05 » 26.05,,,Trophée Centre Morbihan (2.Ncup),,,
,6,,Youth classification,,,
,26,,General classification,,5,
26.05,50,,Stage 3 - Moustoir-Ac › Locminé,107.6,,
26.05,40,32,Stage 2 (ITT) - Réguiny › Naizin,7,,
25.05,47,47,Stage 1 - Plumelin › Plumelin,122.8,,
