date,result ranking,general classification,race name,distance,PCS point,UCI point
12.09,17,,Volta do ABC Paulista (1.5),117,,
13.04 » 18.04,,,Volta do Rio de Janeiro (2.3),,,
,70,,General classification,,,
18.04,8,,Stage 5 - Niterói › Rio de Janeiro,,1,
17.04,15,75,Stage 4 - Nova Friburgo › Niterói,129.8,,
16.04,79,80,Stage 3 - Conceição de Macabu › Nova Friburgo,113.2,,
15.04,84,79,Stage 2 (ITT) - Cabo Frio › Cabo Frio,30,,
14.04,20,65,Stage 1 - Niterói › Cabo Frio,132.8,,
13.04,76,76,Prologue - Praia do Leme › Praia do Leme,1.5,,
24.03 » 28.03,,,Volta Ciclística de Porto Alegre (2.5),,,
,28,,General classification,,,
28.03,6,,Stage 4 - Gravataí › Porto Alegre,120,,
27.03,7,37,Stage 3 - Capão da Canoa › Gravataí,148,,
26.03,12,,Stage 2 - Tramandaí › Capão da Canoa,126,,
25.03,42,,Stage 1 - Porto Alegre › Tramandaí,149,,
24.03,73,73,Prologue - Porto Alegre › Porto Alegre,7,,
16.03 » 20.03,,,Volta Ciclística Internacional do Paraná (2.5),,,
,54,,General classification,,,
20.03,61,,Stage 4 - Londrina › Londrina,44.4,,
19.03,56,56,Stage 3 - Londrina › Londrina,136,,
18.03,60,51,Stage 2 - Londrina › Arapongas,165,,
17.03,39,40,Stage 1 - Londrina › Rolândia,167,,
16.03,59,59,Prologue - Goiânia › Londrina,3.05,,
