date,result ranking,general classification,race name,distance,PCS point,UCI point,year
13.04 » 17.04,,,Belgrade Banjaluka (2.1),,,,2022
,10,,Points classification,,,,2022
,9,,General classification,,16,25,2022
17.04,4,,Stage 5 - Derventa › Banja Luka,154.5,5,,2022
16.04,10,12,Stage 4 - Doboj › Prijedor,165.5,,,2022
15.04,15,11,Stage 3 - Bijeljina › Vlasenica,123,,,2022
14.04,7,23,Stage 2 - Obrenovac › Bijeljina,122,2,,2022
13.04,6,24,Stage 1 (TTT) - Belgrade › Belgrade,4,,,2022
27.03,15,,GP Adria Mobil (1.2),182.8,,,2022
24.03,28,,GP Vipava Valley & Crossborder Goriška (1.2),154.4,,,2022
20.03,57,,Per Sempre Alfredo (1.1),172.7,,,2022
17.10,76,,Veneto Classic (1.1),206.5,,,2021
13.10,58,,Giro del Veneto (1.1),168.8,,,2021
11.10,DNF,,Coppa Agostoni - Giro delle Brianze (1.1),180,,,2021
28.09 » 01.10,,,Giro di Sicilia - Tour of Sicily (2.1),,,,2021
,31,,Points classification,,,,2021
01.10,DNF,,Stage 4 - Sant'Agata di Militello › Mascali,180,,,2021
30.09,88,75,Stage 3 - Termini Imerese › Caronia,180,,,2021
29.09,16,14,Stage 2 - Selinunte › Mondello,173,,,2021
28.09,9,13,Stage 1 - Avola › Licata,179,,,2021
19.09,29,,Trofeo Matteotti (1.1),195,,,2021
16.09,DNF,,Coppa Sabatini - Gran Premio città di Peccioli (1.Pro),210.8,,,2021
03.09 » 05.09,,,Giro della Regione Friuli Venezia Giulia (2.2),,,,2021
,100,,General classification,,,,2021
05.09,85,,Stage 3 - Mortegliano › Pordenone,157,,,2021
04.09,129,101,Stage 2 - Casarsa della Delizia › Piancavallo,142,,,2021
03.09,45,45,Stage 1 - Rive d’Arcano › Tarvisio,153,,,2021
14.07 » 18.07,,,Settimana Ciclistica Italiana (2.1),,,,2021
16.07,DNF,,Stage 3 - Oristano › Cagliari,180.9,,,2021
15.07,125,129,Stage 2 - Sassari › Oristano,185.5,,,2021
14.07,129,129,Stage 1 - Alghero › Sassari,155.8,,,2021
24.06,65,,Giro dell'Appennino (1.1),192.1,,,2021
20.06,DNF,,National Championships Italy - Road Race (NC),225.9,,,2021
04.06,86,,Grosser Preis des Kantons Aargau (1.1),172,,,2021
02.06,19,,Trofeo Alcide Degasperi (1.2),159.9,,,2021
02.05,11,,Circuito del Porto - Trofeo Arvedi (1.2),179.9,,,2021
14.04 » 18.04,,,Volta a la Comunitat Valenciana (2.Pro),,,,2021
,37,,Youth classification,,,,2021
,38,,Points classification,,,,2021
,81,,General classification,,,,2021
18.04,10,,Stage 5 - Paterna › Valencia,91.2,,,2021
17.04,65,81,Stage 4 (ITT) - Xilxes › Playa Almenara,14.3,,,2021
16.04,99,82,Stage 3 - Torrent › Alto de la Reina,165,,,2021
15.04,62,77,Stage 2 - Alicante › Alicante,179,,,2021
14.04,80,80,Stage 1 - Elche › Ondara,168.9,,,2021
01.09 » 04.09,,,Settimana Internazionale Coppi e Bartali (2.1),,,,2020
,20,,Youth classification,,,,2020
,15,,Points classification,,,,2020
,56,,General classification,,,,2020
04.09,52,,Stage 4 - Forlì › Forlì,166.2,,,2020
03.09,93,82,Stage 3 - Riccione › Riccione,168.9,,,2020
02.09,80,79,Stage 2 - Riccione › Sogliano al Rubicone,166.5,,,2020
01.09,7,7,Stage 1a - Gatteo › Gatteo,97.8,2,,2020
01.09,23,106,Stage 1b (TTT) - Gatteo a Mare › Gatteo,13.3,,,2020
30.08,DNF,,Memorial Marco Pantani (1.1),199.8,,,2020
29.08,63,,Trofeo Matteotti (1.1),195,,,2020
23.08,DNF,,National Championships Italy - Road Race (NC),253.8,,,2020
18.08,DNF,,Giro dell'Emilia (1.Pro),199.7,,,2020
03.08,DNF,,Gran Trittico Lombardo (1.Pro),199.7,,,2020
16.02,DNF,,Trofeo Laigueglia (1.Pro),202,,,2020
24.09,3,,Ruota d'Oro - GP Festa del Perdono (1.2U),167.7,7,20,2019
04.09 » 07.09,,,Giro della Regione Friuli Venezia Giulia (2.2),,,,2019
,10,,Mountains classification,,,,2019
,3,,Points classification,,,,2019
,5,,General classification,,8,15,2019
07.09,12,,Stage 4 - Forgaria nel Friuli › San Daniele del Friuli,144.5,,,2019
06.09,1,5,Stage 3 - Pordenone › Gorizia ,177.5,5,7,2019
05.09,7,55,Stage 2 - Gemona del Friuli › Lignano,160,,,2019
04.09,15,64,Stage 1 (TTT) - Torreano di Martignacco › Martignacco,16.1,,,2019
16.08,5,,Gp Capodarco Comunita Di Capodarco (1.2U),180,2,10,2019
11.08,17,,Gran Premio Sportivi di Poggiana - Trofeo Bonin Costruzioni (1.2U),169.6,,,2019
02.07,12,,Trofeo Città di Brescia (1.2),121.8,,,2019
30.06,7,,National Championships Italy U23 - Road Race (NC),153.9,,3,2019
13.06 » 23.06,,,Giro Ciclistico d'Italia (2.2U),,,,2019
,26,,Points classification,,,,2019
,91,,General classification,,,,2019
23.06,61,,Stage 9 - Agordo › Passo Fedaia,39.9,,,2019
22.06,36,92,Stage 8 - Rosa › Falcade,133.6,,,2019
21.06,15,111,Stage 7 - Dimaro › Levico Terme,131.5,,,2019
20.06,112,114,Stage 6 - Aprica › Aprica,94.3,,,2019
19.06,108,106,Stage 5 - Sorbolo Mezzani › Passo Maniva,158.3,,,2019
17.06,122,107,Stage 4 - Buonconvento › Monte Amiata,140.2,,,2019
16.06,106,102,Stage 3 - Sesto Fiorentino › Gaiole in Chianti,145.5,,,2019
15.06,4,90,Stage 2 - Bagno di Romagna › Pescia,185.8,,,2019
14.06,13,112,Stage 1 - Riccione › Santa Sofia,138.8,,,2019
13.06,8,8,Prologue - Riccione › Riccione,3.3,,,2019
02.06,5,,Trofeo Alcide Degasperi (1.2),160.4,2,15,2019
12.05,5,,Gran Premio Industrie del Marmo (1.2U),174.7,2,10,2019
05.05,6,,Circuito del Porto - Trofeo Arvedi (1.2),179.9,1,10,2019
21.04,36,,Tr. Città di S. Vendemiano - 59° GP Industria (1.2U),175,,,2019
17.03,29,,Popolarissima (1.2),174.7,,,2019
25.09,5,,Ruota d'Oro - GP Festa del Perdono (1.2U),167.7,2,10,2018
06.09 » 08.09,,,Giro della Regione Friuli Venezia Giulia (2.2),,,,2018
,16,,Points classification,,,,2018
,78,,General classification,,,,2018
08.09,6,,Stage 3 - Lignano Sabbiadoro › Gorizia,157.5,,,2018
07.09,96,93,Stage 2 - Feletto Umberto › Rif.Pelizzo Matajur,152.2,,,2018
06.09,15,15,Stage 1 - Fagagna › Spilimbergo,166.2,,,2018
12.08,5,,Puchar Uzdrowisk Karpackich (1.2),186.1,2,15,2018
11.08,12,,Memorial Henryka Lasaka (1.2),175.8,,,2018
03.07,DNF,,Trofeo Citta di Brescia (1.2),121.8,,,2018
23.06,12,,National Championships Italy U23 - Road Race (NC),174.6,,,2018
07.06 » 16.06,,,Giro Ciclistico d'Italia (2.2U),,,,2018
,52,,General classification,,,,2018
16.06,2,52,Stage 9a - Conegliano › Valdobbiadene,72.8,2,1,2018
16.06,52,,Stage 9b (ITT) - Il Muro di cà del Poggio › Cà del Poggio,22.4,,,2018
15.06,72,59,Stage 8 - Levico Terme › Asiago,157.4,,,2018
14.06,65,56,Stage 7 - Schio › Pian Delle Fugazze,136.9,,,2018
13.06,35,56,Stage 6 - Dimaro Folgarida › Pergine Valsugana,120.7,,,2018
12.06,77,65,Stage 5 - Darfo Boario Terme › Dimaro Folgarida (Malga di Dimaro),127.8,,,2018
11.06,97,71,Stage 4 - Mornico Al Serio › Passo Manivia,127.9,,,2018
10.06,5,66,Stage 3 - Rio Saliceto › Mornico Al Serio,164.3,,,2018
09.06,75,66,Stage 2 - Nonantola › Sestola,138.2,,,2018
08.06,20,48,Stage 1 - Riccione › Forlì,137.7,,,2018
07.06,56,56,Prologue - Forlì › Forlì,4.4,,,2018
03.06,5,,Coppa della Pace - Trofeo F.lli Anelli (1.2),172,2,15,2018
06.05,20,,Circuito del Porto - Trofeo Arvedi (1.2),179.9,,,2018
28.04 » 03.05,,,Carpathian Couriers Race (2.2U),,,,2018
,2,,Points classification,,,,2018
,18,,General classification,,,,2018
03.05,16,,Stage 6 - Tuchow › Tarnow - Moscice,170.3,,,2018
02.05,2,16,Stage 5 - Szczawnica › Nowy Sacz,119,2,1,2018
01.05,6,25,Stage 4 - Stara Lubovna › Stara Lubovna,154.9,,,2018
30.04,32,31,Stage 3 (ITT) - Stary Smokovec › Hrebienok,2.5,,,2018
29.04,3,5,Stage 2a - Trstena › Jablonka,72.4,1,,2018
29.04,14,16,Stage 2b - Jablonka › Oswiecim,106,,,2018
28.04,4,5,Stage 1 - Veszprem › Papa,150,,,2018
22.04,3,,Tr. Città di S. Vendemiano - 58th GP Industria & Commercio (1.2U),171.8,7,20,2018
18.03,45,,Popolarissima (1.2),175.9,,,2018
26.09,54,,Ruota d'Oro - GP Festa del Perdono (1.2U),167,,,2017
27.06,44,,Trofeo Citta di Brescia (1.2),121.8,,,2017
09.06 » 15.06,,,Giro Ciclistico d'Italia (2.2U),,,,2017
13.06,130,105,Stage 5a - Osima › Senigallia,87.2,,,2017
13.06,OTL,,Stage 5b (ITT) - Campocavallo di Osima › Campocavallo di Osima,14,,,2017
12.06,15,97,Stage 4 - Gabicce Mare › Gabicce Mare,155.5,,,2017
11.06,99,114,Stage 3 - Forli › Barnara di Romagna,140.5,,,2017
10.06,94,125,Stage 2 - San Valentino di Castellarano › Castellarano,145.8,,,2017
09.06,111,125,Stage 1 - Imola › Imola,131.7,,,2017
14.05,84,,Gran Premio Industrie del Marmo (1.2U),174.7,,,2017
07.05,18,,Circuito del Porto - Trofeo Arvedi (1.2),174.7,,,2017
28.04 » 29.04,,,Toscana Terra di Ciclismo Eroica (2.2U),,,,2017
29.04,DNF,,Stage 2 - Foiano della Chiana › Buonconvento,147.5,,,2017
28.04,51,45,Stage 1b - Cinigiano › Civitella Marittima,125,,,2017
28.04,8,37,Stage 1a (TTT) - Cinigiano  › Cinigiano ,14.6,,,2017
25.04,75,,Gran Premio della Liberazione (1.2U),138,,,2017
27.09,DNF,,Ruota d'Oro - GP Festa del Perdono (1.2U),167,,,2016
16.08,DNF,,GP Capodarco - Comunità di Capodarco (1.2U),180,,,2016
25.04,DNF,,Gran Premio della Liberazione (1.2U),138,,,2016
04.09 » 06.09,,,Giro della Lunigiana (2.1),,,,2015
06.09,DNF,,Stage 3 - La Spezia › Luni di Ortonovo,94.4,,,2015
05.09,97,80,Stage 2 - Fosdinovo › Fosdinovo,116.9,,,2015
04.09,70,70,Stage 1 - Castelnuovo Magra  › Ponzano ,98.7,,,2015
11.07 » 12.07,,,GP Général Patton (2.Ncup),,,,2015
,41,,General classification,,5,,2015
12.07,45,,Stage 2 - Wincrange › Wincrange,97,,,2015
11.07,43,43,Stage 1 - Ettelbruck › Troisvierges,102,,,2015
24.05,5,,Tf GD Dorigo MO Biemmereti MO Cristiano Floriani MO Ferramenta Mazzero (1.1),137.2,28,,2015
03.05,4,,G.P. Sportivi Sovilla-La Piccola SanRemo (1.1),125.95,32,,2015
18.05,50,,Tf GD Dorigo - MO Biemmereti - MO Cristiano Floriani - MO F. Mazzero (1.1),137.2,,,2014
