date,result ranking,general classification,race name,distance,PCS point,UCI point
11.10,54,,Nationale Sluitingprijs Putte-Kapellen (1.1),183,,
03.10,68,,Sparkassen Münsterland Giro (1.HC),208,,
25.09,32,,Gooikse Pijl (1.2),198.1,,
17.09,DNF,,Primus Classic Impanis - Van Petegem (1.HC),200.4,,
28.08,46,,Schaal Sels (1.1),194.7,,
23.08,47,,GP Stad Zottegem (1.1),190.1,,
07.08,62,,Antwerpse Havenpijl (1.2),178,,
05.08,76,,Dwars door het Hageland - Aarschot (1.1),194.1,,
20.07,90,,Grand Prix Cerami (1.1),211,,
09.07,25,,Grote Prijs Stad Sint-Niklaas (1.2),180,,
12.06,66,,Ronde van Limburg (1.1),200,,
05.06,60,,Memorial Philippe Van Coningsloo (1.2),182,,
04.06,54,,Heistse Pijl - Heist op den Berg (1.1),195.2,,
14.05,38,,Ronde van Overijssel (1.2),199,,
04.05 » 08.05,,,4 Jours de Dunkerque / Tour du Nord-pas-de-Calais (2.HC),,,
,95,,General classification,,,
08.05,74,,Stage 5 - Hondschoote › Dunkerque,159.7,,
07.05,87,102,Stage 4 - Audruicq › Cassel,178.2,,
06.05,122,109,Stage 3 - Béthune › Saint-Pol-sur-Ternoise,174,,
05.05,75,59,Stage 2 - Aniche › Aniche,188.3,,
04.05,40,43,Stage 1 - Dunkerque › Gravelines,191.4,,
17.04,48,,Tro-Bro Léon (1.1),203.3,,
18.03,97,,Handzame Classic (1.1),199,,
16.03,32,,Nokere Koerse - Danilith Classic (1.HC),199.5,,3
12.03,35,,Energiewacht Ronde van Drenthe (1.1),197.1,,
04.03 » 06.03,,,Driedaagse van West-Vlaanderen (2.1),,,
,78,,General classification,,,
06.03,82,,Stage 2 - Nieuwpoort › Ichtegem,182.7,,
05.03,57,99,Stage 1 - Brugge  › Harelbeke,176.3,,
04.03,130,130,Prologue - Middelkerke › Middelkerke,7,,
02.03,DNF,,Le Samyn (1.1),202.6,,
28.02,DNF,,Kuurne-Bruxelles-Kuurne (1.HC),203,,
03.10,24,,Sparkassen Münsterland Giro (1.HC),179.9,2,
27.09,DNF,,Gooikse Pijl (1.2),198.7,,
23.09,44,,Omloop van het Houtland Lichtervelde (1.1),198,,
18.09,68,,Kampioenschap van Vlaanderen (1.1),192,,
12.09,61,,De Kustpijl (1.2),198,,
30.08,DNF,,Schaal Sels (1.1),208.8,,
21.08,91,,Arnhem-Veenendaal Classic (1.1),199.7,,
02.08,120,,Prudential RideLondon & Surrey Classic (1.HC),200,,
22.07,DNF,,Grand Prix Cerami (1.1),211,,
28.06,DNF,,National Championships Belgium - Road Race (NC),252,,
24.06,22,,Internationale Wielertrofee Jong Maar Moedig I.W.T. (1.2),174,,
14.06,66,,Ronde van Limburg (1.1),199,,
04.06 » 07.06,,,Boucles de la Mayenne (2.1),,,
06.06,DNF,,Stage 2 - Saint-Pierre-des-Nids › Lassay-les-Châteaux,186,,
05.06,110,113,Stage 1 - Saint-Berthevin › Changé,184,,
04.06,123,123,Prologue - Laval › Laval,4.5,,
23.05 » 24.05,,,World Ports Classic (2.1),,,
,69,,General classification,,,
24.05,98,,Stage 2 - Antwerpen › Rotterdam,164,,
23.05,62,62,Stage 1 - Rotterdam › Antwerpen,195,,
15.05 » 17.05,,,Tour de Picardie (2.1),,,
,110,,General classification,,,
17.05,106,,Stage 3 - Athies › Mers-les-Bains,189.9,,
16.05,109,110,Stage 2 - Villers-Saint-Paul  › Fleurines,168.1,,
15.05,79,80,Stage 1 - Moy-de-l'Aisne › Tergnier,161.5,,
19.04,DNF,,Tro-Bro Léon (1.1),204.4,,
18.04,DNF,,Tour du Finistère (1.1),189.2,,
16.04,DNF,,GP de Denain Porte du Hainaut (1.1),198.2,,
08.04,DNF,,Scheldeprijs (1.HC),200,,
31.03 » 02.04,,,Driedaagse De Panne-Koksijde (2.HC),,,
,91,,General classification,,,
02.04,26,102,Stage 3a - De Panne › De Panne,114.4,,
02.04,73,,Stage 3b (ITT) - De Panne › De Panne,14.2,,
01.04,165,119,Stage 2 - Zottegem › Koksijde,217.2,,
31.03,68,70,Stage 1 - De Panne › Zottegem,189.1,,
