date,result ranking,general classification,race name,distance,PCS point,UCI point
20.08 » 26.08,,,USA Pro Cycling Challenge (2.HC),,,
,41,,General classification,,,
26.08,23,41,Stage 7 (ITT) - Denver › Denver,15.3,,
25.08,52,42,Stage 6 - Golden › Boulder,165.5,,
24.08,35,46,Stage 5 - Breckenridge › Colorado Springs,189.7,,
23.08,42,46,Stage 4 - Aspen › Beaver Creek,156.5,,
22.08,63,48,Stage 3 - Gunnison › Aspen,210.1,,
21.08,52,44,Stage 2 - Montrose › Crested Butte,159.3,,
20.08,27,27,Stage 1 - Durango › Telluride,202,,
30.06 » 22.07,,,Tour de France (WT),,,
,40,,Mountains classification,,,
,38,,General classification,,25,
22.07,46,,Stage 20 - Rambouillet › Paris,120,,
21.07,34,38,Stage 19 (ITT) - Bonneval › Chartres,53.5,,
20.07,50,39,Stage 18 - Blagnac › Brive-la-Gaillarde,222.5,,
19.07,55,39,Stage 17 - Bagnères-de-Luchon › Peyragudes,143.5,,
18.07,36,38,Stage 16 - Pau › Bagnères-de-Luchon,197,,
16.07,46,42,Stage 15 - Samatan › Pau,158.5,,
15.07,44,41,Stage 14 - Limoux › Foix,191,,
14.07,96,41,Stage 13 - Saint-Paul-Trois-Châteaux › Cap d'Agde,217,,
13.07,57,39,Stage 12 - Saint-Jean-de-Maurienne › Annonay Davézieux,226,,
12.07,51,39,Stage 11 - Albertville › La Toussuire - Les Sybelles,148,,
11.07,49,43,Stage 10 - Macon › Bellegarde-sur-valserine,194.5,,
09.07,63,49,Stage 9 (ITT) - Arc-et-senans › Besancon,41.5,,
08.07,74,50,Stage 8 - Belfort › Porrentruy,157.5,,
07.07,88,46,Stage 7 - Tomblaine › La Planche Des Belles Filles,199,,
06.07,29,32,Stage 6 - Epernay › Metz,205,,
05.07,40,56,Stage 5 - Rouen › Saint-quentin,196.5,,
04.07,76,56,Stage 4 - Abbeville › Rouen,214.5,,
03.07,59,57,Stage 3 - Orchies › Boulogne-sur-mer,197,,
02.07,66,98,Stage 2 - Vise › Tournai,207.5,,
01.07,132,102,Stage 1 - Liege › Seraing,198,,
30.06,22,22,Prologue - Liège › Liège,6.4,,
03.06 » 10.06,,,Critérium du Dauphiné (WT),,,
,63,,General classification,,5,
10.06,71,63,Stage 7 - Morzine › Châtel,124.5,,
09.06,84,62,Stage 6 - Saint-Alban-Leysse › Morzine,167.5,,
08.06,57,44,Stage 5 - Saint-Trivier-sur-Moignans › Rumilly,186.5,,
07.06,34,45,Stage 4 (ITT) - Villié-Morgon › Bourg-en-Bresse,53.5,,
06.06,30,81,Stage 3 - Givors › La Clayette,167,,
05.06,101,83,Stage 2 - Lamastre › Saint-Félicien,160,,
04.06,27,35,Stage 1 - Seyssins › Saint-Vallier,187,,
03.06,46,46,Prologue - Grenoble › Grenoble,5.7,,
28.05,16,,National Championships United States - Road Race (NC),185,,
13.05 » 20.05,,,Amgen Tour of California (2.HC),,,
,28,,Points classification,,,
,15,,General classification,,20,3
20.05,28,16,Stage 8 - Los Angeles › Los Angeles,68.5,,
19.05,19,15,Stage 7 - Ontario › Mt. Baldy,126,,
18.05,17,11,Stage 6 - Palmdale › Big Bear Lake,186.3,,
17.05,13,12,Stage 5 (ITT) - Bakersfield › Bakerfield,29.7,,
16.05,20,13,Stage 4 - Sonora › Clovis,209.6,,
15.05,28,13,Stage 3 - Jose › Livermore,185.5,,
14.05,17,12,Stage 2 - Francisco › Santa Cruz,188.5,,
13.05,6,9,Stage 1 - Santa Rosa › Santa Rosa,186.5,3,5
08.04,43,,Paris - Roubaix (WT),257.5,5,
01.04,52,,Ronde van Vlaanderen / Tour des Flandres ME (WT),256,5,
25.03,51,,Gent - Wevelgem (WT),234.6,5,
23.03,DNF,,E3 Prijs Vlaanderen (WT),203,,
17.03,33,,Milano-Sanremo (WT),298,7,
07.03 » 13.03,,,Tirreno-Adriatico (WT),,,
,42,,General classification,,5,
13.03,41,42,Stage 7 (ITT) - San Benedetto Del Tronto › San Benedetto Del Tronto,9.3,,
12.03,72,42,Stage 6 - Offida › Offida,181,,
11.03,51,45,Stage 5 - Martinsicuro › Prati Di Tivo,196,,
10.03,78,73,Stage 4 - Amelia › Chieti,252,,
09.03,44,92,Stage 3 - Indicatore › Terni,178,,
08.03,55,102,Stage 2 - San Vincenzo › Arezzo,230,,
07.03,17,111,Stage 1 (TTT) - San Vincenzo › Donoratico,16.9,,
03.03,DNF,,Montepaschi Strade Bianche - Eroica Toscana (1.1),190,,
11.09,19,,Grand Prix Cycliste de Montréal (WT),205.7,16,
09.09,66,,Grand Prix Cycliste de Quebec (WT),201.6,5,
22.08 » 28.08,,,USA Pro Challenge (2.1),,,
,5,,General classification,,28,
28.08,11,,Stage 6 - Golden › Denver,118.8,,
27.08,11,,Stage 5 - Steamboat Springs › Breckenridge,169,,
26.08,9,,Stage 4 - Avon › Steamboat Springs,133,,
25.08,10,,Stage 3 (ITT) - Vail › Vail,16,,
24.08,1,,Stage 2 - Gunnison › Aspen,211,20,
23.08,21,8,Stage 1 - Salida › Crested Butte,160,,
22.08,6,6,Prologue - Colorado Springs › Colorado Springs,8.34,3,
09.08 » 14.08,,,Tour Of Utah (2.1),,,
14.08,DNS,,Stage 5 - Kimball Junction › Snowbird,160.8,,
13.08,35,,Stage 4 - Salt Lake City › Salt Lake City,129,,
12.08,10,,Stage 3 (ITT) - Miller Motorsports Park › Miller Motorsports Park,15.6,,
11.08,18,,Stage 2 - Lehi › Provo,159.6,,
10.08,16,,Stage 1 - Ogden › Ogden,182.9,,
09.08,39,,Prologue - Park City › Park City,2,,
02.07 » 24.07,,,Tour de France (WT),,,
,78,,Points classification,,,
,56,,General classification,,25,
24.07,58,56,Stage 21 - Créteil › Paris,95,,
23.07,56,56,Stage 20 (ITT) - Grenoble › Grenoble,42.5,,
22.07,75,54,Stage 19 - Modane › Alpe d’huez,109.5,,
21.07,70,52,Stage 18 - Pinerolo › Galibier Serre-Chevalier,189,,
20.07,60,49,Stage 17 - Gap › Pinerolo,179,,
19.07,61,50,Stage 16 - Saint-Paul-Trois-Châteaux › Gap,162.5,,
17.07,50,53,Stage 15 - Limoux › Montpellier,192.5,,
16.07,62,53,Stage 14 - Saint-Gaudens › Plateau De Beille,168.5,,
15.07,51,49,Stage 13 - Pau › Lourdes,152.5,,
