date,result ranking,general classification,race name,distance,PCS point,UCI point,year
02.07 » 24.07,,,Tour de France () ,,,,1994
11.07,OTL,,Stage 9 (ITT) - Périgueux › Bergerac ,64,,,1994
10.07,174,,Stage 8 - Poitiers › Trélissac ,218.5,,,1994
09.07,167,,Stage 7 - Rennes › Futuroscope ,259.5,,,1994
08.07,176,,Stage 6 - Cherbourg › Rennes ,270.5,,,1994
07.07,118,,Stage 5 - Portsmouth › Portsmouth ,187,,,1994
06.07,156,,Stage 4 - Dover › Brighton ,204.5,,,1994
05.07,21,,Stage 3 (TTT) - Calais › Eurotunnel ,66.5,,,1994
04.07,124,,Stage 2 - Roubaix › Boulogne-Sur-Mer ,203.5,,,1994
03.07,85,,Stage 1 - Lille-Euralille › Armentières ,234,,,1994
02.07,182,182,Prologue - Lille-Euralille › Lille-Euralille ,7.2,,,1994
26.06,55,,National Championships France - Road Race (NC) ,255,,,1994
30.05 » 06.06,,,Critérium du Dauphiné Libéré () ,,,,1994
,59,,General classification ,,5,,1994
21.05,15,,Classique des Alpes () ,196.4,12,,1994
15.05,32,,Giro di Toscana () ,202,,,1994
21.03 » 25.03,,,Setmana-Catalana () ,,,,1994
,20,,General classification ,,8,,1994
23.03,9,,Stage 3 - Torrelavit › Andorra  ,191,,,1994
21.03,15,,Stage 1 - Lloret de Mar  › Lloret de Mar  ,174,,,1994
06.03 » 13.03,,,Paris - Nice () ,,,,1994
,41,,General classification ,,5,,1994
11.03,23,,Stage 6 - Beaumes-de-Venise › Marseille ,195,,,1994
19.02 » 19.02,,,Tour du Haut Var () ,,,,1994
,34,, ,199,,,1994
17.02,79,,Classic Haribo () ,162,,,1994
01.02,12,,Grand Prix d'Ouverture La Marseillaise () ,135,10,,1994
02.07 » 24.07,,,Tour de France () ,,,,1994
11.07,OTL,,Stage 9 (ITT) - Périgueux › Bergerac ,64.0,,,1994
10.07,174,,Stage 8 - Poitiers › Trélissac ,218.5,,,1994
09.07,167,,Stage 7 - Rennes › Futuroscope ,259.5,,,1994
08.07,176,,Stage 6 - Cherbourg › Rennes ,270.5,,,1994
07.07,118,,Stage 5 - Portsmouth › Portsmouth ,187.0,,,1994
06.07,156,,Stage 4 - Dover › Brighton ,204.5,,,1994
05.07,21,,Stage 3 (TTT) - Calais › Eurotunnel ,66.5,,,1994
04.07,124,,Stage 2 - Roubaix › Boulogne-Sur-Mer ,203.5,,,1994
03.07,85,,Stage 1 - Lille-Euralille › Armentières ,234.0,,,1994
02.07,182,182,Prologue - Lille-Euralille › Lille-Euralille ,7.2,,,1994
26.06,55,,National Championships France - Road Race (NC) ,255.0,,,1994
30.05 » 06.06,,,Critérium du Dauphiné Libéré () ,,,,1994
,59,,General classification ,,5,,1994
21.05,15,,Classique des Alpes () ,196.4,12,,1994
15.05,32,,Giro di Toscana () ,202.0,,,1994
21.03 » 25.03,,,Setmana-Catalana () ,,,,1994
,20,,General classification ,,8,,1994
23.03,9,,Stage 3 - Torrelavit › Andorra  ,191.0,,,1994
21.03,15,,Stage 1 - Lloret de Mar  › Lloret de Mar  ,174.0,,,1994
06.03 » 13.03,,,Paris - Nice () ,,,,1994
,41,,General classification ,,5,,1994
11.03,23,,Stage 6 - Beaumes-de-Venise › Marseille ,195.0,,,1994
19.02 » 19.02,,,Tour du Haut Var () ,,,,1994
,34,, ,199.0,,,1994
17.02,79,,Classic Haribo () ,162.0,,,1994
