date,result ranking,general classification,race name,distance,PCS point,UCI point,year
15.05 » 26.05,,,Olympia's Tour () ,,,,1998
,59,,General classification ,,,,1998
26.05,21,,Stage 11 - Almere › Amsterdam ,200.4,,,1998
25.05,74,,Stage 10 - Zaltbommel › Almere ,177.3,,,1998
24.05,70,,Stage 9 (ITT) - Zaltbommel › Zaltbommel ,23.6,,,1998
23.05,1,,Stage 8 - Maasbracht › Zaltbommel ,144,5,,1998
22.05,66,,Stage 7 - Born › Linne ,156.9,,,1998
21.05,68,,Stage 6 - Cranendonck › Buchten ,195.9,,,1998
19.05,71,,Stage 4 - Tilburg › Cranendonck ,134.2,,,1998
18.05,33,,Stage 3 - Noordwijkerhout › Tilburg ,185.5,,,1998
17.05,6,,Stage 2 - Rotterdam › Noordwijkerhout ,160.8,,,1998
16.05,62,,Stage 1 - Ridderkerk › Ridderkerk ,158.3,,,1998
15.05,52,,Prologue - Ridderkerk › Ridderkerk ,5,,,1998
16.05 » 25.05,,,Olympia's Tour () ,,,,1997
,31,,General classification ,,,,1997
25.05,8,,Stage 9 - Rotterdam › Amsterdam ,186,,,1997
24.05,2,,Stage 8a - Zaltbommel › Ridderkerk ,117.1,2,,1997
24.05,56,,Stage 8b (ITT) - Ridderkerk › Ridderkerk ,27.5,,,1997
23.05,14,,Stage 7 - Tilburg › Zaltbommel ,176,,,1997
22.05,10,,Stage 6 - Budel › Tilburg ,176,,,1997
21.05,62,,Stage 5 - Born › Budel ,165,,,1997
20.05,83,,Stage 4 - Maasbracht › Buchten ,212.6,,,1997
19.05,62,,Stage 3a - Schijndel › Maasbracht ,103,,,1997
18.05,27,,Stage 2 - Hoogeveen › Schijndel ,157,,,1997
17.05,5,,Stage 1 - Hoogeveen › Hoogeveen ,164,,,1997
16.05,59,,Prologue - Hoogeveen › Hoogeveen ,5,,,1997
03.05,8,,Ronde van Overijssel (1.5) ,,,,1997
13.02 » 24.02,,,Le Tour de Langkawi () ,,,,1997
,74,,General classification ,,,,1997
24.02,2,,Stage 12 - Langkawi › Langkawi ,60.5,12,,1997
23.02,4,,Stage 11 - Kangar › Penang ,189.4,5,,1997
21.02,5,,Stage 9 - Kuala Terengganu › Kota Bharu ,164.3,4,,1997
20.02,3,,Stage 8 - Kuantan › Kuala Terengganu ,204.9,7,,1997
19.02,2,,Stage 7 - Bentong › Kuantan ,198,12,,1997
17.02,5,,Stage 5 - Berjaya Times Square › Kuala Lumpur ,159.1,4,,1997
16.05 » 27.05,,,Olympia's Tour () ,,,,1996
27.05,3,,Stage 11 ,,1,,1996
22.05,1,,Stage 6 - Tilburg › Maastricht ,147,5,,1996
04.05,3,,Ronde van Overijssel () ,,7,,1996
17.04 » 21.04,,,Tour du Loir et Cher E Provost () ,,,,1996
21.04,1,,Stage 5a - Vineuil › Vineuil ,89,5,,1996
17.04,1,,Stage 1 - Blois › Saint-Laurent-Nouan ,175.5,5,,1996
19.05 » 29.05,,,Olympia's Tour () ,,,,1995
25.05,1,,Stage 6 - Meerssen › Tilburg ,162.4,5,,1995
20.05 » 30.05,,,Olympia's Tour () ,,,,1994
29.05,1,,Stage 9 - Ossendrecht › Ridderkerk ,143,5,,1994
07.04 » 10.04,,,Circuit Cycliste Sarthe - Pays de la Loire (2.1) ,,,,1992
,77,,General classification ,,,,1992
10.04,14,,Stage 4b - Parigne-l'Eveque  › Le Mans ,97,,,1992
13.06 » 20.06,,,Tour of Sweden () ,,,,1990
20.06,1,,Stage 7 ,177.1,20,,1990
20.05 » 29.05,,,Olympia's Tour () ,,,,1989
26.05,2,,Stage 6 - Emmen › Dieren ,191,2,,1989
17.07,20,,World Championships MJ - Road Race (WC) ,126.7,8,,1988
