date,result ranking,general classification,race name,distance,PCS point,UCI point,year
17.04,3,,National Championships Argentina - Road Race (NC),188,7,,2022
14.04,3,,National Championships Argentina - ITT (NC),42,2,,2022
07.04 » 10.04,,,Vuelta a Formosa Internacional (2.2),,,,2022
,1,,Points classification,,,,2022
,1,,General classification,,25,40,2022
10.04,1,,Stage 4 - Formosa › Formosa,98.8,5,7,2022
09.04,2,1,Stage 3 - Villa 213 › Formosa,175.7,2,3,2022
08.04,1,1,Stage 2b - Formosa › Formosa,102.4,5,7,2022
08.04,3,2,Stage 2a (ITT) - Formosa › Formosa,8,1,1,2022
07.04,3,3,Stage 1 - Laguna Blanca › Formosa,138.1,1,1,2022
09.02 » 13.02,,,Vuelta del Porvenir San Luis (2.2),,,,2022
,1,,General classification,,25,40,2022
13.02,17,,Stage 5 - San Luis › San Luis,126,,,2022
12.02,1,1,Stage 4 - Juana Koslay › Juana Koslay,164.9,5,7,2022
11.02,8,5,Stage 3 (ITT) - El Durazno  › El Durazno ,12.7,,,2022
10.02,1,2,Stage 2 - La Toma › La Toma,185.6,5,7,2022
09.02,7,11,Stage 1 - San Luis › Vila Mercedes,168.3,,,2022
26.01 » 02.02,,,Vuelta a San Juan Internacional (2.Pro),,,,2020
,11,,General classification,,36,30,2020
02.02,52,,Stage 7 - San Juan › San Juan,141.3,,,2020
01.02,31,11,Stage 6 - Autódromo El Villicúm › Autódromo El Villicúm,174.5,,,2020
31.01,9,12,Stage 5 - San Martín › Alto Colorado,169.5,,,2020
29.01,50,40,Stage 4 - San José de Jáchal › Villa San Agustín,185.8,,,2020
28.01,44,40,Stage 3 (ITT) - Ullum › Punta Negra,15.5,,,2020
27.01,30,40,Stage 2 - Pocito › Pocito,164.7,,,2020
26.01,79,79,Stage 1 - San Juan › San Juan,163.5,,,2020
10.08,34,,Pan American Games - Road Race (CC),177,,3,2019
28.04,13,,National Championships Argentina - Road Race (NC),198,,,2019
12.04 » 21.04,,,Vuelta Ciclista del Uruguay (2.2),,,,2019
,2,,Points classification,,,,2019
,3,,General classification,,14,25,2019
21.04,2,,Stage 10 - Trinidad › Montevideo,183.8,2,3,2019
20.04,1,3,Stage 9 - San Jacinto › Durazno,180.5,5,7,2019
19.04,101,6,Stage 8 - La Paloma › Pirlápolis,146,,,2019
18.04,7,6,Stage 7 - Treinta y Tres › Rocha,199.3,,,2019
17.04,10,6,Stage 6 (ITT) - Melo › Melo,33.6,,,2019
16.04,3,2,Stage 5 - Artigas › Tacuarembó,202.5,1,1,2019
15.04,2,2,Stage 4 - Colonia Itapebi › Artigas,149,2,3,2019
14.04,5,3,Stage 3 - Fray Bentos › Paysandú,150.1,,,2019
13.04,1,2,Stage 2 - Colonia › Mercedes,178.8,5,7,2019
12.04,3,3,Stage 1 - Cuidad del Plata › Colonia,165.5,1,1,2019
27.01 » 03.02,,,Vuelta a San Juan Internacional (2.1),,,,2019
,15,,General classification,,6,5,2019
03.02,11,,Stage 7 - San Juan › San Juan,141.3,,,2019
02.02,1,15,Stage 6 - Autódromo El Villicúm › Autódromo El Villicúm,153.5,20,14,2019
01.02,27,21,Stage 5 - San Martín › Alto Colorado,169.5,,,2019
30.01,31,22,Stage 4 - San José de Jáchal - Valle Fértil › Villa San Agustín,185.8,,,2019
29.01,27,22,Stage 3 (ITT) - Pocito › Pocito,12,,,2019
28.01,8,7,Stage 2 - Chimbas › Peri Lago Punta Negra,132.5,1,,2019
27.01,31,37,Stage 1 - San Juan › Pocito,159.1,,,2019
11.10,22,,Gran Piemonte (1.HC),191,4,5,2018
09.10,DNF,,Tre Valli Varesine (1.HC),212,,,2018
16.09,33,,Coppa Bernocchi - GP BPM (1.1),194.7,,,2018
02.09,57,,GP de Fourmies / La Voix du Nord (1.HC),205,,,2018
01.09,69,,Brussels Cycling Classic (1.HC),201.4,,,2018
26.08,15,,Croatia-Slovenia (1.2),181.6,,,2018
29.07,3,,GP Kranj (1.2),157.3,7,25,2018
08.07,21,,Giro del Medio Brenta (1.2),176,,,2018
03.07,DNF,,Trofeo Citta di Brescia (1.2),121.8,,,2018
20.06 » 24.06,,,Adriatica Ionica Race/Following the Serenissima Routes (2.1),,,,2018
,20,,Youth classification,,,,2018
,94,,General classification,,,,2018
24.06,22,,Stage 5 - Grado › Trieste,124.6,,,2018
23.06,82,94,Stage 4 -  San Vito di Cadore › Grado,229.2,,,2018
22.06,83,98,Stage 3 - Mussolente › Passo Giau,158.3,,,2018
21.06,98,97,Stage 2 - Lido di Jesolo › Maser ,152.5,,,2018
20.06,16,100,Stage 1 (TTT) - Musile di Piave › Lido di Jesolo,23.3,,,2018
08.06 » 10.06,,,Tour de Serbia (2.2),,,,2018
,1,,General classification,,25,40,2018
10.06,9,,Stage 3 - Kostolac (Viminacijum) › Beograd (Avala),113,,,2018
09.06,3,1,Stage 2 - Banja Vrujci › Požarevac,157,1,1,2018
08.06,1,1,Stage 1 - Mionica › Mionica,159,5,7,2018
03.06,DNF,,Coppa della Pace - Trofeo F.lli Anelli (1.2),172,,,2018
02.06,DNF,,Trofeo Alcide Degasperi (1.2),166.6,,,2018
06.05,43,,Pan American Championships - Road Race (CC),176,,,2018
28.04 » 29.04,,,Belgrade Banjaluka (2.1),,,,2018
,3,,General classification,,50,70,2018
29.04,2,,Stage 2 - Teslic › Banjaluka,180,12,5,2018
28.04,24,24,Stage 1 - Belgrade › Brcko,175.8,,,2018
19.04 » 22.04,,,Tour of Mersin (2.2),,,,2018
,14,,Mountains classification,,,,2018
,1,,Points classification,,,,2018
,3,,General classification,,14,25,2018
22.04,3,,Stage 4 - Mersin › Mersin,129,1,1,2018
21.04,2,3,Stage 3 - Tarsus › Mersin,151.9,2,3,2018
20.04,4,5,Stage 2 - Mut › Mersin,164.4,,,2018
19.04,5,5,Stage 1 - Anamur › Gülnar/Yanisli,123,,,2018
01.04,8,,GP Adria Mobil (1.2),183.8,,3,2018
29.03 » 30.03,,,Tour of Fatih Sultan Mehmet (2.2),,,,2018
,40,,General classification,,,,2018
30.03,48,,Stage 2 - Edirne › Kirklareli,136.4,,,2018
29.03,38,38,Stage 1 - Edirne › Edirne,133.1,,,2018
22.03 » 25.03,,,Settimana Internazionale Coppi e Bartali (2.1),,,,2018
,12,,Youth classification,,,,2018
,46,,General classification,,,,2018
25.03,87,,Stage 4 (ITT) - Fiorano Modenese › Montegibbio,12.5,,,2018
24.03,55,45,Stage 3 - Crevalcore › Crevalcore,171,,,2018
23.03,51,50,Stage 2 - Riccione › Sogliano al Rubicone,130,,,2018
22.03,15,15,Stage 1a - Gatteo › Gatteo,97.8,,,2018
22.03,13,52,Stage 1b (TTT) - Gatteo a Mare › Gatteo,13.3,,,2018
18.03,41,,Popolarissima (1.2),175.9,,,2018
04.03,10,,GP Industria & Artigianato (1.HC),199.2,22,35,2018
25.02,6,,GP Izola (1.2),106.5,1,10,2018
06.02 » 11.02,,,Colombia Oro y Paz (2.1),,,,2018
,47,,Youth classification,,,,2018
,36,,Points classification,,,,2018
,117,,General classification,,,,2018
11.02,127,,Stage 6 - Armenia › Manizales (Torre de Chipre),184.3,,,2018
10.02,119,89,Stage 5 - Pereira  › Salento,163.7,,,2018
09.02,47,44,Stage 4 - Buga › Alto Boquerón (El Tambo),149.5,,,2018
08.02,15,10,Stage 3 - Palmira › Buga,163.2,,,2018
07.02,118,9,Stage 2 - Palmira › Palmira,183.4,,,2018
06.02,98,98,Stage 1 - Palmira › Palmira,99.9,,,2018
21.01 » 28.01,,,Vuelta a San Juan Internacional (2.1),,,,2018
,35,,General classification,,,,2018
28.01,20,,Stage 7 - San Juan › San Juan,141.3,,,2018
27.01,24,40,Stage 6 - San Juan › San Juan,152.6,,,2018
26.01,30,47,Stage 5 - San Martín › Alto de Colorado,169.5,,,2018
24.01,145,88,Stage 4 - San José Jachal › Villa San Agustín,182.8,,,2018
23.01,99,71,Stage 3 (ITT) - San Juan › San Juan,14.4,,,2018
22.01,69,64,Stage 2 - Peri Lago Punta Negra › Peri Lago Punta Negra,149.9,,,2018
21.01,84,85,Stage 1 - San Juan › Pocito,148.9,,,2018
03.10,77,,Tre Valli Varesine (1.HC),192.9,,,2017
01.10,71,,Gran Premio Bruno Beghelli (1.HC),196.3,,,2017
30.09,DNF,,Giro dell'Emilia (1.HC),223.3,,,2017
26.09,1,,Ruota d'Oro - GP Festa del Perdono (1.2U),167,15,30,2017
22.09,11,,World Championships U23 - Road Race (WC),191,12,30,2017
16.09,10,,Memorial Marco Pantani (1.1),189.8,14,20,2017
14.09,113,,Coppa Bernocchi (1.1),194,,,2017
07.09 » 09.09,,,International Cycling Tour of Bulgaria - South (2.2),,,,2017
,1,,Youth classification,,,,2017
,8,,General classification,,3,3,2017
09.09,2,,Stage 3 - Zagora › Plovdiv,98.2,2,3,2017
08.09,3,8,Stage 2 - Ivaylovgrad › Stara Zagora,147.5,1,1,2017
07.09,8,8,Stage 1 - Elena › Ivaylovgrad,223.9,,,2017
03.09 » 05.09,,,International Cycling Tour of Bulgaria - North (2.2),,,,2017
,1,,Youth classification,,,,2017
,4,,Mountains classification,,,,2017
,4,,General classification,,11,20,2017
05.09,4,,Stage 3 - Svishtov › Elena,120,,,2017
04.09,6,6,Stage 2a - Troyan › Pleven,66,,,2017
04.09,1,4,Stage 2b - Pleven › Svishtov,71,5,7,2017
03.09,8,8,Stage 1 - Sofia › Troyan ,160.8,,,2017
04.08 » 15.08,,,Volta a Portugal em Bicicleta Santander Totta (2.1),,,,2017
,20,,Youth classification,,,,2017
,100,,General classification,,,,2017
15.08,86,,Stage 10 (ITT) - Viseu › Viseu,20.1,,,2017
