date,result ranking,general classification,race name,distance,PCS point,UCI point,year
21.08 » 26.08,,,Ronde van Nederland (2.1) ,,,,2000
25.08,83,,Stage 5 - Harderwijk › Venlo ,186.2,,,2000
24.08,101,,Stage 4 (ITT) - Leeuwarden › Leeuwarden ,19.8,,,2000
24.08,93,,Stage 3 - Bolsward › Leeuwarden ,91,,,2000
23.08,85,,Stage 2 - Utrecht › Hoorn ,185.5,,,2000
22.08,69,,Stage 1 - Den Bosch › Utrecht ,180.7,,,2000
21.08,102,,Prologue - Den Bosch › Den Bosch ,4,,,2000
30.07,DNF,,Luk-Cup Bühl (1.3) ,194,,,2000
17.05,23,,De Kustpijl (1.2) ,170,,,2000
05.09,32,,Grote Prijs Jef Scherens - Leuven (1.4) ,192,,,1999
13.06,1,,Grand Prix Criquielion (1.2) ,156,15,,1999
26.04,12,,Ronde van Vlaanderen U23 (1.2) ,174,,,1998
