date,result ranking,general classification,race name,distance,PCS point,UCI point,year
19.05 » 10.06,,,Giro d'Italia () ,,,,2001
26.05,DNS,,Stage 7 - Rieti › Montevarchi ,239,,,2001
25.05,113,,Stage 6 - Nettuno › Rieti ,150,,,2001
24.05,120,,Stage 5 - Avellino › Nettuno ,229,,,2001
23.05,122,123,Stage 4 - Potenza › Montevergine di Mercogliano ,169,,,2001
22.05,108,115,Stage 3 - Lucera › Potenza ,149,,,2001
21.05,150,132,Stage 2 - Fossacesia › Lucera ,167,,,2001
20.05,71,130,Stage 1 - Giulianova › Francavilla al Mare ,202,,,2001
19.05,147,147,Prologue - Montesilvano Marina › Pescara ,7.6,,,2001
05.05,46,,GP Industria & Artigianato-Larciano (1.2) ,200,,,2001
14.03 » 21.03,,,Tirreno-Adriatico () ,,,,2001
,88,,General classification ,,5,,2001
21.03,96,,Stage 8 - San Benedetto del Tronto › San Benedetto del Tronto ,161,,,2001
20.03,97,,Stage 7 - Fermo › Ortezzano ,223,,,2001
19.03,78,,Stage 6 - Torre San Patrizio › Monte San Pietrangeli ,136,,,2001
17.03,121,,Stage 4 - Isernia › Celano ,170,,,2001
16.03,97,,Stage 3 - Benevento › Santuario di Castelpetroso ,156,,,2001
15.03,135,,Stage 2 - Sorrente › Benevento ,163,,,2001
14.03,96,,Stage 1 - Sorrente › Sorrente ,132,,,2001
10.03,62,,Trofeo Pantalica (1.3) ,178,,,2001
08.03,26,,Trofeo dell'Etna (1.4) ,186,,,2001
21.10,DNF,,Giro di Lombardia (CDM) ,258,,,2000
09.08 » 13.08,,,Rothaus Regio-Tour International (2.3) ,,,,2000
10.08,DNF,,Stage 2 - Basel › Mülheim ,163,,,2000
09.08,124,,Stage 1 - Strasbourg › Kehl ,165,,,2000
15.07,29,,GP Industria & Artigianato-Larciano (1.2) ,200,,,2000
22.03 » 26.03,,,Settimana Internazionale Coppi e Bartali () ,,,,2000
,37,,General classification ,,,,2000
06.02,28,,G.P. Costa degli Etruschi (NE) ,171,,,2000
29.08,101,,Giro del Veneto (1.1) ,199.6,,,1998
22.02,106,,Giro della Provincia di reggio Calabria (1.3) ,194.2,,,1998
