date,result ranking,general classification,race name,distance,PCS point,UCI point,year
30.09,41,,Omloop van het Houtland Lichtervelde (1.5) ,175,,,2004
10.04 » 11.04,,,Vlaanderens Tweedaagse der Gaverstreek (1.6) ,,,,2004
,38,,General classification ,,,,2004
11.04,22,,Stage 3 - Deerlijk › Deerlijk ,129,,,2004
11.04,67,,Stage 2 - Sint-Eloois-Vijve › Sint-Eloois-Vijve ,8.7,,,2004
10.04,4,,Stage 1 - Stasegem › Stasegem ,155,,,2004
01.06,13,,GP Etienne de Wilde-Laarne (1.6) ,180.8,,,2003
02.06,2,,Vlaamse Havenpijl (1.2) ,193,10,,2002
01.05,18,,Groote Mei Prijs Hoboken (1.5) ,176,,,2002
28.04,29,,GP Stad Vilvoorde (1.5) ,172,,,2002
04.03,20,,Vlaamse Pijl (1.6) ,150,,,2000
