date,result ranking,general classification,race name,distance,PCS point,UCI point,year
04.09 » 26.09,,,Vuelta a España () ,,,,2004
16.09,DNF,,Stage 12 - Almería › Observatorio de Calar Alto  ,145,,,2004
14.09,90,111,Stage 11 - San Vicente del Raspeig › Caravaca de la Cruz ,165,,,2004
13.09,131,112,Stage 10 - Alcoy › Xorret de Catí  ,174.5,,,2004
12.09,95,89,Stage 9 - Játiva › Alto de Aitana ,170,,,2004
11.09,175,85,Stage 8 (ITT) - Almusafes › Almusafes ,40.1,,,2004
10.09,69,76,Stage 7 - Castellón de la Plana › Valencia ,165,,,2004
09.09,32,76,Stage 6 - Benicarló › Castellón de la Plana ,157,,,2004
08.09,71,98,Stage 5 - Zaragoza › Morella ,186.5,,,2004
07.09,62,178,Stage 4 - Soria › Zaragoza ,167,,,2004
06.09,147,178,Stage 3 - Burgos  ›  Soria ,157,,,2004
05.09,66,177,Stage 2 - León  ›  Burgos ,207,,,2004
04.09,5,180,Stage 1 (TTT) - León  › León ,28,8,,2004
18.08,3,,Coppa Agostoni (1.2) ,196.8,40,,2004
07.08,83,,Clasica Ciclista San Sebastian (CDM) ,227,5,,2004
02.08 » 05.08,,,Vuelta a Burgos (2.1) ,,,,2004
,36,,General classification ,,,,2004
05.08,96,,Stage 4 - Miranda de Ebro  › Burgos  ,171,,,2004
04.08,21,36,Stage 3 - Vilviestre del Pinar  › Lagunas de Neila ,139,,,2004
03.08,39,58,Stage 2 - Lerma › Aranda de Duero ,170,,,2004
02.08,63,63,Stage 1 - Burgos  › Poza de la Sal (Altotero) ,149,,,2004
19.05 » 23.05,,,Tour du Languedoc-Rousillon (2.1) ,,,,2004
21.05,DNF,,Stage 3 - Ganges › Aigues-Mortes ,162,,,2004
20.05,86,94,Stage 2 - Port Leucate › Narbonne ,188,,,2004
19.05,95,95,Stage 1 - Maury › Port-Vendres ,167,,,2004
08.05 » 09.05,,,Clásica Internacional Alcobendas (2.3) ,,,,2004
08.05,OTL,,Stage 1 - Alcobendas › Puerto de Navacerrada ,170,,,2004
14.04 » 18.04,,,Vuelta a Aragon (2.2) ,,,,2004
,62,,General classification ,,,,2004
18.04,52,,Stage 5 - Colchón Relax (La Muela) › Zaragoza ,149,,,2004
17.04,81,75,Stage 4 - Huesca › La Muela ,192.4,,,2004
16.04,61,79,Stage 3 - Sabiñánigo › Sabiñánigo ,169.3,,,2004
15.04,43,89,Stage 2 - Calanda › Barbastro ,167,,,2004
14.04,100,100,Stage 1 - Teruel › Estación De Esqui De Valdelinares ,162.2,,,2004
05.04 » 09.04,,,Vuelta al Pais Vasco (2.HC) ,,,,2004
08.04,102,81,Stage 4 - Vitoria › Lekunberri ,182,,,2004
07.04,73,82,Stage 3 - Zalla › Vitoria ,169,,,2004
06.04,93,98,Stage 2 - Bergara › Zalla ,180,,,2004
05.04,138,139,Stage 1 - Bergara › Bergara ,139,,,2004
03.04,44,,Gran Premio Miguel Indurain (1.2) ,189,,,2004
22.03 » 26.03,,,Setmana-Catalana (2.1) ,,,,2004
,12,,Mountains classification ,,,,2004
,39,,General classification ,,,,2004
