date,result ranking,general classification,race name,distance,PCS point,UCI point
27.08,97,,Omloop Mandel-Leie-Schelde Meulebeke (1.2),170,,
21.08,82,,Grote Prijs Jef Scherens - Rondom Leuven (1.1),185.7,,
07.08,DNF,,Antwerpse Havenpijl (1.2),178,,
05.06,DNF,,Memorial Philippe Van Coningsloo (1.2),182,,
25.05 » 29.05,,,Baloise Belgium Tour (2.HC),,,
,116,,General classification,,,
29.05,101,,Stage 4 - Tremelo › Tongeren,174.2,,
27.05,158,160,Stage 2 - Knokke-Heist › Herzele,200.9,,
26.05,122,161,Stage 1 - Buggenhout › Knokke-Heist,174.5,,
25.05,162,162,Prologue - Buggenhout › Buggenhout,6,,
15.05,DNF,,Grand Prix Criquielion (1.2),180,,
08.05,DNF,,Flèche Ardennaise (1.2),181.9,,
05.05,63,,Dwars door de Vlaamse Ardennen (1.2),179.6,,
18.06 » 21.06,,,Tour des Pays de Savoie (2.2),,,
,53,,General classification,,,
21.06,51,,Stage 5 - Modane › Valmeinier,100,,
20.06,79,61,Stage 4 (ITT) - Orelle › Orelle,8.5,,
20.06,41,61,Stage 3 - Chambéry › Saint Michel de Maurienne,120,,
19.06,70,72,Stage 2 - Cluses › Saint Jorioz,142,,
18.06,62,62,Stage 1 - La Balme de Sillingy › Saint Alban-Leysse,142,,
17.05,107,,Grand Prix Criquielion (1.2),185,,
15.03,28,,Omloop van het Waasland (1.2),187,,
21.09,65,,Rabo Baronie Breda Classic (1.2),200,,
19.09,43,,Kampioenschap van Vlaanderen (1.1),192,,
14.09,40,,Grote Prijs Jef Scherens - Rondom Leuven (1.1),183.3,,
31.08,29,,Ronde van Midden-Nederland (1.2),197.6,,
26.08,23,,Grand Prix des Marbriers (1.2),160,,
05.07,30,,Omloop Het Nieuwsblad Espoirs (1.2),168.5,,
25.06,52,,Internationale Wielertrofee Jong Maar Moedig I.W.T. (1.2),170,,
22.06,25,,Flèche Ardennaise (1.2),173,,
08.06,51,,Memorial Philippe Van Coningsloo (1.2),180.8,,
17.05,52,,Grand Prix Criquielion (1.2),181.4,,
11.05,23,,Circuit de Wallonie Ville de Fleurus (1.2),176.5,,
12.04,104,,Grand Prix Cerami (1.1),200,,
04.04 » 06.04,,,Le Triptyque des Monts et Châteaux (2.2),,,
,16,,Mountains classification,,,
,30,,General classification,,,
06.04,41,,Stage 3 - Château de Beloeil › Tournai,163.4,,
05.04,42,31,Stage 2b - Château d'Estaimbourg › Mont de l'Enclus,95.5,,
05.04,46,46,Stage 2a (ITT) - Bernissart › Bernissart,10,,
04.04,101,104,Stage 1 - Château d'Antoing › Quevaucamps,177.1,,
21.03,DNF,,Handzame Classic (1.1),198.3,,
16.03,84,,Omloop van het Waasland (1.2),191,,
07.03 » 09.03,,,Driedaagse van West-Vlaanderen (2.1),,,
,129,,General classification,,,
09.03,121,,Stage 2 - Nieuwpoort › Ichtegem,185.9,,
08.03,160,162,Stage 1 - Brugge › Harelbeke,182.9,,
07.03,155,155,Prologue - Middelkerke › Middelkerke,7,,
02.03,DNF,,Kuurne-Bruxelles-Kuurne (1.1),197,,
15.09,41,,Rabo Baronie Breda Classic (1.2),200,,
01.09,56,,Rabo Ronde van Midden-Nederland (1.2),197.9,,
29.06,33,,Omloop Het Nieuwsblad Beloften/Circuit Het Nieuwsblad Espoirs (1.2),189,,
16.06,DNF,,Flèche Ardennaise (1.2),180,,
02.06,10,,Memorial Philippe Van Coningsloo (1.2),182.7,,
18.05,74,,Grand Prix Criquielion (1.2),181.4,,
05.05,27,,Circuit de Wallonie (1.2),170,,
17.03,DNF,,Grand Prix de la Ville de Nogent-sur-Oise (1.2),166,,
23.02,90,,Beverbeek Classic (1.2),130,,
26.08,25,,Ronde van Midden-Nederland (1.2),199.4,,
30.06,2,,Omloop Het Nieuwsblad Beloften/Circuit Het Nieuwsblad Espoirs (1.2),179,10,30
17.06,26,,Flèche Ardennaise (1.2),180.4,,
20.05,57,,Grand Prix Criquielion (1.2),179.6,,
06.05,74,,Circuit de Wallonie (1.2),176.4,,
06.04 » 08.04,,,Circuit des Ardennes International (2.2),,,
,24,,General classification,,,
08.04,34,,Stage 4 - Charleville-Mézières  › Sedan ,120,,
08.04,6,30,Stage 3 (TTT) - Sedan (Torcy)  › Charleville-Mézières,26,,
07.04,30,28,Stage 2 - Renwez  › Renwez ,171,,
06.04,37,40,Stage 1 - Boulzicourt  › Signy l'Abbaye ,179.4,,
11.03,25,,Omloop van het Waasland (1.2),191.2,,
18.09,97,,GP Impanis - Van Petegem (1.2),170.8,,
23.08 » 28.08,,,Giro Ciclistico della Valle d'Aosta Mont Blanc (2.2),,,
,47,,General classification,,,
28.08,32,,Stage 6 (ITT) - Champdepraz › Champdepraz,9.2,,
