date,result ranking,general classification,race name,distance,PCS point,UCI point,year
09.10,144,,Paris - Tours (PT) ,253,5,,2005
06.10,60,,Paris-Bourges (1.1) ,196.5,,,2005
29.09 » 02.10,,,Circuit Franco-Belge (2.1) ,,,,2005
,37,,Points classification ,,,,2005
,70,,General classification ,,,,2005
02.10,108,,Stage 4 - Cuesmes › Doornik ,154.6,,,2005
30.09,66,52,Stage 2 - Leffrinckoucke › Poperinge ,155.6,,,2005
29.09,51,,Stage 1 - Komen › Estaimpuis ,202.7,,,2005
24.09,46,,Delta Ronde van Midden-Zeeland (1.1) ,202,,,2005
16.09 » 17.09,,,Tour de la Somme (2.2) ,,,,2005
,4,,General classification ,,11,,2005
17.09,18,,Stage 3 - Mareuil-Caubert › Abbeville ,86.6,,,2005
17.09,27,4,Stage 2 - Hallencourt › Abbeville ,111.3,,,2005
16.09,5,,Stage 1 - Amiens › Chaulnes ,160.1,,,2005
11.09,72,,GP de Fourmies / La Voix du Nord (1.HC) ,200,,,2005
31.08 » 04.09,,,International Hessen Rundfahrt (2.1) ,,,,2005
03.09,26,41,Stage 4 - Gießen › Lollar ,154,,,2005
02.09,34,55,Stage 3 - Lütter › Gießen ,181,,,2005
01.09,40,,Stage 2 - Klingenberg am Main › Fulda ,206,,,2005
31.08,69,,Stage 1 - Frankfurt › Klingenberg am Main ,192,,,2005
23.08 » 26.08,,,Tour du Poitou Charentes et de la Vienne (2.1) ,,,,2005
,14,,General classification ,,7,,2005
26.08,21,,Stage 4b - Vivonne › Poitiers ,103,,,2005
26.08,18,,Stage 4a (ITT) - Vivonne › Château-Larcher ,18.3,,,2005
25.08,36,,Stage 3 - La Rochefoucauld › Vivonne  ,175,,,2005
24.08,61,,Stage 2 - Pont-l'Abbé-d'Arnoult › La Rochefoucauld  ,192,,,2005
23.08,36,,Stage 1 - Niort › Pont-l'Abbé-d'Arnoult  ,184,,,2005
16.08 » 19.08,,,Tour du Limousin (2.1) ,,,,2005
,65,,General classification ,,,,2005
19.08,54,,Stage 4 - Saint-Gence › Limoges ,186.9,,,2005
18.08,64,,Stage 3 - La Bourboule › Egletons ,179.2,,,2005
17.08,66,,Stage 2 - Sainte-Feyre › La Bourboule ,188.7,,,2005
16.08,86,,Stage 1 - Limoges › Saint-Vaury ,158.8,,,2005
02.08 » 04.08,,,Paris - Corrèze (2.1) ,,,,2005
,59,,General classification ,,,,2005
02.08,40,,Stage 1 - Contres › Saint-Amand-Montrond ,168.8,,,2005
31.07,48,,La Poly Normande (1.1) ,157,,,2005
10.07,11,,GP de Dourges (1.2) ,148,,,2005
23.06,16,,National Championships France - ITT (NC) ,40.4,,,2005
10.06 » 12.06,,,GP CTT Correios de Portugal (2.1) ,,,,2005
,71,,General classification ,,,,2005
12.06,33,,Stage 3 - Alcobaça › Lisbon ,172.9,,,2005
11.06,62,87,Stage 2 - Figueira da Foz › Nazaré ,164.5,,,2005
10.06,93,93,Stage 1 - Porto › Figueira da Foz ,197.1,,,2005
04.06,25,,GP Schwarzwald (1.1) ,162.4,,,2005
22.05,14,,Tour de Vendée (1.1) ,201,7,,2005
13.05 » 15.05,,,Tour de Picardie (2.1) ,,,,2005
15.05,67,,Stage 3b - Fressenneville › Mers-Les-Bains ,81,,,2005
15.05,58,,Stage 3a - Feuquières › Fressenneville ,94.5,,,2005
14.05,46,,Stage 2 - Château-Thierry  › Clerment ,192,,,2005
13.05,85,,Stage 1 - Montdidier › Fere-en-Tardenois ,178,,,2005
04.05 » 08.05,,,4 Jours de Dunkerque (2.HC) ,,,,2005
,54,,General classification ,,,,2005
08.05,70,,Stage 5 - Bourbourg › Dunkirk ,165.5,,,2005
07.05,45,,Stage 4 - Boulogne sur Mer › Boulogne sur Mer ,173.4,,,2005
06.05,76,,Stage 3 - Liévin › Sangatte Cap Blanc Nez ,193.6,,,2005
05.05,75,,Stage 2 - Marcq-en-Baroeul › Lens ,204.1,,,2005
04.05,133,,Stage 1 - Dunkirk › Marcq-en-Baroeul ,153.7,,,2005
25.04 » 29.04,,,Tour of Belgium (2.1) ,,,,2005
,19,,General classification ,,2,,2005
29.04,22,,Stage 5 - Visé › Putte ,175,,,2005
28.04,30,20,Stage 4 - Londerzeel › Visé ,232,,,2005
27.04,59,,Stage 3a - Knokke-Heist › Buggenhout ,108,,,2005
27.04,34,20,Stage 3b (ITT) - Buggenhout › Londerzeel ,15,,,2005
26.04,34,38,Stage 2 - Oostende › Knokke-Heist ,165,,,2005
25.04,74,75,Stage 1 - Oostende › Oostende ,155,,,2005
20.04 » 24.04,,,Niedersachsen-Rundfahrt (2.1) ,,,,2005
23.04,66,,Stage 4 - Herzberg › Göttingen ,186,,,2005
22.04,85,,Stage 3 - Wolfsburg › Herzberg ,151,,,2005
21.04,72,,Stage 2 - Burgdorf › Wolfsburg ,207,,,2005
20.04,47,,Stage 1 - Himmelpforten › Burgdorf ,180,,,2005
17.04,40,,Tro-Bro Léon (1.1) ,192.2,,,2005
26.02,DNF,,Omloop Het Volk (1.HC) ,201,,,2005
02.02 » 06.02,,,Etoile de Bessèges (2.1) ,,,,2005
,20,,Mountains classification ,,,,2005
,38,,Points classification ,,,,2005
,36,,General classification ,,,,2005
06.02,88,,Stage 5 - Gagnières › Bessèges ,148.5,,,2005
05.02,32,40,Stage 4 - Casino Les Fumades › Casino Les Fumades ,152.3,,,2005
04.02,47,40,Stage 3 - Branoux › La Grand'Combe ,143.3,,,2005
03.02,35,35,Stage 2 - Nîmes › Saint-Amour ,149.2,,,2005
02.02,51,51,Stage 1 - Marseille › Marseille Luminy ,126.2,,,2005
09.10,144,,Paris - Tours (PT) ,253.0,5,,2005
06.10,60,,Paris-Bourges (1.1) ,196.5,,,2005
29.09 » 02.10,,,Circuit Franco-Belge (2.1) ,,,,2005
,37,,Points classification ,,,,2005
,70,,General classification ,,,,2005
02.10,108,,Stage 4 - Cuesmes › Doornik ,154.6,,,2005
30.09,66,52,Stage 2 - Leffrinckoucke › Poperinge ,155.6,,,2005
29.09,51,,Stage 1 - Komen › Estaimpuis ,202.7,,,2005
24.09,46,,Delta Ronde van Midden-Zeeland (1.1) ,202.0,,,2005
16.09 » 17.09,,,Tour de la Somme (2.2) ,,,,2005
,4,,General classification ,,11,,2005
17.09,18,,Stage 3 - Mareuil-Caubert › Abbeville ,86.6,,,2005
17.09,27,4,Stage 2 - Hallencourt › Abbeville ,111.3,,,2005
16.09,5,,Stage 1 - Amiens › Chaulnes ,160.1,,,2005
11.09,72,,GP de Fourmies / La Voix du Nord (1.HC) ,200.0,,,2005
31.08 » 04.09,,,International Hessen Rundfahrt (2.1) ,,,,2005
03.09,26,41,Stage 4 - Gießen › Lollar ,154.0,,,2005
02.09,34,55,Stage 3 - Lütter › Gießen ,181.0,,,2005
01.09,40,,Stage 2 - Klingenberg am Main › Fulda ,206.0,,,2005
31.08,69,,Stage 1 - Frankfurt › Klingenberg am Main ,192.0,,,2005
23.08 » 26.08,,,Tour du Poitou Charentes et de la Vienne (2.1) ,,,,2005
,14,,General classification ,,7,,2005
26.08,21,,Stage 4b - Vivonne › Poitiers ,103.0,,,2005
26.08,18,,Stage 4a (ITT) - Vivonne › Château-Larcher ,18.3,,,2005
25.08,36,,Stage 3 - La Rochefoucauld › Vivonne  ,175.0,,,2005
24.08,61,,Stage 2 - Pont-l'Abbé-d'Arnoult › La Rochefoucauld  ,192.0,,,2005
23.08,36,,Stage 1 - Niort › Pont-l'Abbé-d'Arnoult  ,184.0,,,2005
16.08 » 19.08,,,Tour du Limousin (2.1) ,,,,2005
,65,,General classification ,,,,2005
19.08,54,,Stage 4 - Saint-Gence › Limoges ,186.9,,,2005
18.08,64,,Stage 3 - La Bourboule › Egletons ,179.2,,,2005
17.08,66,,Stage 2 - Sainte-Feyre › La Bourboule ,188.7,,,2005
16.08,86,,Stage 1 - Limoges › Saint-Vaury ,158.8,,,2005
02.08 » 04.08,,,Paris - Corrèze (2.1) ,,,,2005
,59,,General classification ,,,,2005
02.08,40,,Stage 1 - Contres › Saint-Amand-Montrond ,168.8,,,2005
31.07,48,,La Poly Normande (1.1) ,157.0,,,2005
10.07,11,,GP de Dourges (1.2) ,148.0,,,2005
23.06,16,,National Championships France - ITT (NC) ,40.4,,,2005
10.06 » 12.06,,,GP CTT Correios de Portugal (2.1) ,,,,2005
,71,,General classification ,,,,2005
12.06,33,,Stage 3 - Alcobaça › Lisbon ,172.9,,,2005
11.06,62,87,Stage 2 - Figueira da Foz › Nazaré ,164.5,,,2005
10.06,93,93,Stage 1 - Porto › Figueira da Foz ,197.1,,,2005
04.06,25,,GP Schwarzwald (1.1) ,162.4,,,2005
22.05,14,,Tour de Vendée (1.1) ,201.0,7,,2005
13.05 » 15.05,,,Tour de Picardie (2.1) ,,,,2005
15.05,67,,Stage 3b - Fressenneville › Mers-Les-Bains ,81.0,,,2005
15.05,58,,Stage 3a - Feuquières › Fressenneville ,94.5,,,2005
14.05,46,,Stage 2 - Château-Thierry  › Clerment ,192.0,,,2005
13.05,85,,Stage 1 - Montdidier › Fere-en-Tardenois ,178.0,,,2005
04.05 » 08.05,,,4 Jours de Dunkerque (2.HC) ,,,,2005
,54,,General classification ,,,,2005
08.05,70,,Stage 5 - Bourbourg › Dunkirk ,165.5,,,2005
07.05,45,,Stage 4 - Boulogne sur Mer › Boulogne sur Mer ,173.4,,,2005
06.05,76,,Stage 3 - Liévin › Sangatte Cap Blanc Nez ,193.6,,,2005
05.05,75,,Stage 2 - Marcq-en-Baroeul › Lens ,204.1,,,2005
04.05,133,,Stage 1 - Dunkirk › Marcq-en-Baroeul ,153.7,,,2005
