date,result ranking,general classification,race name,distance,PCS point,UCI point
09.07,5,,National Championships South Korea - Road Race (NC),,2,10
23.09,23,,National Championships South Korea - Road Race (NC),139.9,,
30.06,34,,National Championships South Korea - Road Race (NC),112,,
26.09 » 29.09,,,International Tour de Banyuwangi Ijen (2.2),,,
,21,,Points classification,,,
,56,,General classification,,,
29.09,61,,Stage 4 - Sarongan › Paltuding Ijen,127.2,,
28.09,57,52,Stage 3 - Genteng › Banyuwangi,139.4,,
27.09,6,35,Stage 2 - Kalibaru › Banyuwangi,179.3,,
26.09,53,53,Stage 1 - Banyuwangi › Rowo Bayu,153.1,,
24.06,DNF,,National Championships South Korea - Road Race (NC),112,,
23.06,DNS,,National Championships South Korea - ITT (NC),42,,
30.05 » 03.06,,,Tour de Korea (2.1),,,
,19,,Mountains classification,,,
,25,,Points classification,,,
,34,,General classification,,,
03.06,10,,Stage 5 - Seoul › Seoul,65,,
02.06,65,34,Stage 4 - Jeongseon › Chungju,156,,
01.06,19,35,Stage 3 - Yeongju › Jeongseon,192.4,,
31.05,80,81,Stage 2 - Cheonan › Yeongju,202.6,,
30.05,73,73,Stage 1 - Gunsan › Cheonan,184.6,,
20.05 » 23.05,,,Le Tour de Filipinas (2.2),,,
,5,,Points classification,,,
,12,,General classification,,,
23.05,24,,Stage 4 - Lingayen › Baguio,154.65,,
22.05,6,4,Stage 3 - Bambang › Lingayen,188.1,,
21.05,2,2,Stage 2 - Cabanatuan › Bayombong,157.9,2,3
30.06,DNF,,National Championships South Korea - Road Race (NC),112,,
14.06 » 18.06,,,Tour de Korea (2.1),,,
,17,,Youth classification,,,
,79,,General classification,,,
18.06,81,,Stage 5 - Seoul › Seoul,65,,
17.06,21,79,Stage 4 - Yeongju › Chungju,156,,
16.06,66,106,Stage 3 - Muju › Yeongju,167.8,,
15.06,109,110,Stage 2 - Gunsan › Muju,156.8,,
14.06,107,107,Stage 1 - Yeosu › Gunsan,216.9,,
01.04 » 06.04,,,The Princess Maha Chackri Sirindhorn's Cup 'Tour of Thailand' (2.1),,,
,4,,Mountains classification,,,
,24,,Points classification,,,
,31,,General classification,,,
06.04,45,,Stage 6 - Lampang › Chiangmai,135.65,,
05.04,34,29,Stage 5 - Sukhothai › Lampang,194,,
04.04,7,46,Stage 4 - Uttaradit › Sukhothai,120.65,2,
03.04,25,56,Stage 3 - Phitsanulok › Uttaradit,111,,
02.04,71,73,Stage 2 - Chainat › Phitsanulok,190,,
01.04,72,72,Stage 1 - Bangkok › Chainat,193.4,,
16.11 » 20.11,,,Tour of Fuzhou (2.1),,,
,18,,General classification,,3,3
20.11,18,,Stage 5 - Yongtai › Yongtai,127.4,,
19.11,20,20,Stage 4 - Yongtai › Yongtai,131.8,,
18.11,6,19,Stage 3 - Lianjiang › Lianjiang,133.3,3,
17.11,6,21,Stage 2 - Changle › Changle,126.3,3,
16.11,20,22,Stage 1 - Ma Wei › Guling,113.2,,
24.06,4,,National Championships South Korea - Road Race (NC),112,4,30
05.06 » 12.06,,,Tour de Korea (2.1),,,
,6,,Youth classification,,,
,23,,Points classification,,,
,25,,General classification,,,3
12.06,24,,Stage 8 - Seoul › Seoul,65,,
11.06,3,25,Stage 7 - Chungju › Seoul,142.8,7,3
10.06,41,35,Stage 6 - Asan › Chungju,194.6,,
09.06,18,35,Stage 5 - Daejeon › Asan,170.7,,
08.06,40,40,Stage 4 - Daejeon › Daejeon,85.8,,
07.06,24,45,Stage 3 - Gunsan › Daejeon,145.8,,
06.06,85,61,Stage 2 - Gumi › Gunsan,235.2,,
05.06,50,51,Stage 1 - Busan › Gumi,189.1,,
01.04 » 06.04,,,The Princess Maha Chackri Sirindhorn's Cup 'Tour of Thailand' (2.2),,,
,33,,Points classification,,,
,6,,General classification,,6,10
06.04,12,,Stage 6 - Loei › Udon Thani ,167.7,,
05.04,21,15,Stage 5 - Nong Khai  › Loei,231.2,,
04.04,44,16,Stage 4 - Bueng Kan › Nong Khai ,137,,
03.04,31,13,Stage 3 - Sakon Nakhon › Bueng Kan,194,,
02.04,14,12,Stage 2 - Mukdahan › Sakon Nakhon,132,,
01.04,18,17,Stage 1 - Ubon Ratchatani › Mukdahan,187,,
24.01,8,,Asian Cycling Championships - Road Race (CC),116.6,18,60
09.12 » 13.12,,,Jelajah Malaysia (2.2),,,
,9,,Youth classification,,,
,28,,General classification,,,
13.12,29,,Stage 5 (ITT) - Kuala Lumpur › Kuala Lumpur,47,,
12.12,36,28,Stage 4 - Kuala Lumpur › Putrajaya,115.3,,
11.12,44,37,Stage 3 - Bandar Baru Bangi › Putrajaya,103.3,,
10.12,4,37,Stage 2 (TTT) - Putrajaya › Putrajaya,16.5,2,
09.12,47,47,Stage 1 - Kuala Lumpur › Putrajaya,176.1,,
14.11 » 16.11,,,Tour of Fuzhou (2.2),,,
,8,,Mountains classification,,,
,29,,General classification,,,
16.11,19,,Stage 3 - Yongtai › Yongtai,130.3,,
15.11,29,29,Stage 2 - Yongtai › Yunding,133,,
14.11,82,84,Stage 1 - Fuzhou › Fuzhou,119.4,,
26.06,3,,National Championships South Korea - Road Race (NC),112,7,16
07.06 » 14.06,,,Tour de Korea (2.1),,,
,2,,Youth classification,,,
,13,,Mountains classification,,,
,21,,Points classification,,,
,4,,General classification,,36,24
14.06,20,,Stage 8 - Seoul › Seoul,65,,
13.06,87,4,Stage 7 - Gunsan › Daejun,145.8,,
12.06,23,4,Stage 6 - Gangjin › Gunsan,193.7,,
11.06,6,5,Stage 5 - Yeosu › Gangjin,175,3,2
10.06,43,23,Stage 4 - Muju › Yeosu,207,,
09.06,17,25,Stage 3 - Muju › Muju,99,,
08.06,49,45,Stage 2 - Gumi › Muju,174.4,,
07.06,58,59,Stage 1 - Busan › Gumi,189.1,,
01.04 » 06.04,,,The Maha Chackri Sirindhorn's Cup 'Tour of Thailand' (2.2),,,
,27,,Points classification,,,
,41,,General classification,,,
06.04,56,,Stage 6 - Nong Khai › Udon Thani,209,,
05.04,87,43,Stage 5 - Ban Paeng › Nong Khai,205,,
04.04,60,21,Stage 4 - Mukdahan › Nakhon Phanom,102,,
03.04,4,17,Stage 3 - Roi Et › Mukdahan,163,,
02.04,95,24,Stage 2 - Buri Ram › Roi Et,151,,
01.04,20,20,Stage 1 - Nakhon Ratchasima › Buri Ram,177,,
14.11 » 16.11,,,Tour of Fuzhou (2.2),,,
,31,,General classification,,,
16.11,86,,Stage 3 - Yongtai › Yongtai,115.5,,
15.11,32,32,Stage 2 - Yongtai › Yunding,133,,
14.11,71,72,Stage 1 - Fuzhou › Fuzhou,122.1,,
08.09 » 14.09,,,Tour of China II (2.1),,,
14.09,DNF,,Stage 5 - Tianjin Wuqing › Tianjin Wuqing,109.2,,
12.09,40,54,Stage 4 - Gucheng › Laohekou,138.8,,
11.09,95,61,Stage 3 - Wuhan › Jiangxia,143.9,,
09.09,43,42,Stage 2 - Chenzhou › Jiahe,140.5,,
08.09,40,44,Stage 1 - Xinning Langshan › Xinning Langshan,130.2,,
30.08 » 05.09,,,Tour of China I (2.1),,,
,48,,General classification,,,
05.09,36,,Stage 7 - Chongqing Banan › Chongqing Banan,99.6,,
04.09,16,49,Stage 6 - Chengdu Dayi › Chengdu Dayi,138.9,,
03.09,29,51,Stage 5 - Chengdu Pengzhou › Chengdu Pengzhou,101.5,,
02.09,46,55,Stage 4 - Bazhong › Pingchang,133.6,,
01.09,92,79,Stage 3 - Nanjiang Guangwu Mountain › Nanjiang,93.1,,
31.08,43,40,Stage 2 - Hanzhong Chenggu › Hanzhong,137,,
30.08,44,46,Stage 1 - Xi'an › Xi'an,93.6,,
27.06,20,,National Championships South Korea - Road Race (NC),156.8,,
08.06 » 15.06,,,Tour de Korea (2.1),,,
,7,,Youth classification,,,
,38,,General classification,,,
15.06,18,,Stage 8 - Yangyang › Yangyang,82,,
14.06,39,38,Stage 7 - Pyeongchang Alpensia › Pyeongchang Jin-Gogea,158.3,,
13.06,39,36,Stage 6 - Yeongju › Pyeongchang,177.2,,
12.06,28,50,Stage 5 - Gumi › Yeongju,137.8,,
11.06,63,50,Stage 4 - Gurye › Gumi,208.2,,
10.06,58,49,Stage 3 - Muju › Gurye,161.1,,
09.06,46,51,Stage 2 - Chungju › Muju,197.2,,
08.06,64,64,Stage 1 - Hanam › Chungju,137.2,,
01.04 » 06.04,,,The Maha Chackri Sirindhorn's Cup 'Tour of Thailand' (2.2),,,
,34,,Points classification,,,
,21,,General classification,,,
06.04,8,,Stage 6 - Phayao › Chiang Rai,140,,
05.04,19,21,Stage 5 - Phayao Lake › Phayao Lake,134,,
04.04,18,21,Stage 4 - Lampang › Phayao,162,,
03.04,33,21,Stage 3 - Sukhothai › Lampang,194,,
02.04,35,27,Stage 2 - Uthai Thani › Sukhothai,234,,
01.04,21,21,Stage 1 - Suphan Buri › Uthai Thani,192,,
08.11,91,,Tour de Seoul (1.2),100.5,,
