date,result ranking,general classification,race name,distance,PCS point,UCI point,year
06.05 » 13.05,,,International Presidency Turkey Tour (2.2) ,,,,2007
,31,,General classification ,,,,2007
13.05,4,,Stage 7 - Antalya › Alanya ,135,,,2007
12.05,45,31,Stage 6 - Finike › Antalya ,115,,,2007
11.05,45,38,Stage 5 - Fethiye › Finike ,189,,,2007
10.05,9,28,Stage 4 - Marmaris › Fethiye ,135,,,2007
09.05,35,28,Stage 3 - Bodrum › Marmaris ,165,,,2007
08.05,39,15,Stage 2 - Kuşadası › Bodrum ,165,,,2007
07.05,2,15,Stage 1 - Izmir › Kuşadası ,92,2,,2007
06.05,38,38,Prologue - Izmir › Izmir ,2,,,2007
