date,result ranking,general classification,race name,distance,PCS point,UCI point,year
01.08,89,,B World Championships - Road Race (WC) ,161,,,2007
29.07,16,,B World Championships - ITT (WC) ,26.8,,,2007
14.07,30,,All Africa Games - Road Race (JR) ,150,,,2007
26.03,DNF,,Commonwealth Games - Road Race (JR) ,166,,,2006
21.03,29,,Commonwealth Games - ITT (JR) ,40,,,2006
06.12,7,,African Continental Championships - ITT (CC) ,16,4,,2005
25.04 » 01.05,,,International Presidency Turkey Tour (2.5) ,,,,2004
25.04,2,2,Stage 1 (ITT) - Alanya › Alanya ,3,2,,2004
04.04,65,,Tour du lac Leman (1.5) ,180,,,2004
14.10,3,,All Africa Games - Road Race (JR) ,,,,2003
16.04 » 20.04,,,Tour du Loir-et-Cher (2.6) ,,,,2003
16.04,74,74,Stage 1 - Blois › Chémery ,145.2,,,2003
16.03,73,,"Giro del Lago Maggiore ""GP Knorr"" (1.5) ",176,,,2003
03.08,DNF,,Commonwealth Games - Road Race (JR) ,187.2,,,2002
17.04 » 22.04,,,Tour du Loir et Cher E Provost () ,,,,2002
,48,,General classification ,,,,2002
22.04,48,,Stage 6 - Blois › Blois ,,,,2002
21.04,40,,Stage 5 - Cour Cherny › Contres ,102.3,,,2002
20.04,25,,Stage 4 - Chamount-sur-Tharonne › Salbris ,181.7,,,2002
19.04,62,,Stage 3 - Vendôme › Vendôme ,176.1,,,2002
18.04,33,,Stage 2 - Mer › Mer ,172.6,,,2002
17.04,22,,Stage 1 - Blois › Chémery ,151.4,,,2002
18.04 » 22.04,,,Tour du Loir et Cher E Provost () ,,,,2001
,47,,General classification ,,,,2001
22.04,24,,Stage 5a - Cour Cheverny › Contres ,85,,,2001
22.04,38,,Stage 5b - Blois › Blois ,93,,,2001
20.04,53,,Stage 3 - Saint-Sulpice › Vendôme ,180,,,2001
19.04,50,,Stage 2 - Mer › St. Laurent ,178,,,2001
18.04,53,,Stage 1 - Blois › Chemeny ,183,,,2001
13.10,DNF,,World Championships U23 - Road Race (WC) ,169,,,2000
10.10,42,,World Championships U23 - ITT (WC) ,35.2,,,2000
17.10,1,,Chrono des Nations MJ (1.1) ,,,,1999
09.10,98,,World Championships MJ - Road Race (WC) ,130,,,1999
