date,result ranking,general classification,race name,distance,PCS point,UCI point
03.11,42,,Elite Road Caribbean Championships - Road Race (1.2),123.3,,
02.10,DNF,,Tobago Cycling Classic (1.2),120,,
27.02 » 05.03,,,Vuelta Independencia Nacional Republica Dominicana (2.2),,,
,38,,General classification,,,
05.03,67,,Stage 8 - Santo Domingo › Santo Domingo,100,,
04.03,69,39,Stage 7 - Santiago de los Caballeros › Santo Domingo,149,,
03.03,51,40,Stage 6 - Moca › Constanza,131,,
02.03,79,35,Stage 5 - Samana › San Francisco de macoris,118,,
01.03,61,35,Stage 4 - Santo Domingo › Samana,191,,
29.02,35,81,Stage 3 - Santo Domingo › Mirador de Miches,173,,
28.02,17,35,Stage 2 - Santo Domingo › Barahona,175,,
27.02,15,80,Stage 1 (TTT) - Santo Domingo › Santo Domingo,20,,
01.08 » 09.08,,,Tour Cycliste International de la Guadeloupe (2.2),,,
,19,,General classification,,,
09.08,36,,Stage 9 - Les Abymes › Basse-Terre,123,,
08.08,2,18,Stage 8a - Moule › Tronçon,97.1,2,5
08.08,9,18,Stage 8b (ITT) - Abymes › Abymes,21.15,,
07.08,22,20,Stage 7 - Pointe Noire › Moule,151,,
06.08,27,22,Stage 6 - Goyave  › Pointe Noire,146,,
05.08,19,24,Stage 5 - Vieux-Habitants › Goyave,148.7,,
04.08,56,30,Stage 4 - Anse Bertrand › Vieux Habitants,142.6,,
03.08,12,22,Stage 3 - Gourbeyre › Anse-Bertrand,154,,
02.08,69,24,Stage 2a - Sainte-Anne › Gourbeyre,100,,
02.08,51,25,Stage 2b (ITT) - Gourbeyre › Saint-Claude,9.5,,
01.08,22,22,Stage 1 - Pointe-à-Pitre › Sainte-Anne,157.6,,
02.08 » 10.08,,,Tour Cycliste International de la Guadeloupe (2.2),,,
,46,,Points classification,,,
,48,,General classification,,,
10.08,57,,Stage 9 - Lamentin › Basse Terre,121,,
09.08,40,48,Stage 8a - Bouillante › Lamentin,95,,
09.08,35,48,Stage 8b (ITT) - Lamentin › Lamentin,17,,
08.08,62,49,Stage 7 - Capesterre › Bouillante,145,,
07.08,27,40,Stage 6 - Abymes › Abymes,160,,
06.08,42,43,Stage 5 - Vieux Habitants › Capesterre,149,,
05.08,53,39,Stage 4 - Morne à l'Eau › Vieux Habitants,142.6,,
04.08,14,36,Stage 3 - Basse Terre › Morne à l'Eau,152,,
03.08,37,,Stage 2a - Deshaies › Baillif,105.5,,
03.08,34,36,Stage 2b (ITT) - Basse Terre › Saint Claude,6.3,,
02.08,46,46,Stage 1 - Pointe à Pitre › Deshaies,162.5,,
04.08 » 13.08,,,Tour de la Guadeloupe (2.2),,,
,17,,General classification,,,
08.08,5,,Stage 4 - Gosier › Saint-François,170.2,,
05.08 » 14.08,,,Tour de la Guadeloupe (2.2),,,
,11,,General classification,,,
09.08,1,,Stage 4 - Saint-Anne › Saint-Rose,154.7,5,
16.06 » 20.06,,,Boucles de la Mayenne (2.2),,,
,16,,General classification,,,
20.06,57,,Stage 4 - Ernee › Laval,166,,
19.06,81,,Stage 3 - Mayenne › Ernee,95,,
18.06,17,,Stage 2 - Villaines-la-Juhel  › Mayenne,90,,
17.06,78,,Stage 1 -  Saint-Berthevin › Cosse-Le-Vivien,180,,
16.06,87,,Prologue - Laval › Laval,6.5,,
15.05,57,,GP de Lys lez Lannoy (NE),168.8,,
10.07 » 18.07,,,Tour de la Martinique (2.6),,,
,9,,Mountains classification,,,
,1,,Points classification,,,
,1,,General classification,,25,
18.07,15,,Stage 8 - Rivière-Pilote › Le Lamentin,122.1,,
17.07,1,,Stage 7a - Saint-Esprit › Rivière-Pilote,104.1,5,
17.07,2,1,Stage 7b (ITT) - Rivière-Pilote › Rivière-Pilote,15.5,2,
16.07,7,2,Stage 6 - Anses d'Arlet › Saint-Esprit,101.5,,
15.07,3,2,Stage 5 - Sainte-Marie › Anses d'Arlet,119.2,1,
14.07,2,3,Stage 4 - Grand Rivière › Sainte-Marie,93.8,2,
13.07,4,3,Stage 3 - La Trinité › Macouba,92.6,,
12.07,2,4,Stage 2 - François › La Trinité,97,2,
11.07,4,5,Stage 1 - Fort de France › François,119,,
10.07,9,9,Prologue - Fort de France › Fort de France,,,
17.06 » 21.06,,,Boucles de la Mayenne (2.6),,,
,10,,General classification,,1,
20.06,59,,Stage 3 - Louverne › Montsürs,97,,
18.06,9,,Stage 1 - St. Berthevin › Chateau Gontier,182,,
26.04 » 02.05,,,Ruban Granitier Breton (2.6),,,
,57,,General classification,,,
02.05,66,,Stage 6 - Saint-James › Dinan,153.5,,
01.05,76,57,Stage 5 - Missillac › Dol-de-Bretagne,187.9,,
30.04,64,64,Stage 4 - Sarzeau › Missillac,133.8,,
29.04,75,62,Stage 3 - Névez › Saint-Gildas-de-Rhuys,167.7,,
28.04,74,68,Stage 2 - Bourbriac › Névez,172.7,,
27.04,70,36,Stage 1 - Rennes › Saint-Brieuc,147.9,,
26.04,40,40,Prologue - Cesson-Sévigné › Cesson-Sévigné,4.2,,
14.03,47,,Bordeaux - Saintes (1.6),175,,
30.04 » 04.05,,,Ringerike GP (2.5),,,
03.05,DNF,,Stage 4 - Hønefoss  › Hønefoss ,168.2,,
02.05,136,134,Stage 3 - Hønefoss  › Ringerike,146.6,,
01.05,150,,Stage 2 - Hønefoss  › Hønefoss ,150.9,,
30.04,136,,Stage 1 - Hønefoss  › Hønefoss ,157.7,,
22.05 » 27.05,,,Ronde de l'Isard (2.2U23),,,
22.05,13,13,Prologue - Mirepoix › Mirepoix,2.7,,
