date,result ranking,general classification,race name,distance,PCS point,UCI point
01.04 » 06.04,,,The Maha Chackri Sirindhorn's Cup Tour of Thailand (2.2),,,
,75,,General classification,,,
06.04,51,,Stage 6 - Khao-Lak › Phuket,105.5,,
05.04,34,80,Stage 5 - Ranong › Khao-Lak,195,,
04.04,83,83,Stage 4 - Chumporn › Ranong,199.7,,
03.04,36,77,Stage 3 - Prachuap Khiri Khan › Chumporn,190.5,,
02.04,64,77,Stage 2 - Hua Hin › Prachuap Khiri Khan,112,,
01.04,78,78,Stage 1 - Suphanburi › Suphanburi,121.6,,
01.04 » 06.04,,,Princess Maha Chakri Sirindhorn's Cup Tour of Thailand (2.2),,,
,10,,General classification,,1,
06.04,34,,Stage 6 - Chanthaburi › Chonburi,213.3,,
05.04,40,,Stage 5 - Chanthaburi › Chanthaburi,91.1,,
04.04,42,,Stage 4 - Rayong › Chanthaburi,166.1,,
03.04,52,,Stage 3 - Rayong › Rayong,141.5,,
02.04,20,,Stage 2 - Chonburi › Rayong,195.5,,
01.04,35,,Prologue - Pattaya › Pattaya,4,,
12.12,69,,Tour of South China Sea (1.2),80,,
03.05 » 07.05,,,Tour of Hong Kong Shanghai (2.2),,,
,6,,General classification,,6,
07.05,16,,Stage 4 - Hong Kong › Hong Kong,60,,
06.05,15,6,Stage 3 - Hong Kong › Hong Kong,80,,
04.05,2,12,Stage 2 - Shanghai › Kunshan,125,2,
03.05,16,16,Stage 1 - Shanghai › Shanghai,128,,
24.01 » 29.01,,,Tour of Thailand (2.2),,,
,7,,General classification,,4,
29.01,19,,Stage 6 - Pattaya › Subannabhumi,112.5,,
28.01,6,,Stage 5 - Nakhon Ratchasima › Khao Hin Son,198.17,,
27.01,46,,Stage 4 - Lomsak › Chaiyaphum,221.73,,
26.01,7,,Stage 3 - Sukhothai › Khaokho,198.17,,
25.01,51,10,Stage 2 - Lampang › Sukhothai,204.6,,
24.01,9,9,Stage 1 (ITT) - Ching Mai › Huay Troung Toa,5,,
15.01 » 21.01,,,Tour of Siam (2.2),,,
,13,,Points classification,,,
,15,,General classification,,,
21.01,54,,Stage 7 - Phuket › Phuket,120.4,,
20.01,4,8,Stage 6 - Khao Lak › Saphan Hin,154.5,,
19.01,96,18,Stage 5 - Ranong › Khao Lak,197.3,,
18.01,39,17,Stage 4 - Chumphon › Ranong,124.3,,
17.01,12,19,Stage 3 - Prachuap Khiri Khan › Chumphon,220,,
16.01,5,19,Stage 2 - Hua Hin › Prachuap Khiri Khan,117.2,,
15.01,24,24,Stage 1 - Bangkok › Bangkok,85.4,,
27.06 » 01.07,,,Tour of East Java (2.2),,,
,42,,General classification,,,
01.07,3,,Stage 5 - Surabaya › Surabaya,30,1,
30.06,61,,Stage 4 - Surabay › Bromo,124.4,,
29.06,15,,Stage 3 - Sidoarjo › Sidoarjo,62.4,,
28.06,12,,Stage 2 - Sidoarjo › Batu,194.7,,
27.06,10,,Stage 1 - Sidoarjo › Lamongan,171.1,,
26.01 » 30.01,,,Tour of Wellington (2.2),,,
,6,,General classification,,6,
30.01,4,,Stage 7 - Petone › Petone,40,,
30.01,8,6,Stage 6 (ITT) - Scorching Bay › Scorching Bay,12,,
29.01,13,5,Stage 5 - Masterton › Masterton,125.3,,
28.01,2,3,Stage 4 - Masterton › Masterton,158.5,2,
27.01,29,12,Stage 3 - Masterton › Masterton,40,,
27.01,6,6,Stage 2 - Featherston › Masterton,94.4,,
26.01,69,69,Stage 1 - Hutt City › Hutt City,45,,
01.11 » 06.11,,,Tour of Southland (2.5),,,
,14,,General classification,,,
06.11,29,,Stage 10 - Winton › Invercargill,64.4,,
06.11,31,13,Stage 9 - Te Anau › Lumsden,79,,
05.11,20,12,Stage 8 - Winton › Te Anau,163.6,,
04.11,15,12,Stage 7 - Riversdale › Invercargill ,127.3,,
04.11,12,12,Stage 6 (ITT) - Balfour › Riversdale,15,,
03.11,18,17,Stage 5 - Lumsden › Crown Range,132.8,,
02.11,20,18,Stage 4 - Tuatapere  › Winton,88.3,,
02.11,34,30,Stage 3 - Invercargill › Tuatapere ,113.8,,
01.11,32,28,Stage 2 - Invercargill › Bluff,78.3,,
01.11,7,29,Stage 1 (TTT) - Invercargill › Invercargill,8.3,,
30.10 » 02.11,,,Tour of China (2.5),,,
,4,,General classification,,11,
02.11,5,,Stage 4 - Fifth Ring › Fifth Ring,98,,
01.11,14,7,Stage 3 - Miyun › Miyun,122,,
31.10,4,5,Stage 2 - Huairou › Huairou,210,,
30.10,22,22,Stage 1 - Huairou › Huairou,140,,
16.10 » 29.10,,,Herald Sun Tour (),,,
19.10,1,,Stage 4,,5,
06.08 » 10.08,,,Tour of Britain (2.1),,,
,38,,General classification,,,
09.08,14,,Stage 4b - Manchester  › Liverpool,91.2,,
07.08,10,,Stage 2 - Coventry › Lincoln,191.3,,
17.01,8,,Australian Open Road Championships Road Race (NC),,,
