date,result ranking,general classification,race name,distance,PCS point,UCI point,year
18.04 » 22.04,,,Tour of the Alps (2.Pro),,,,2022
,9,,General classification,,45,40,2022
22.04,15,,Stage 5 - Lienz › Lienz,114.5,,,2022
21.04,17,16,Stage 4 - Villabassa › Kals am Grossglockner,142.4,,,2022
20.04,32,19,Stage 3 - Lana › Villabassa,154.6,,,2022
19.04,20,18,Stage 2 - Primiero/S. Martino di Castrozza › Lana,154.1,,,2022
18.04,19,19,Stage 1 - Cles › Primiero/S. Martino di Castrozza,160.9,,,2022
21.03 » 27.03,,,Volta Ciclista a Catalunya (2.UWT),,,,2022
,21,,Mountains classification,,,,2022
,27,,General classification,,8,16,2022
27.03,41,,Stage 7 - Barcelona › Barcelona,138.6,,,2022
26.03,46,28,Stage 6 - Salou › Cambrils,168.6,,,2022
25.03,80,44,Stage 5 - La Pobla de Segur › Vilanova i la Geltrú,206.3,,,2022
24.03,77,45,Stage 4 - La Seu d'Urgell › Boí Taüll,166.7,,,2022
23.03,38,34,Stage 3 - Perpignan › La Molina,161.1,,,2022
22.03,58,44,Stage 2 - L'Escala › Perpignan,202.4,,,2022
21.03,36,37,Stage 1 - Sant Feliu de Guíxols › Sant Feliu de Guíxols,171.2,,,2022
16.03,112,,Milano - Torino (1.Pro),199,,,2022
24.02 » 27.02,,,Gran Camiño (2.1),,,,2022
,59,,General classification,,,,2022
27.02,21,,Stage 4 (ITT) - Sarria  › Sarria ,15.8,,,2022
26.02,68,65,Stage 3 - Maceda  › Luintra,148.4,,,2022
25.02,41,41,Stage 2 - Bertamiráns  › Mirador do Ézaro,177.6,,,2022
24.02,72,74,Stage 1 - O Porriño › Vigo,165,,,2022
05.10,DNF,,Tre Valli Varesine (1.Pro),196.7,,,2021
04.10,DNF,,Coppa Bernocchi - GP BPM (1.Pro),197.15,,,2021
02.10,DNF,,Giro dell'Emilia (1.Pro),195.3,,,2021
14.08 » 05.09,,,La Vuelta ciclista a España (2.UWT),,,,2021
20.08,DNF,,Stage 7 - Gandía › Balcón de Alicante,152,,,2021
19.08,59,33,Stage 6 - Requena › Alto de la Montaña de Cullera,158.3,,,2021
18.08,72,19,Stage 5 - Tarancón › Albacete,184.4,,,2021
17.08,82,23,Stage 4 - El Burgo de Osma › Molina de Aragón,163.9,,,2021
16.08,19,24,Stage 3 - Santo Domingo de Silos › Picón Blanco,202.8,,,2021
15.08,87,76,Stage 2 - Caleruega › Burgos,166.7,,,2021
14.08,62,62,Stage 1 (ITT) - Burgos › Burgos,7.1,,,2021
03.08 » 07.08,,,Vuelta a Burgos (2.Pro),,,,2021
,2,,Mountains classification,,,,2021
,10,,Points classification,,,,2021
,41,,General classification,,,,2021
07.08,1,,Stage 5 - Comunero de Revenga › Lagunas de Neila,146,30,20,2021
06.08,122,62,Stage 4 - Roa › Aranda de Duero,149,,,2021
05.08,80,53,Stage 3 - Busto de Bureba › Espinosa de los Monteros,173,,,2021
04.08,102,39,Stage 2 - Tardajos › Briviesca,175,,,2021
